owner_id,redcap_repeat_instrument,redcap_repeat_instance,participant_info_ver,consent_form_ver,owner_instr_ver,intended_recipient,owner_consent,ack_pref,assignment_id,source_record_id,official_project_id,project_title,datasets_used,public_register_url,source_pop_ver,production_ver,taxonomy_ver,proposal_output_sha256,review_instr_ver,taxonomy_display_ver,prop_domain_summary,prop_purpose_summary,prop_tag_summary,prop_d01_label,prop_d01_def,po_d01_fit,po_d01_correct_explain,po_d01_vis,po_d01_vis_explain,prop_d02_label,prop_d02_def,po_d02_fit,po_d02_correct_explain,po_d02_vis,po_d02_vis_explain,prop_d03_label,prop_d03_def,po_d03_fit,po_d03_correct_explain,po_d03_vis,po_d03_vis_explain,prop_d04_label,prop_d04_def,po_d04_fit,po_d04_correct_explain,po_d04_vis,po_d04_vis_explain,prop_p01_label,prop_p01_def,po_p01_fit,po_p01_correct_explain,po_p01_vis,po_p01_vis_explain,prop_p02_label,prop_p02_def,po_p02_fit,po_p02_correct_explain,po_p02_vis,po_p02_vis_explain,prop_t01_label,prop_t01_def,prop_t01_status,po_t01_correct,po_t01_correct_explain,po_t01_vis,po_t01_vis_explain,prop_t02_label,prop_t02_def,prop_t02_status,po_t02_correct,po_t02_correct_explain,po_t02_vis,po_t02_vis_explain,po_miss_domain,po_miss_domain_basis,po_miss_purpose,po_miss_purpose_basis,po_miss_tag,po_miss_tag_basis,po_sufficiency,po_suff_explain,po_taxonomy_fit,po_tax_explain,po_nonpublic,po_nonpublic_note,po_other_comment,po_quote_permission,owner_consent_complete,project_review_complete
OWNER_TEST_003,project_review,4,,,,,,,ASSIGN_TEST_008,SYN_RECORD_008,SYN_PROJECT_008,Synthetic project 008: neutral public-register test,Synthetic dataset A008; Synthetic dataset B008,https://example.invalid/synthetic/008,20260601-cleaned-1308,dea-validation-production-20260702-fable5-dict-1.0-rc2,1.0-rc2,0000000000000000000000000000000000000000000000000000000000000008,owner-redcap-candidate-0.3,project-owner-taxonomy-display-v1,Migration & Demographics,Descriptive Monitoring,Demographic disparities / equity — Not applied; COVID-19 & Pandemic — Not applied,Migration & Demographics,"Population structure and change, migration, fertility, ageing and mortality as a demographic outcome.",,,,,,,,,,,,,,,,,,,,,,,Descriptive Monitoring,"Measuring and describing levels, distributions, patterns or trends across places, populations or time, without primarily testing an exposure–outcome relationship.",,,,,,,,,,,Demographic disparities / equity tag,Comparisons across demographic or equality-relevant groups are central; socioeconomic inequality alone or routine subgroup breakdowns do not qualify.,0,,,,,COVID-19 & Pandemic,"COVID-19 or pandemic conditions are a central research focus or lens, not merely the period covered by the data.",0,,,,,,,,,,,,,,,,,,,,0
OWNER_TEST_003,project_review,5,,,,,,,ASSIGN_TEST_009,SYN_RECORD_009,SYN_PROJECT_009,Synthetic project 009: neutral public-register test,Synthetic dataset A009; Synthetic dataset B009,https://example.invalid/synthetic/009,20260601-cleaned-1308,dea-validation-production-20260702-fable5-dict-1.0-rc2,1.0-rc2,0000000000000000000000000000000000000000000000000000000000000009,owner-redcap-candidate-0.3,project-owner-taxonomy-display-v1,Environment & Agriculture; Public Finance & Taxation,Outcome Tracking; Life-Course / Trajectory Analysis,Demographic disparities / equity — Applied; COVID-19 & Pandemic — Not applied,Environment & Agriculture,"Environment, climate, energy, agriculture, land use, pollution, decarbonisation and environmental impacts.",,,,,Public Finance & Taxation,"Taxation, government revenue, public spending, fiscal transfers, tax reliefs and fiscal policy.",,,,,,,,,,,,,,,,,Outcome Tracking,"Linking a naturally occurring exposure, condition or event to a later outcome, where the exposure is not a deliberate policy or programme.",,,,,Life-Course / Trajectory Analysis,"Following people, households, firms or cases over time to understand trajectories, transitions or cumulative outcomes.",,,,,Demographic disparities / equity tag,Comparisons across demographic or equality-relevant groups are central; socioeconomic inequality alone or routine subgroup breakdowns do not qualify.,1,,,,,COVID-19 & Pandemic,"COVID-19 or pandemic conditions are a central research focus or lens, not merely the period covered by the data.",0,,,,,,,,,,,,,,,,,,,,0
OWNER_TEST_003,project_review,6,,,,,,,ASSIGN_TEST_010,SYN_RECORD_010,SYN_PROJECT_010,Synthetic project 010: neutral public-register test,Synthetic dataset A010; Synthetic dataset B010,https://example.invalid/synthetic/010,20260601-cleaned-1308,dea-validation-production-20260702-fable5-dict-1.0-rc2,1.0-rc2,000000000000000000000000000000000000000000000000000000000000000a,owner-redcap-candidate-0.3,project-owner-taxonomy-display-v1,Public Finance & Taxation; Data Infrastructure & Methodology; Labour Market & Employment,Life-Course / Trajectory Analysis,Demographic disparities / equity — Applied; COVID-19 & Pandemic — Applied,Public Finance & Taxation,"Taxation, government revenue, public spending, fiscal transfers, tax reliefs and fiscal policy.",,,,,Data Infrastructure & Methodology,"Data or methodology as the primary research object, rather than tools used for another question.",,,,,Labour Market & Employment,"Work, employment, earnings, job quality, workforce dynamics, skills demand and labour-market transitions.",,,,,,,,,,,Life-Course / Trajectory Analysis,"Following people, households, firms or cases over time to understand trajectories, transitions or cumulative outcomes.",,,,,,,,,,,Demographic disparities / equity tag,Comparisons across demographic or equality-relevant groups are central; socioeconomic inequality alone or routine subgroup breakdowns do not qualify.,1,,,,,COVID-19 & Pandemic,"COVID-19 or pandemic conditions are a central research focus or lens, not merely the period covered by the data.",1,,,,,,,,,,,,,,,,,,,,0
OWNER_TEST_003,project_review,7,,,,,,,ASSIGN_TEST_011,SYN_RECORD_011,SYN_PROJECT_011,Synthetic project 011: neutral public-register test,Synthetic dataset A011; Synthetic dataset B011,https://example.invalid/synthetic/011,20260601-cleaned-1308,dea-validation-production-20260702-fable5-dict-1.0-rc2,1.0-rc2,000000000000000000000000000000000000000000000000000000000000000b,owner-redcap-candidate-0.3,project-owner-taxonomy-display-v1,Data Infrastructure & Methodology; Labour Market & Employment; Education & Skills; Health & Social Care,Service Interaction / Systems Analysis; Policy Evaluation / Impact Analysis,Demographic disparities / equity — Not applied; COVID-19 & Pandemic — Not applied,Data Infrastructure & Methodology,"Data or methodology as the primary research object, rather than tools used for another question.",,,,,Labour Market & Employment,"Work, employment, earnings, job quality, workforce dynamics, skills demand and labour-market transitions.",,,,,Education & Skills,"Education, learning, training, skills formation and transitions through education systems and into work.",,,,,Health & Social Care,"Health, illness, mental health, wellbeing, mortality as a health outcome, healthcare services and social care.",,,,,Service Interaction / Systems Analysis,"How people, cases or organisations access, use, move through or are processed by public services.",,,,,Policy Evaluation / Impact Analysis,"Assessing the implementation, effects or consequences of a specific named policy, programme, regulation or intervention.",,,,,Demographic disparities / equity tag,Comparisons across demographic or equality-relevant groups are central; socioeconomic inequality alone or routine subgroup breakdowns do not qualify.,0,,,,,COVID-19 & Pandemic,"COVID-19 or pandemic conditions are a central research focus or lens, not merely the period covered by the data.",0,,,,,,,,,,,,,,,,,,,,0
OWNER_TEST_003,project_review,8,,,,,,,ASSIGN_TEST_012,SYN_RECORD_012,SYN_PROJECT_012,Synthetic project 012: neutral public-register test,Synthetic dataset A012; Synthetic dataset B012,https://example.invalid/synthetic/012,20260601-cleaned-1308,dea-validation-production-20260702-fable5-dict-1.0-rc2,1.0-rc2,000000000000000000000000000000000000000000000000000000000000000c,owner-redcap-candidate-0.3,project-owner-taxonomy-display-v1,Labour Market & Employment,Policy Evaluation / Impact Analysis,Demographic disparities / equity — Applied; COVID-19 & Pandemic — Not applied,Labour Market & Employment,"Work, employment, earnings, job quality, workforce dynamics, skills demand and labour-market transitions.",,,,,,,,,,,,,,,,,,,,,,,Policy Evaluation / Impact Analysis,"Assessing the implementation, effects or consequences of a specific named policy, programme, regulation or intervention.",,,,,,,,,,,Demographic disparities / equity tag,Comparisons across demographic or equality-relevant groups are central; socioeconomic inequality alone or routine subgroup breakdowns do not qualify.,1,,,,,COVID-19 & Pandemic,"COVID-19 or pandemic conditions are a central research focus or lens, not merely the period covered by the data.",0,,,,,,,,,,,,,,,,,,,,0
OWNER_TEST_003,project_review,9,,,,,,,ASSIGN_TEST_013,SYN_RECORD_013,SYN_PROJECT_013,Synthetic project 013: neutral public-register test,Synthetic dataset A013; Synthetic dataset B013,https://example.invalid/synthetic/013,20260601-cleaned-1308,dea-validation-production-20260702-fable5-dict-1.0-rc2,1.0-rc2,000000000000000000000000000000000000000000000000000000000000000d,owner-redcap-candidate-0.3,project-owner-taxonomy-display-v1,Education & Skills; Health & Social Care,Risk Prediction / Early Identification; Methodological / Infrastructure Research,Demographic disparities / equity — Not applied; COVID-19 & Pandemic — Not applied,Education & Skills,"Education, learning, training, skills formation and transitions through education systems and into work.",,,,,Health & Social Care,"Health, illness, mental health, wellbeing, mortality as a health outcome, healthcare services and social care.",,,,,,,,,,,,,,,,,Risk Prediction / Early Identification,"Predicting risk or identifying at-risk people, groups or places for screening or early targeting.",,,,,Methodological / Infrastructure Research,"Developing, testing, validating or improving research methods, measures, linkage approaches, infrastructure or data assets.",,,,,Demographic disparities / equity tag,Comparisons across demographic or equality-relevant groups are central; socioeconomic inequality alone or routine subgroup breakdowns do not qualify.,0,,,,,COVID-19 & Pandemic,"COVID-19 or pandemic conditions are a central research focus or lens, not merely the period covered by the data.",0,,,,,,,,,,,,,,,,,,,,0
OWNER_TEST_003,project_review,10,,,,,,,ASSIGN_TEST_014,SYN_RECORD_014,SYN_PROJECT_014,Synthetic project 014: neutral public-register test,Synthetic dataset A014; Synthetic dataset B014,https://example.invalid/synthetic/014,20260601-cleaned-1308,dea-validation-production-20260702-fable5-dict-1.0-rc2,1.0-rc2,000000000000000000000000000000000000000000000000000000000000000e,owner-redcap-candidate-0.3,project-owner-taxonomy-display-v1,Health & Social Care; Crime & Justice; Business & Productivity,Methodological / Infrastructure Research,Demographic disparities / equity — Not applied; COVID-19 & Pandemic — Not applied,Health & Social Care,"Health, illness, mental health, wellbeing, mortality as a health outcome, healthcare services and social care.",,,,,Crime & Justice,"Crime, victimisation, public safety, policing, courts, sentencing, prisons, probation and justice outcomes.",,,,,Business & Productivity,"Firms, business activity, innovation, productivity, entrepreneurship, trade, investment and business performance.",,,,,,,,,,,Methodological / Infrastructure Research,"Developing, testing, validating or improving research methods, measures, linkage approaches, infrastructure or data assets.",,,,,,,,,,,Demographic disparities / equity tag,Comparisons across demographic or equality-relevant groups are central; socioeconomic inequality alone or routine subgroup breakdowns do not qualify.,0,,,,,COVID-19 & Pandemic,"COVID-19 or pandemic conditions are a central research focus or lens, not merely the period covered by the data.",0,,,,,,,,,,,,,,,,,,,,0
OWNER_TEST_003,project_review,11,,,,,,,ASSIGN_TEST_015,SYN_RECORD_015,SYN_PROJECT_015,Synthetic project 015: neutral public-register test,Synthetic dataset A015; Synthetic dataset B015,https://example.invalid/synthetic/015,20260601-cleaned-1308,dea-validation-production-20260702-fable5-dict-1.0-rc2,1.0-rc2,000000000000000000000000000000000000000000000000000000000000000f,owner-redcap-candidate-0.3,project-owner-taxonomy-display-v1,"Crime & Justice; Business & Productivity; Poverty, Wealth & Living Standards; Housing & Planning",Descriptive Monitoring; Outcome Tracking,Demographic disparities / equity — Applied; COVID-19 & Pandemic — Applied,Crime & Justice,"Crime, victimisation, public safety, policing, courts, sentencing, prisons, probation and justice outcomes.",,,,,Business & Productivity,"Firms, business activity, innovation, productivity, entrepreneurship, trade, investment and business performance.",,,,,"Poverty, Wealth & Living Standards","Material resources, poverty, wealth, debt, benefits, deprivation, cost of living and household income.",,,,,Housing & Planning,"Housing, homelessness, tenure, residential conditions and mobility, neighbourhood change and planning systems.",,,,,Descriptive Monitoring,"Measuring and describing levels, distributions, patterns or trends across places, populations or time, without primarily testing an exposure–outcome relationship.",,,,,Outcome Tracking,"Linking a naturally occurring exposure, condition or event to a later outcome, where the exposure is not a deliberate policy or programme.",,,,,Demographic disparities / equity tag,Comparisons across demographic or equality-relevant groups are central; socioeconomic inequality alone or routine subgroup breakdowns do not qualify.,1,,,,,COVID-19 & Pandemic,"COVID-19 or pandemic conditions are a central research focus or lens, not merely the period covered by the data.",1,,,,,,,,,,,,,,,,,,,,0
OWNER_TEST_003,project_review,12,,,,,,,ASSIGN_TEST_016,SYN_RECORD_016,SYN_PROJECT_016,Synthetic project 016: neutral public-register test,Synthetic dataset A016; Synthetic dataset B016,https://example.invalid/synthetic/016,20260601-cleaned-1308,dea-validation-production-20260702-fable5-dict-1.0-rc2,1.0-rc2,0000000000000000000000000000000000000000000000000000000000000010,owner-redcap-candidate-0.3,project-owner-taxonomy-display-v1,Business & Productivity,Outcome Tracking,Demographic disparities / equity — Not applied; COVID-19 & Pandemic — Not applied,Business & Productivity,"Firms, business activity, innovation, productivity, entrepreneurship, trade, investment and business performance.",,,,,,,,,,,,,,,,,,,,,,,Outcome Tracking,"Linking a naturally occurring exposure, condition or event to a later outcome, where the exposure is not a deliberate policy or programme.",,,,,,,,,,,Demographic disparities / equity tag,Comparisons across demographic or equality-relevant groups are central; socioeconomic inequality alone or routine subgroup breakdowns do not qualify.,0,,,,,COVID-19 & Pandemic,"COVID-19 or pandemic conditions are a central research focus or lens, not merely the period covered by the data.",0,,,,,,,,,,,,,,,,,,,,0
OWNER_TEST_003,project_review,13,,,,,,,ASSIGN_TEST_017,SYN_RECORD_017,SYN_PROJECT_017,Synthetic project 017: neutral public-register test,Synthetic dataset A017; Synthetic dataset B017,https://example.invalid/synthetic/017,20260601-cleaned-1308,dea-validation-production-20260702-fable5-dict-1.0-rc2,1.0-rc2,0000000000000000000000000000000000000000000000000000000000000011,owner-redcap-candidate-0.3,project-owner-taxonomy-display-v1,"Poverty, Wealth & Living Standards; Housing & Planning",Life-Course / Trajectory Analysis; Service Interaction / Systems Analysis,Demographic disparities / equity — Not applied; COVID-19 & Pandemic — Not applied,"Poverty, Wealth & Living Standards","Material resources, poverty, wealth, debt, benefits, deprivation, cost of living and household income.",,,,,Housing & Planning,"Housing, homelessness, tenure, residential conditions and mobility, neighbourhood change and planning systems.",,,,,,,,,,,,,,,,,Life-Course / Trajectory Analysis,"Following people, households, firms or cases over time to understand trajectories, transitions or cumulative outcomes.",,,,,Service Interaction / Systems Analysis,"How people, cases or organisations access, use, move through or are processed by public services.",,,,,Demographic disparities / equity tag,Comparisons across demographic or equality-relevant groups are central; socioeconomic inequality alone or routine subgroup breakdowns do not qualify.,0,,,,,COVID-19 & Pandemic,"COVID-19 or pandemic conditions are a central research focus or lens, not merely the period covered by the data.",0,,,,,,,,,,,,,,,,,,,,0
OWNER_TEST_003,project_review,14,,,,,,,ASSIGN_TEST_018,SYN_RECORD_018,SYN_PROJECT_018,Synthetic project 018: neutral public-register test,Synthetic dataset A018; Synthetic dataset B018,https://example.invalid/synthetic/018,20260601-cleaned-1308,dea-validation-production-20260702-fable5-dict-1.0-rc2,1.0-rc2,0000000000000000000000000000000000000000000000000000000000000012,owner-redcap-candidate-0.3,project-owner-taxonomy-display-v1,Housing & Planning; Migration & Demographics; Environment & Agriculture,Service Interaction / Systems Analysis,Demographic disparities / equity — Applied; COVID-19 & Pandemic — Not applied,Housing & Planning,"Housing, homelessness, tenure, residential conditions and mobility, neighbourhood change and planning systems.",,,,,Migration & Demographics,"Population structure and change, migration, fertility, ageing and mortality as a demographic outcome.",,,,,Environment & Agriculture,"Environment, climate, energy, agriculture, land use, pollution, decarbonisation and environmental impacts.",,,,,,,,,,,Service Interaction / Systems Analysis,"How people, cases or organisations access, use, move through or are processed by public services.",,,,,,,,,,,Demographic disparities / equity tag,Comparisons across demographic or equality-relevant groups are central; socioeconomic inequality alone or routine subgroup breakdowns do not qualify.,1,,,,,COVID-19 & Pandemic,"COVID-19 or pandemic conditions are a central research focus or lens, not merely the period covered by the data.",0,,,,,,,,,,,,,,,,,,,,0
