Project ID,Record ID,Title,Datasets Used,Accreditation Date,Year,sample_reason
2024/094,2024/094,Revealing Social Mobility,"DfE, DWP and HMRC: Longitudinal Education Outcomes SRS Iteration 2 Standard Extract - England",2024-05-30,2024,short_title
2025/110,2025/110,UK MS Register,SAIL Databank Databank: Census 2021,2025-04-30,2025,short_title
2024/093,2024/093,Help to Grow Management study,"Office for National Statistics: Annual Business Survey - GB, Business Structure Database - UK, Annual Survey of Hours and Earnings - GB",2024-05-30,2024,short_title
2024/225,2024/225,Return to gay pay in the UK,"Office for National Statistics: Annual Population Survey, Quarterly Labour Force Survey",2024-11-18,2024,short_title
2025/165,2025/165,"Cities, income and wealth","Office for National Statistics: Annual Survey of Hours and Earnings - UK,  Living Costs and Food Survey - UK, Understanding Society - UK, Wealth and Assets Survey - Great Britain",2025-07-22,2025,short_title
2020/046,2020/046,Wage and employment dynamics,"Office for National Statistics: Annual Survey for Hours and Earnings, New Earnings Survey, Annual Survey for Hours and Earnings  / Census  linked dataset, Business Structure Database, Annual Population Survey ",2020-05-29,2020,short_title
2024/120,2024/120,Cystic Fibrosis Genomics data,SAIL Databank Databank: Census 2021,2024-07-22,2024,short_title
2020/033,2020/033,Education and Identity,Office for National Statistics: Quarterly Labour Force Survey ,2020-06-11,2020,short_title
2024/177,2024/177,The Health Impact of Fraud,Office for National Statistics: Crime Survey for England and Wales,2024-09-13,2024,short_title
2023/087,2023/087,Austerity and household debt,"Office for National Statistics: Wealth and Assets Survey - Great Britain, Living Costs and Food Survey - UK",2023-06-19,2023,short_title
2022/132,2022/132,Northern Ireland Trade Model,"Northern Ireland Statistics and Research Agency: Northern Ireland Annual Business Inquiry , Broad Economy Sales and Exports Statistics  ",2022-08-08,2022,short_title
2023/051,2023/051,Dynamics of Climate Policy,"Office for National Statistics: Business Structure Database - UK, Low Carbon and Renewable Energy Economy Survey - UK, Annual Purchases Survey - UK, Annual Respondents Database x - UK
Department for Business, Energy & Industrial Strategy: Quarterly Fuels Inquiry - UK",2023-03-23,2023,short_title
2022/134,2022/134,Modes of Trade in Services,"Office for National Statistics: Annual Business Survey, Annual Foreign Direct Investment Survey, International Trade in Services ",2022-08-17,2022,short_title
2021/102,2021/102,Social and Spatial Mobility,"Office for National Statistics: New Earnings Survey Panel Dataset, Annual Survey of Hours and Earnings, Annual Respondents Database, Annual Business Survey, Business Structure Database 
Institute for Social and Economic Research: Understanding Society, Waves 1-9,  and Harmonised BHPS, Waves 1-18, BHPS, Waves 1-18 ",2021-08-13,2021,short_title
2023/031,2023/031,Monopsony and minimum wages,"Office for National Statistics: Annual Survey of Hours and Earnings - UK, Annual Population Survey - UK, Business Structure Database - UK",2023-02-13,2023,short_title
2023/030,2023/030,The effect of inward foreign direct investment on regional productivity and firm dynamics.,"Office for National Statistics: Annual Foreign Direct Investment Survey - UK, Annual Business Survey - UK, Business Structure Database - UK, International Trade in Services - UK, Annual Survey of Hours and Earnings - UK, Business Register Employment Survey - UK, Business Enterprise Research and Development - Great Britain, Quarterly Capital Expenditure Survey - UK, Quarterly Acquisitions and Disposals of Capital Assets Survey - UK
Department for Business, Energy & Industrial Strategy: UK Innovation Survey",2023-02-22,2023,long_datasets
2023/243,2023/243,Microdata Analysis of Productivity,"Office for National Statistics: Annual Business Survey,
Annual Business Inquiry,
Annual Respondents Database (ARD2),
Annual Respondents Database X (ARDX),
Annual Survey of Hours and Earnings (ASHE),
Business Register Employment Survey (BRES),
Business Structure Database (BSD),
Consumer Prices,
Producer Price Index (PPI, EPI, IPI),
E-Commerce Survey,
International Trade in Services,
Investment in Intangible Assets Survey,
Labour Force Survey (Household),
Labour Force Survey (Person),
Labour Force Survey (Longitudinal),
Linked Trade-in-Goods/Inter-Departmental-Business-Register,
Management and Expectations Survey,
Management Practices Survey,
Monthly Business Survey,
Bespoke Data Tables for Project",2023-10-12,2023,long_datasets
2023/273,2023/273,Innovation and Emission Responses to Environmental Regulations,"Office for National Statistics: Annual Business Survey, Annual Inquiry into Foreign Direct Investment, Business Expenditure on Research and Development, Business Register and Employment Survey, Business Structure Database Longitudinal, Business Structure Database, Employer Skills Survey, International Trade in Services, Longitudinal Small Business Survey, Low Carbon and Renewable Energy Economy Survey, Monthly Business Survey, Prices Survey Microdata, Products of the European Community, Quarterly Acquisitions and Disposals of Capital Assets Survey, Quarterly Capital Expenditure Survey, Quarterly Fuels Inquiry, Research and Development Expenditures and Subsidies, Firm Productivity, Employment Creation and Survival, UK Innovation Survey",2023-11-01,2023,long_datasets
2024/016,2024/016,"ESCoE 2.5 - Management practices, business uncertainty and their impact on productivity.","Office for National Statistics: Annual Business Survey - GB, Annual Respondents Database 2 - UK, Annual Respondents Database x - UK, Business Enterprise Research and Development - Great Britain, Business Structure Database - UK, E-commerce and Digital Economy Survey - UK, Labour Force Survey Household - UK, Labour Force Survey Longitudinal - UK, Labour Force Survey Person - UK, Management Practices Survey - Great Britain, Bespoke Management and Expectations Survey, Annual Purchases Survey - UK, Annual Survey of Hours and Earnings - UK, International Trade in Services - UK, Annual Population Survey - UK, Business Insights and Conditions Survey - UK
DBT: UK Innovation Survey
Department For Education: Employer Skills Survey and Investment in Training - UK",2024-01-30,2024,long_datasets
2023/261,2023/261,Analysis of distributional consequences and considerations for Monetary Policy,"Office for National Statistics: Annual Business Survey - UK, Annual Survey of Hours and Earnings - UK, Business Register Employment Survey - UK, Living Costs and Food Survey - UK, Business Insights and Conditions Survey - UK, Annual Survey of Hours and Earnings Longitudinal - UK, Wealth and Assets Survey - Great Britain, Vacancy Survey - UK, Consumer and Retail Price Index - UK, Labour Force Survey Person - UK, Business Structure Database - UK
Institute for Economic and Social Research: Understanding Society - UK
Office for National Statistics, University of Oxford, NHS England: COVID-19 Infection Survey linked to Combined Vaccination - UK
DWP: Family Resources Survey - UK
Bank of England: Decision Maker Panel - UK",2023-10-26,2023,long_datasets
2023/066,2023/066,Vaccination heterogeneity within social networks,"Office for National Statistics, University of Oxford, NHS England: COVID-19 Infection Survey linked to Combined Vaccination - UK
ONS; University of Oxford; DHSC: COVID-19 Infection Survey linked to NHS Test and Trace - England
Department of Health and Social Care: Schools Daily Contact Testing - England
Office for National Statistics: Opinions and Lifestyle Survey - Great Britain, COVID-19 Vaccine Opinions Survey - England, Labour Force Survey Household - UK, COVID-19 Schools Infection Survey - England, COVID-19 Schools Infection Survey linked with Test and Trace - England
UKHSA: NHS Test and Trace - England and Wales
Office for National Statistics, University of Oxford: COVID-19 Infection Survey - UK
Institute for Economic and Social Research: Understanding Society - UK",2023-05-02,2023,long_datasets
2020/012,2020/012,Wage progression and firm productivity,"Office for National Statistics: Annual Business Inquiry, Annual Inquiry into Foreign Direct Investment, Annual Respondents DatabaseX, Annual Respondents Database, Annual Survey of Hours and Earnings, Business Expenditure on Research and Development, Business Impact of COVID-19 Survey, Business Register Employment Survey, Business Structure Database, Business Structure Database Longitudinal, Capital Stocks, Financial Assets and Liabilities Survey, Interdepartmental Business Register, Investment in Intangible Assets, International Trade in Services, Labour Force Survey, Monthly Wage and Salary Survey, New Earnings Survey, Quarterly Capital Expenditure Survey, Survey of Innovation and Patent Use, Vacancy Survey, ASHE 
Intellectual Property Office: Patents, Designs and Trade Marks 
Department for Education: National Department for Business, Energy and Industrial Strategy: Employer Skills Survey  & Workplace Employment Relations Survey 
Department for Business, Energy and Industrial Strategy: Small Business Survey Longitudinal 
Department for Business, Energy and Industrial Strategy: Community Innovation Survey ",2020-03-16,2020,long_datasets
2024/070,2024/070,The Labour Market Impacts of Brexit,"Office for National Statistics:
Annual Business Survey,
Annual Respondents 
Database 2,
Annual Survey of Hours 
and Earnings,
Annual Survey of Hours 
and Earnings Longitudinal,
Business Enterprise 
Research and 
Development  Great 
Britain,
Business Enterprise 
Research and 
Development  ­ Northern 
Ireland,
Business Register 
Employment Survey,
Business Structure 
Database,
Census 2011 Individual  ­ 
England and Wales,
Census 2011 Individual  ­ 
Northern Ireland,
Census 2011 Individual  ­ 
Scotland,
Consumer and Retail Price 
Index,
Labour Force Survey 
Longitudinal,
Labour Force Survey 
Person,
Quarterly Acquisitions and 
Disposals of Capital 
Assets Survey,
Quarterly Capital 
Expenditure Survey,
Department for Business, Energy & Industrial Strategy: 
UK Innovation Survey
",2024-05-07,2024,long_datasets
2022/146,2022/146,Enterprise Research Centre: SME Growth and Productivity - building the evidence base for SME-policy making,"Office for National Statistics: Annual Business Inquiry, Annual Business Survey, Annual Foreign Direct Investment Survey ­, Annual Population Survey, Annual Respondents Database x, Annual Survey of Hours and Earnings Annual  & Panel, Business Insights and Conditions Survey, Business Structure Database, Business Structure Database: Longitudinal, E-commerce Survey, International Trade in Services, Labour Force Survey Household, Low Carbon and Renewable Energy Economy Survey, Management and Expectations Survey, UK Innovation Survey 	
		
",2022-06-09,2022,long_datasets
2019/017,2019/017,"The spatial distribution of UK Foreign Direct Investment : causes, effects, and policy","Office for National Statistics: Annual Outward Foreign Direct Investment Survey, Mergers and Acquisitions, Annual Respondents Database, Business Structure Database, Business Structure Database Longitudinal, Annual Business Survey, Business Enterprise Research and Development, Business Register and Employment Survey, International Trade in Services Survey & Quarterly Acquisitions and Disposals of Capital Assets Survey 
Department for Business, Energy & Industrial Strategy: Community Innovation Survey   “ United Kingdom Innovation Survey
Data given for all available years unless otherwise stated.",2019-11-19,2019,long_datasets
2023/009,2023/009,"Trade, Brexit and Firm Performance","Office for National Statistics: Annual Business Survey - UK, Annual Foreign Direct Investment Survey - UK, Annual Respondents Database x - UK, Annual Survey of Hours and Earnings - UK, Business Enterprise Research and Development - Great Britain, Business Register Employment Survey - UK, Business Structure Database - UK, Business Structure Database Longitudinal - UK, Foreign Direct Investment Index - UK, International Trade in Services - UK, UK Manufacturers Sales by Product Survey, Management and Expectations Survey - Great Britain
Bank of England: Decision Maker Panel - UK
Office for National Statistics, HM Revenue & Customs: Linked Trade-in-Goods/Inter-Departmental Business Register - UK
Department for Business, Energy & Industrial Strategy: UK Innovation Survey",2023-01-11,2023,long_datasets
2025/100,2025/100,Enabling Skills for a Transition to a Green Economy,"Office for National Statistics: Annual Population Survey - UK, Labour Force Survey Person - UK, Annual Survey of Hours and Earnings Longitudinal - UK, Annual Respondents Database x - UK, Annual Business Survey - GB, Business Register Employment Survey - UK, Business Structure Database - UK, E-commerce and Digital Economy Survey - UK_x000D_
Department For Education: Employer Skills Survey and Investment in Training - UK_x000D_
Institute for Economic and Social Research: Understanding Society - UK",2025-04-15,2025,long_datasets
2023/061,2023/061,New research and improving research capability on economic growth and productivity,"Office for National Statistics: Annual Business Survey - UK, Annual Respondents Database 2 - UK, Annual Respondents Database x - UK, Business Enterprise Research and Development - Great Britain, Business Register Employment Survey - UK, Business Structure Database - UK, E-commerce Survey - UK, Investment in Intangible Assets Survey - UK, Monthly Business Survey - UK, Management Practices Survey - Great Britain, Vacancy Survey - UK, Monthly Wage and Salary Survey - Great Britain, Annual Survey of Goods and Services - UK, Management and Expectations Survey - Great Britain, Monthly Business Survey for Construction and Allied Trades - Great Britain, Business Insights and Conditions Survey - UK, Monthly Production Inquiry - UK, Short Term Employment Survey - Great Britain, Quarterly Acquisitions and Disposals of Capital Assets Survey - UK, Annual Purchases Survey - UK, RETIRED Mergers and Acquisitions Survey - UK, Monthly Inquiry into the Distributive and Services Sector - UK, Annual Foreign Direct Investment Survey - UK, International Trade in Services - UK, Labour Force Survey Longitudinal - UK, Quarterly Capital Expenditure Survey - UK, Annual Survey of Hours and Earnings - UK
Department for Business, Energy & Industrial Strategy: UK Innovation Survey, Longitudinal Small Business Survey - UK
Bank of England: Decision Maker Panel - UK",2023-04-13,2023,long_datasets
2024/003,2024/003,Investigating the characteristics of business investment using firm-level microdata,"Office for National Statistics: Annual Business Survey - GB, Annual Respondents Database 2 - UK, Annual Respondents Database x - UK, Business Enterprise Research and Development - Great Britain, Business Register Employment Survey - UK, Business Structure Database - UK, Consumer and Retail Price Index - UK, Management Practices Survey - Great Britain, Producer Price Index - UK, Bespoke Management and Expectations Survey, Annual Purchases Survey - UK, Business Insights and Conditions Survey - UK
DBT: UK Innovation Survey, Longitudinal Inter-Departmental Business Register - UK",2024-01-11,2024,long_datasets
2021/141,2021/141,Exploratory Project: Exploratory Analysis of Health Data Asset,"Office for National Statistics: Annual Population Survey , Births registrations, England and Wales, Coronavirus and the social impacts on Great Britain, Death registration data, Provisional Monthly Extracts ­ England and Wales, Death Registrations, England and Wales, Labour Force Survey,, Linked Census and death occurrences - England and Wales, Vacancy Survey 

NHSD: Public Health Research Database 

Office for National Statistics / University of Oxford / Valuation Office Agency / Ministry of Housing, Communities and Local Government: Covid-19 Infection Survey linked with VOA and EPC data  

Office for National Statistics / University of Oxford: COVID-19 Infection Survey ",2021-11-11,2021,long_datasets
2020/099,2020/099,Estimation of energy demand drivers and the effect of public policies on consumption under the climate emergency,"Department for Business, Energy & Industrial Strategy: National Energy Efficiency data 
Office for National Statistics: Annual Respondents Database, Annual Respondents Database, Annual Business Survey, Annual Survey of Hours and Earnings, Products of the European Community, Business Structure Database, Longitudinal Business Structure Database, Annual Inquiry into Foreign Direct Investment, Annual Population Survey  &amp, Labour Force Survey Household, Living Costs and Food Survey 
Institute for Social and Economic Research: Understanding Society 
Department for Business, Energy and Industrial Strategy: Quarterly Fuels Inquiry 
Department for Business, Energy and Industrial Strategy: Community Innovation Survey ",2020-10-22,2020,long_datasets
2020/027,2020/027,COVID-19 Infection Survey,"Office for National Statistics: ONS COVID-19 Weekly Opinions Survey, Labour Force Survey, ONS Death Registrations Data 
Office for National Statistics / University of Oxford / Valuation Office Agency / Ministry of Housing, Communities and Local Government: Covid-19 Infection Survey linked with VOA and EPC data  
Office for National Statistics / University of Oxford: Covid-19 Infection Survey with National Immunisation Management Service, Covid-19 Infection Survey linked with Death Occurrences England and Wales 
Office for National Statistics / NHSD / University of Oxford: COVID-19 Infection Survey linked with Public Health Research Database  ",2020-04-28,2020,short_title;long_datasets
2023/170,2023/170,Tax and benefit microsimulation,"Office for National Statistics: Annual Population Survey Household, Annual Population Survey, British Election Panel Study, British Household Panel Survey, British Local Election Database, Childcare and Early Years Provision: Providers' Survey, English Longitudinal Study of Ageing, Expenditure and Food Survey, Family Expenditure Survey, Family Resources Survey, General Household Survey, Health and Lifestyle Survey, Health Survey for England, Households Below Average Income, International Passenger Survey, Labour Force Survey Two-Quarter Longitudinal Dataset, Labour Force Survey, Living Costs and Food Survey, National Travel Survey, ONS Omnibus Survey, Quarterly Labour Force Survey Household Dataset, Quarterly Labour Force Survey, Survey of Personal Incomes, Understanding Society: COVID-19 Study, Understanding Society: Innovation Panel",2023-08-10,2023,long_datasets
2019/018,2019/018,Foreign Direct Disinvestment: causes and effects,"Office for National Statistics: Annual Outward Foreign Direct Investment Survey, Mergers and Acquisitions, Annual Respondents Database, Business Structure Database, Business Structure Database Longitudinal, Annual Business Survey, Business Enterprise Research and Development, Business Register and Employment Survey, International Trade in Services Survey & Quarterly Acquisitions and Disposals of Capital Assets Survey 
Department for Business, Energy & Industrial Strategy: Community Innovation Survey   “ United Kingdom Innovation Survey
Data given for all available years unless otherwise stated.",2019-11-22,2019,long_datasets
2026/038,2026/038,Exploring the labour market outcomes of young people in Northern Ireland,Office for National Statistics: Census 21 Comprehensive Microdata,2026-03-05,2026,random_fill
2025/242,2025/242,Reviewing our Measurement Framework and conducting a data quality review to ensure that our data sources are of a high quality and all protected characteristics are available for analysis ahead of the next Statutory report.,"Office for National Statistics: Labour Force Survey, Death Registration Data, Annual Population Survey - UK, Annual Survey of Hours and Earnings - UK, Crime Survey for England and Wales, Opinions and Lifestyle Survey",2025-10-21,2025,random_fill
2022/118,2022/118,STEM skills inequity across the UK,Office for National Statistics: Labour Force Survey Person ,2022-08-16,2022,random_fill
2025/072,2025/072,Mapping the Northern Ireland Labour Market,Office for National Statistics: Labour Force Survey Person - UK,2025-03-11,2025,random_fill
2023/183,2023/183,"Welfare Access, Assets And Debts of LGBT+ People In The UK",Office for National Statistics: Wealth and Assets Survey,2023-08-18,2023,random_fill
2024/125,2024/125,"Exploring health and social inequalities in exposure to outdoor volatile organic compounds (VOCs) concentrations across Leicester, UK.",Office for National Statistics: Annual Population Survey - UK,2024-07-22,2024,random_fill
2020/001,2020/001,How does tax affect incorporation and business outcomes?,"Department for Business, Energy and Industrial Strategy: Longitudinal Small Business Survey & Small Business Survey",2020-01-17,2020,random_fill
2022/100,2022/100,The geography of social and educational mobility in the United Kingdom,"DfE, DWP and HMRC: LEO via SRS Iteration 1 Standard Extract ",2022-06-28,2022,random_fill
2020/023,2020/023,"The determinants of performance-pay utilisation by firms and its consequences for firm behaviour, performance, and employee outcomes","Office for National Statistics: Business Structure Database, Annual Business Survey, Workplace Employment Relations Survey, International Trade in Services, Annual Survey of Hours and Earnings  & Wealth and Assets Survey ",2020-04-20,2020,random_fill
2023/083,2023/083,"Effects of Austerity Policies on Public Goods, Local Amenities, and Individual Behaviour","Institute for Economic and Social Research: Understanding Society - UK
Office for National Statistics: Business Structure Database - UK",2023-06-07,2023,random_fill
2025/141,2025/141,Evaluation of the 50+ element of Support to Succeed Pilot,Office for National Statistics: Labour Force Survey - Person UK,2025-06-19,2025,random_fill
2022/026,2022/026,An investigation into the location decisions of young professionals in urban areas,"Office for National Statistics: Annual Survey of Hours and Earnings, Business Structure Database, Crime Survey for England and Wales 
Institute for Economic and Social Research: Understanding Society: Waves 1-10 and Harmonised BHPS Geography files, Understanding Society ",2022-02-14,2022,random_fill
2022/071,2022/071,Analysing labour market transitions and progression for disadavantaged populations using linked administrative data,Office for National Statistics: Racial Disparity Audit Data ,2022-12-05,2022,random_fill
2024/092,2024/092,Cumulative Disadvantage in the Criminal Justice System,"Ministry of Justice: RETIRED Ministry of Justice Data First Magistrates Court Defendant - England and Wales, Ministry of Justice Data First Crown Court Defendant - England and Wales, Ministry of Justice Data First Family Court - England and Wales, Ministry of Justice Data First Prisoner Custodial Journey - England and Wales, Retired Ministry of Justice Data First Probation - England and Wales, MoJ Data First cross-justice system linking dataset England and Wales",2024-05-30,2024,random_fill
2022/186,2022/186,ISCF Prospering from the Energy Revolution Evaluation,"Office for National Statistics: Annual Business Survey, Annual Survey of Hours and Earnings, Business Enterprise Research and Development, Business Structure Database",2022-11-18,2022,random_fill
2020/063,2020/063,Identifying flare ups of the COVID-19 infection across the UK,"Office for National Statistics: COVID-19 Weekly Opinions Survey, Labour Force Survey, ONS Death Registrations Data, 2020 Wave 1 Labour Force Survey  
UCAS: Universities and Colleges Admissions Service Data 
Office for National Statistics / University of Oxford: COVID-19 Infection Survey ",2020-08-07,2020,random_fill
2025/164,2025/164,Investigating Disparities in the Reporting of Sexual Violence in England and Wales: A Comparative and Intersectional Analysis Using Crime Survey Microdata,"Office for National Statistics: Crime Survey for England and Wales, 2022-2023",2025-07-31,2025,random_fill
2023/176,2023/176,Analysis of UK international trade performance and drivers using firm level data.,"Office for National Statistics, HM Revenue & Customs: Linked Trade-in-Goods/Inter-Departmental Business Register - UK
Office for National Statistics: International Trade in Services - UK, Annual Business Survey - UK",2023-08-18,2023,random_fill
2023/022,2023/022,Estimating the effect of online food delivery platforms on consumers and businesses,"Office for National Statistics: Annual Business Survey - UK, Annual Survey of Hours and Earnings - UK, Labour Force Survey Household - UK, Labour Force Survey Longitudinal - UK, Labour Force Survey Person - UK
Department for Business, Energy & Industrial Strategy: Longitudinal Small Business Survey - UK",2023-01-23,2023,random_fill
2022/104,2022/104,"Carbon tax, R&D tax credits and the spatial profile of pollution and innovation","Office for National Statistics: Annual Respondents Database 2 UK, Annual Respondents Database x UK, Business Enterprise Research and Development England, Wales & Scotland, Quarterly Fuels Inquiry UK, UK Innovation Survey ",2022-07-18,2022,random_fill
2023/029,2023/029,Sustainable Living: Opinions and Lifestyle Survey Analysis of Attitudes and Behaviours,Office for National Statistics: Opinions and Lifestyle Survey - Great Britain,2023-02-10,2023,random_fill
2023/231,2023/231,The Transitions of Young Workers in the UK Labour Market,Office for National Statistics: Annual Survey of Hours and Earnings linked to 2011 Census - England and Wales,2023-09-27,2023,random_fill
2024/118,2024/118,"Multimorbidity and Pregnancy: Determinants, Clusters, Consequences and Trajectories (MuM-PreDiCT)",SAIL Databank Databank: Census 2011,2024-07-11,2024,random_fill
2021/184,2021/184,IFoA mortality by cause dataset,"Office for National Statistics: Death Registrations, England and Wales ",2022-11-03,2022,random_fill
2024/240,2024/240,Quasi-experimental analysis of the Energy Systems Catapult's impacts on supported small and medium-sized enterprises,Office for National Statistics: Business Structure Database - UK,2024-12-09,2024,random_fill
2025/158,2025/158,Social and environmental determinants of health,SAIL Databank: Census 2021,2025-07-21,2025,random_fill
2024/218,2024/218,Assessing the impact of Operation Venetic on court outcomes.,"Ministry of Justice: Ministry of Justice Data First Magistrates Court Iteration 2 - England and Wales, RETIRED Ministry of Justice Data First Crown Court Defendant - England and Wales, MoJ Data First cross-justice system linking dataset England and Wales",2024-11-12,2024,random_fill
2026/055,2026/055,"The balance of power: monopsony, unions and wages in the Great Britain using employer employee data","Office for National Statistics: Annual Business Survey - GB,
New Earnings Survey - GB,
Business Structure Database - UK,
Annual Survey of Hours and Earnings - GB,",2026-03-20,2026,random_fill
2022/123,2022/123,Evaluating the fairness of admissions to UK higher education,Office for National Statistics: Universities and Colleges Admissions Service ,2022-02-08,2022,random_fill
2025/005,2025/005,The application of the Insanity defence (Not Guilty by Reason of Insanity) in Crown Courts in England and Wales,Ministry of Justice: Ministry of Justice Data First Crown Court Iteration 2 - England and Wales,2025-01-10,2025,random_fill
2023/046,2023/046,Local far-right support and immigrants' location choices in the UK,Office for National Statistics: Annual Population Survey - UK,2023-03-20,2023,random_fill
2020/121,2020/121,"ISCF Industrial Decarbonisation Challenge Evaluation

","Office for National Statistics: Annual Business Survey, Business Enterprise Research and Development, Business Structure Database  & Low Carbon and Renewable Energy Economy Survey ",2020-07-12,2020,random_fill
2021/042,2021/042,Understanding the social impacts of COVID-19 under different health restrictions: Longitudinal analysis using the ONS OPN Covid-19 survey,Office for National Statistics: Coronavirus and the social impacts on Great Britain ,2021-04-21,2021,random_fill
2021/186,2021/186,Understanding sub-national graduates mobility in the years after graduation.,"DfE, DWP and HMRC:  LEO via SRS Iteration 1 Standard Extract

Office for National Statistics: Business Register and Employment Survey, Annual Population Survey",2022-01-18,2022,random_fill
2022/005,2022/005,Occupational differences in COVID-19 outcomes,"Office for National Statistics / University of Oxford: Covid-19 Infection Survey, Covid-19 Infection Survey linked with Combined Vaccination Dataset 
",2022-01-14,2022,random_fill
2022/189,2022/189,Impact of No Interest Loan Scheme,"Office for National Statistics: Annual Population Survey, Understanding Society, Wealth and Assets Survey",2022-11-25,2022,random_fill
2025/043,2025/043,Impact evaluation of Innovate UK Fast Start Programme,"Office for National Statistics: Annual Business Survey, Annual Survey of Hours and Earnings, Business Structure Database, Business Enterprise Research and Development",2025-05-16,2025,random_fill
2023/203,2023/203,Economic Evaluation of the Aerospace Technology Institute,"Office for National Statistics: Business Enterprise Research and Development - Great Britain, Annual Survey of Hours and Earnings - UK, Business Structure Database - UK, Annual Business Survey - UK",2023-09-12,2023,random_fill
2024/050,2024/050,Impact of labour market constraints on maternal labour supply,"Office for National Statistics: 
Annual Population Survey Household,
Annual Population Survey,
Quarterly Labour Force Survey, 
Business Structure Database,
Labour Force Survey Household Datasets",2024-04-02,2024,random_fill
2021/087,2021/087,Examining new spatial and social mobilities to understand the shaping of geographical inequalities across the UK,Office for National Statistics: Longitudinal Study of England and Wales ,2021-07-13,2021,random_fill
2022/061,2022/061,Understanding the impact of migration on population mortality dynamics and cancer risk,Office for National Statistics: Longitudinal Study of England and Wales ,2022-04-05,2022,random_fill
2023/037,2023/037,Assessing the impact of the NLW using machine-learning classification,"Office for National Statistics: Labour Force Survey Person - UK, Labour Force Survey Longitudinal - UK, Annual Survey of Hours and Earnings - UK",2023-03-02,2023,random_fill
2020/043,2020/043,Corporate response to energy-efficiency agreements: evidence from the UK manufacturing industry,"Office for National Statistics: Business Structure Database, Annual Respondent Database X, Annual Business Survey  
Department for Business, Energy and Industrial Strategy: Quarterly Fuels Inquiry ",2020-05-29,2020,random_fill
2025/131,2025/131,Transforming Justice: The Interplay of Social Change and Policy Reforms,Ministry of Justice: Data First Family Court,2025-06-09,2025,random_fill
2023/072,2023/072,Exploring the life course patterns and family justice experience of young mothers involved in recurrent care proceedings in England,"Ministry of Justice: Children and Family Court Advisory and Support Service (CAFCASS England), Family Man",2023-06-05,2023,random_fill
2024/230,2024/230,"Health-related Outcomes, alternative Provision, and Exclusion among pupils with neurodivergent Special Educational Needs (HOPE-SEN)",NHS; DfE: Education and Child Health Insights from Linked Data - England,2024-12-03,2024,random_fill
2025/027,2025/027,Migration Observatory analysis of international migration under the UK  ™s post-Brexit immigration system,"Office for National Statistics: Census 2021  
England  and  Wales",2025-02-04,2025,random_fill
2025/203,2025/203,Local labour markets and structural change across OECD countries (UK component),"Office for National Statistics: Business Structure Database UK, 
Annual Business Survey GB, 
Annual Survey of Hours and Earnings 
Longitudinal - UK",2025-09-11,2025,random_fill
