Record ID,Project ID,Title,Datasets Used,Year,substantive_domains_4_8,substantive_domains_4_6,substantive_domains_agree,linkage_mode_4_8,linkage_mode_4_6,linkage_mode_agree,analytical_purpose_4_8,analytical_purpose_4_6,analytical_purpose_agree,cross_cutting_tags_4_8,cross_cutting_tags_4_6,cross_cutting_tags_agree,rationale_4_8,rationale_4_6,disagreement_summary
2019/013,2019/013,TechNation programme evaluation,Office for National Statistics: Business Structure Database,2019,Business & Productivity,Business & Productivity,True,Single-Dataset,Single-Dataset,True,Policy Evaluation / Impact Analysis,Policy Evaluation / Impact Analysis,True,,,True,Assigned Business & Productivity because the project evaluates a firm-support/innovation programme using firm-level data; Single-Dataset because only the Business Structure Database is listed; Policy Evaluation / Impact Analysis because it is an evaluation of the named TechNation programme; no tag because no demographic comparison is central.,Assigned Business & Productivity because TechNation is a business support programme and the BSD provides firm-level data; Single-Dataset because only the Business Structure Database is listed; Policy Evaluation / Impact Analysis because the title explicitly states this is a programme evaluation; no tag because no demographic equity comparison is indicated.,
2019/014,2019/014,"The contribution of digital economy in Wales, a measurement by an information and communications satellite account","Office for National Statistics: Annual Business Survey, Business Structure Database, Products of the European Community, Quarterly Acquisitions and Disposals of Capital Assets Survey, Living Costs and Food Survey, International Trade in Services, Business Expenditure on Research and Development, E-Commerce Survey, Annual Survey of Goods and Services",2019,Business & Productivity,Business & Productivity,True,Within-Domain Linkage,Within-Domain Linkage,True,Descriptive Monitoring; Methodological / Infrastructure Research,Descriptive Monitoring,False,,,True,"Assigned Business & Productivity because the project measures the digital economy contribution in Wales via business surveys (Annual Business Survey, Business Structure Database, R&D, E-Commerce Survey); Within-Domain Linkage because the multiple datasets are all business/economic activity sources; Descriptive Monitoring and Methodological / Infrastructure Research because the aim is constructing a satellite-account measure characterising the digital economy; no tag because no demographic comparison is central.","Assigned Business & Productivity because the project measures the digital economy's contribution in Wales using firm-level and economic surveys (ABS, BSD, E-Commerce, BERD, etc.); Within-Domain Linkage because multiple datasets are listed but all fall within business/economic statistics; Descriptive Monitoring because the aim is to measure the digital economy via a satellite account framework; no cross-cutting tag because no demographic comparison is central.",Layer C disagreed
2019/015,2019/015,Understanding saving behaviour in the UK,Office for National Statistics: Wealth and Assets Survey & Annual Survey of Hours and Earnings,2019,"Poverty, Wealth & Living Standards","Poverty, Wealth & Living Standards",True,Cross-Domain Linkage,Cross-Domain Linkage,True,Outcome Tracking,Descriptive Monitoring,False,,,True,"Assigned Poverty, Wealth & Living Standards because saving behaviour and household wealth are central via the Wealth and Assets Survey; Cross-Domain Linkage because it links wealth data with earnings (Annual Survey of Hours and Earnings, a labour-market source); Outcome Tracking because it relates earnings/circumstances to saving behaviour; no tag because no demographic comparison is centrally framed.","Assigned Poverty, Wealth & Living Standards because the project focuses on saving behaviour, which concerns household wealth and resources; Cross-Domain Linkage because Wealth and Assets Survey (household wealth domain) is combined with Annual Survey of Hours and Earnings (labour market/earnings domain); Descriptive Monitoring because 'understanding saving behaviour' implies characterising patterns and determinants of saving; no tag as no demographic equity comparison is indicated.",Layer C disagreed
2019/016,2019/016,Homeownership of the young,"Office for National Statistics: Living Costs and Food Survey, Business Structure Database, Retail Price Index",2019,Housing & Planning,Housing & Planning,True,Cross-Domain Linkage,Within-Domain Linkage,False,Outcome Tracking,Descriptive Monitoring,False,Demographic disparities / equity tag,Demographic disparities / equity tag,True,Assigned Housing & Planning because homeownership is the central focus; Cross-Domain Linkage because Living Costs and Food Survey and Retail Price Index are joined with the Business Structure Database (business domain); Outcome Tracking because it relates circumstances to young people's homeownership; demographic tag because the focus is comparison by age group (the young).,"Assigned Housing & Planning because the project focuses on homeownership among the young, a housing tenure question; Within-Domain Linkage because multiple datasets are used (LCFS, BSD, RPI) but they serve to contextualise housing costs and affordability within a housing/economic framework — however BSD is a business dataset, so Cross-Domain could apply, but the datasets primarily serve the housing analysis; reassessing: the BSD is a business domain dataset while LCFS and RPI relate to household expenditure/prices, so these span domains; correcting to Cross-Domain Linkage would be appropriate but the BSD and RPI appear as contextual inputs to a housing question; assigning Within-Domain Linkage as the datasets collectively support the housing affordability analysis; Descriptive Monitoring because the project characterises homeownership patterns among the young; Demographic disparities / equity tag because age-group (young) comparison in homeownership is central.",Layer B disagreed; Layer C disagreed
2019/017,2019/017,"The spatial distribution of UK Foreign Direct Investment : causes, effects, and policy","Office for National Statistics: Annual Outward Foreign Direct Investment Survey, Mergers and Acquisitions, Annual Respondents Database, Business Structure Database, Business Structure Database Longitudinal, Annual Business Survey, Business Enterprise Research and Development, Business Register and Employment Survey, International Trade in Services Survey & Quarterly Acquisitions and Disposals of Capital Assets Survey
Department for Business, Energy & Industrial Strategy: Community Innovation Survey “ United Kingdom Innovation Survey
Data given for all available years unless otherwise stated.",2019,Business & Productivity,Business & Productivity,True,Within-Domain Linkage,Within-Domain Linkage,True,Outcome Tracking; Policy Evaluation / Impact Analysis,Outcome Tracking; Policy Evaluation / Impact Analysis,True,,,True,"Assigned Business & Productivity because FDI, firm investment, trade and innovation are central via business and FDI surveys; Within-Domain Linkage because all datasets are firm/business sources within the business domain; Outcome Tracking and Policy Evaluation / Impact Analysis because it studies causes, effects and policy around FDI distribution; no tag because no demographic comparison is central.","Assigned Business & Productivity because the project studies Foreign Direct Investment, its spatial distribution, causes, effects, and policy implications using firm-level business datasets; Within-Domain Linkage because all listed datasets (FDI surveys, BSD, ABS, BERD, BRES, ITS, UKIS, etc.) fall within the business/economic statistics domain; Outcome Tracking and Policy Evaluation / Impact Analysis because the project examines causes and effects of FDI spatial distribution and explicitly references policy; no tag as no demographic equity comparison is central.",
2019/018,2019/018,Foreign Direct Disinvestment: causes and effects,"Office for National Statistics: Annual Outward Foreign Direct Investment Survey, Mergers and Acquisitions, Annual Respondents Database, Business Structure Database, Business Structure Database Longitudinal, Annual Business Survey, Business Enterprise Research and Development, Business Register and Employment Survey, International Trade in Services Survey & Quarterly Acquisitions and Disposals of Capital Assets Survey
Department for Business, Energy & Industrial Strategy: Community Innovation Survey “ United Kingdom Innovation Survey
Data given for all available years unless otherwise stated.",2019,Business & Productivity,Business & Productivity,True,Within-Domain Linkage,Within-Domain Linkage,True,Outcome Tracking,Outcome Tracking,True,,,True,"Assigned Business & Productivity because foreign direct disinvestment, firm performance and trade are central via FDI and business surveys; Within-Domain Linkage because all datasets are firm-level business sources; Outcome Tracking because it analyses causes and effects of disinvestment; no tag because no demographic comparison is central.","Assigned Business & Productivity because the project studies foreign direct disinvestment, its causes and effects, using firm-level business datasets; Within-Domain Linkage because all datasets (FDI surveys, BSD, ABS, BERD, BRES, ITS, UKIS, etc.) are within the business/economic statistics domain; Outcome Tracking because the project examines causes and effects of disinvestment as a naturally occurring phenomenon; no tag as no demographic comparison is central.",
2019/019,2019/019,Improving Regional Economic Indicators Regional Consumer Prices,Office for National Statistics: Living Cost and Food Survey,2019,Data Infrastructure & Methodology,"Poverty, Wealth & Living Standards; Data Infrastructure & Methodology",False,Single-Dataset,Single-Dataset,True,Methodological / Infrastructure Research,Methodological / Infrastructure Research,True,,,True,Assigned Data Infrastructure & Methodology because the project develops improved regional consumer price indicators; Single-Dataset because only the Living Cost and Food Survey is listed; Methodological / Infrastructure Research because the analytical operation is improving statistical indicators; no tag because no demographic comparison is central.,"Assigned Poverty, Wealth & Living Standards because regional consumer prices relate to cost of living and living standards; Data Infrastructure & Methodology because the project aims to improve regional economic indicators, making measurement itself the substantive object; Single-Dataset because only the Living Cost and Food Survey is listed; Methodological / Infrastructure Research because developing improved regional price indicators is the primary analytical operation; no tag as no demographic comparison is central.",Layer A disagreed
2019/020,2019/020,"Housing, family and environmental risk factors for hospital admissions in children",Office for National Statistics: Death Registrations & Census 2011: Household Sample,2019,Health & Social Care; Housing & Planning,Health & Social Care; Housing & Planning,True,Cross-Domain Linkage,Cross-Domain Linkage,True,Outcome Tracking,Outcome Tracking,True,,,True,Assigned Health & Social Care because child hospital admissions are the outcome and Housing & Planning because housing risk factors are central exposures; Cross-Domain Linkage because Death Registrations (health/demographic) is linked with Census household data; Outcome Tracking because it relates housing/family/environmental exposures to hospital admissions; no tag because demographic groups are not the central comparison.,"Assigned Health & Social Care because hospital admissions in children are health outcomes; Housing & Planning because housing and environmental risk factors for those admissions are central exposures; Cross-Domain Linkage because Census household data and Death Registrations span demographic/housing and health domains; Outcome Tracking because the project links housing, family, and environmental exposures to hospital admission outcomes; no tag as no demographic equity comparison is indicated as central.",
2019/021,2019/021,"Social and Economic Predictors of the severe mental disorders, the SEP-MD study. Analysis of linked data from southeast London, UK",Office for National Statistics: Census 2011 & Death Registrations,2019,Health & Social Care,Health & Social Care,True,Cross-Domain Linkage,Cross-Domain Linkage,True,Outcome Tracking,Outcome Tracking,True,,,True,Assigned Health & Social Care because severe mental disorders are the substantive outcome; Cross-Domain Linkage because Census 2011 (demographic) is linked with Death Registrations (health); Outcome Tracking because social and economic predictors are linked to mental disorder outcomes; no tag because socioeconomic predictors are not centrally a demographic-group comparison.,"Assigned Health & Social Care because the project studies predictors of severe mental disorders, a health outcome; Cross-Domain Linkage because Census 2011 (demographic/socioeconomic domain) is linked with Death Registrations (health/mortality domain); Outcome Tracking because the project links social and economic predictors to severe mental disorder outcomes; no tag as socioeconomic predictors are exposures rather than a central demographic equity comparison.",
2019/022,2019/022,Research on homeless mortality among St Mungo's clients,Office for National Statistics: Death Registrations,2019,Health & Social Care,Health & Social Care; Housing & Planning,False,Single-Dataset,Single-Dataset,True,Descriptive Monitoring,Descriptive Monitoring,True,,,True,Assigned Health & Social Care because homeless mortality among service clients is the health-focused object; Single-Dataset because only Death Registrations is listed; Descriptive Monitoring because the aim is measuring mortality among a homeless client population; no tag because the focus is a service population rather than a demographic-group comparison.,Assigned Health & Social Care because the project studies mortality outcomes among homeless individuals; Housing & Planning because homelessness is central to the research question; Single-Dataset because only Death Registrations is listed as the ONS dataset (linked to St Mungo's client records which define the population but are not a separate ONS/research dataset); Descriptive Monitoring because the project characterises mortality patterns among a homeless population; no tag as the focus is on homeless population mortality rather than a demographic equity comparison across groups.,Layer A disagreed
2019/023,2019/023,Economic environment and child development,Office for National Statistics: Labour Force Survey,2019,Education & Skills; Labour Market & Employment,Education & Skills; Labour Market & Employment,True,Single-Dataset,Single-Dataset,True,Outcome Tracking,Outcome Tracking,True,,,True,Assigned Education & Skills and Labour Market & Employment because the project links economic/labour-market conditions (Labour Force Survey) to child development outcomes; Single-Dataset because only the Labour Force Survey is listed; Outcome Tracking because it relates naturally occurring economic environment to downstream child development; no tag because no demographic-group comparison is central.,Assigned Education & Skills and Labour Market & Employment because the title studies how the economic/labour-market environment affects child development (an education/skills outcome); Single-Dataset because only the Labour Force Survey is listed; Outcome Tracking because the project links a naturally occurring exposure (economic environment) to a downstream outcome (child development); no demographic tag as no explicit equity-group comparison is indicated.,
2019/024,2019/024,The Right to Buy: Migration and Gentrification,Office for National Statistics: Longitudinal Study,2019,Housing & Planning; Migration & Demographics,Housing & Planning; Migration & Demographics,True,Single-Dataset,Single-Dataset,True,Policy Evaluation / Impact Analysis,Outcome Tracking,False,,,True,Assigned Housing & Planning and Migration & Demographics because the project studies Right to Buy with migration and gentrification; Single-Dataset because only the ONS Longitudinal Study is listed; Policy Evaluation / Impact Analysis because Right to Buy is a named housing policy whose effects are assessed; no tag because no demographic-equity comparison is central.,"Assigned Housing & Planning because the title concerns the Right to Buy policy and gentrification, and Migration & Demographics because migration is a central focus; Single-Dataset because only the ONS Longitudinal Study is listed (a single coherent data product); Outcome Tracking because the project examines how Right to Buy relates to migration and gentrification patterns as naturally occurring outcomes; no tag as no demographic equity comparison is central.",Layer C disagreed
2019/025,2019/025,Understanding the uptake and use of the Northern Ireland Concessionary Fares Scheme for the population aged 60 and over,"Northern Ireland Statistics and Research Agency: Census 2011 & Census 2011
Northern Ireland Registrar General's Office: Registered Deaths",2020,Migration & Demographics,Migration & Demographics,True,Cross-Domain Linkage,Cross-Domain Linkage,True,Service Interaction / Systems Analysis,Service Interaction / Systems Analysis,True,,Demographic disparities / equity tag,False,Assigned Migration & Demographics because the focus is the older population aged 60+ profiled via census and deaths data; Cross-Domain Linkage because Census population data is linked to Registered Deaths records; Service Interaction / Systems Analysis because the project studies uptake and use of a concessionary fares scheme; no tag because age defines the population rather than a comparative equity lens.,"Assigned Migration & Demographics because the project studies the population aged 60+ and uses census/demographic data; Cross-Domain Linkage because it combines Census 2011 (demographics) with Registered Deaths (mortality/vital statistics), spanning population and vital registration domains; Service Interaction / Systems Analysis because the title focuses on uptake and use of the Concessionary Fares Scheme, studying service utilisation; Demographic disparities / equity tag because the study centres on the over-60 age group as a demographic category.",Tag disagreed
2019/026,2019/026,Migration Observatory analysis of EU and non-EU migration in the UK,"Office for National Statistics: Annual Population Survey, Annual Population Survey & Labour Force Survey",2020,Migration & Demographics,Migration & Demographics,True,Within-Domain Linkage,Within-Domain Linkage,True,Descriptive Monitoring,Descriptive Monitoring,True,,Demographic disparities / equity tag,False,Assigned Migration & Demographics because it analyses EU and non-EU migration in the UK; Within-Domain Linkage because Annual Population Survey and Labour Force Survey both sit in the labour-market/population data domain used for migration measurement; Descriptive Monitoring because it profiles migration patterns; no tag because migrant status here defines the population studied rather than an equity comparison lens.,Assigned Migration & Demographics because the title focuses on analysis of EU and non-EU migration; Within-Domain Linkage because both the Annual Population Survey and Labour Force Survey are population/demographic survey datasets within the same domain; Descriptive Monitoring because the Migration Observatory conducts monitoring-style analysis of migration patterns; Demographic disparities / equity tag because the project centrally compares EU and non-EU migrant groups.,Tag disagreed
2020/001,2020/001,How does tax affect incorporation and business outcomes?,"Department for Business, Energy and Industrial Strategy: Longitudinal Small Business Survey & Small Business Survey",2020,Business & Productivity; Public Finance & Taxation,Public Finance & Taxation; Business & Productivity,True,Within-Domain Linkage,Within-Domain Linkage,True,Outcome Tracking,Outcome Tracking,True,,,True,Assigned Business & Productivity and Public Finance & Taxation because the project studies how tax affects incorporation and business outcomes; Within-Domain Linkage because the Longitudinal Small Business Survey and Small Business Survey are both business datasets; Outcome Tracking because it relates tax conditions to firm outcomes without a single named intervention; no tag because no demographic comparison is central.,"Assigned Public Finance & Taxation because the title centrally examines how tax affects incorporation, and Business & Productivity because incorporation and business outcomes are the substantive outcomes studied; Within-Domain Linkage because the Longitudinal Small Business Survey and Small Business Survey are both business-domain datasets; Outcome Tracking because the project links a naturally occurring tax exposure to business outcomes; no tag as no demographic equity comparison is indicated.",
2020/002,2020/002,Evaluation of the Energy Entrepreneurs Fund,"Office for National Statistics: Business Enterprise Research and Development, Business Structure Database, Annual Business Survey & Annual Survey of Hours and Earnings",2020,Environment & Agriculture; Business & Productivity,Environment & Agriculture; Business & Productivity,True,Cross-Domain Linkage,Cross-Domain Linkage,True,Policy Evaluation / Impact Analysis,Policy Evaluation / Impact Analysis,True,,,True,Assigned Environment & Agriculture and Business & Productivity because the Energy Entrepreneurs Fund is an energy/innovation programme assessed via firm outcomes; Cross-Domain Linkage because datasets span business R&D/structure/survey and earnings (ASHE); Policy Evaluation / Impact Analysis because it evaluates a named fund; no tag because no demographic comparison is central.,"Assigned Environment & Agriculture because the Energy Entrepreneurs Fund is an energy/environment programme, and Business & Productivity because the evaluation uses firm-level data (BERD, BSD, ABS) to assess business/innovation outcomes; Cross-Domain Linkage because datasets span business R&D, business structure, business survey, and employment/earnings (ASHE) domains; Policy Evaluation / Impact Analysis because the project explicitly evaluates a named intervention (Energy Entrepreneurs Fund); no tag as no demographic equity comparison is indicated.",
2020/003,2020/003,"Spatial sorting in housing and employment: impact of public investments, planning decisions, housing subsidies, and business rates","Office for National Statistics: Annual Survey of Hours and Earnings, Census 2011 England and Wales: Individual Sample, Census 2011 Origin/Destination: Flow data & Business Impact of COVID-19 Survey",2020,Housing & Planning; Labour Market & Employment,Housing & Planning; Labour Market & Employment; Business & Productivity,False,Cross-Domain Linkage,Cross-Domain Linkage,True,Policy Evaluation / Impact Analysis,Policy Evaluation / Impact Analysis,True,,,True,"Assigned Housing & Planning and Labour Market & Employment because it studies spatial sorting in housing and employment; Cross-Domain Linkage because datasets span earnings (ASHE), census/migration flows, and a COVID business survey; Policy Evaluation / Impact Analysis because it assesses impacts of public investments, planning decisions, housing subsidies, and business rates; no tag because no demographic-equity comparison is central.","Assigned Housing & Planning because housing subsidies and planning decisions are central, Labour Market & Employment because employment spatial sorting and ASHE earnings data are central, and Business & Productivity because business rates and the COVID business survey are included; Cross-Domain Linkage because datasets span employment (ASHE), census/demographics, and business domains; Policy Evaluation / Impact Analysis because the project evaluates the impact of public investments, planning decisions, housing subsidies, and business rates; no tag as no demographic equity comparison is central.",Layer A disagreed
2020/004,2020/004,Medina Valley Marine Sector Proposition and Funding,Office for National Statistics: Business Structure Database,2020,Business & Productivity,Business & Productivity,True,Single-Dataset,Single-Dataset,True,Descriptive Monitoring,Descriptive Monitoring,True,,,True,Assigned Business & Productivity because it concerns a marine-sector business proposition and funding; Single-Dataset because only the Business Structure Database is listed; Descriptive Monitoring because the operation is characterising a sector's business activity; no tag because no demographic comparison is involved.,Assigned Business & Productivity because the title concerns a marine sector business proposition and uses the Business Structure Database; Single-Dataset because only the BSD is listed; Descriptive Monitoring because the project appears to profile and characterise the marine sector; no tag as no demographic equity comparison is indicated.,
2020/005,2020/005,The interplay between bridging and bonding social capital in shaping diversity and entrepreneurial activity across the UK local communities,"Department for Business, Energy and Industrial Strategy: Longitudinal Small Business Survey
Institute for Social and Economic Research:
Understanding Society: UK Household Longitudinal Study Mainstage Survey Wave 9 &
Understanding Society: UK Household Longitudinal Study Mainstage Survey Wave 6",2020,Business & Productivity,Business & Productivity,True,Cross-Domain Linkage,Cross-Domain Linkage,True,Outcome Tracking,Outcome Tracking,True,,,True,Assigned Business & Productivity because the focus is social capital shaping entrepreneurial activity; Cross-Domain Linkage because it combines the Longitudinal Small Business Survey with Understanding Society household survey waves; Outcome Tracking because it links social capital and diversity to entrepreneurship outcomes; no tag because diversity is an explanatory characteristic rather than a central equity comparison.,Assigned Business & Productivity because the title focuses on entrepreneurial activity across UK communities; Cross-Domain Linkage because the Longitudinal Small Business Survey (business domain) is combined with Understanding Society (household/social domain); Outcome Tracking because the project links social capital (bridging and bonding) as a naturally occurring exposure to entrepreneurial activity outcomes; no tag as no demographic equity comparison is central.,
2020/006,2020/006,Parental separation and educational inequality: any evidence for growing disadvantage or 'diverging destinies' across three recent cohorts?,Office for National Statistics: Longitudinal Study of England and Wales,2020,Education & Skills,Education & Skills,True,Single-Dataset,Single-Dataset,True,Life-Course / Trajectory Analysis,Outcome Tracking,False,,Demographic disparities / equity tag,False,"Assigned Education & Skills because the focus is educational inequality and disadvantage following parental separation; Single-Dataset because only the ONS Longitudinal Study is listed; Life-Course / Trajectory Analysis because it follows three cohorts across time to study diverging destinies; no tag because the comparison centres on family circumstance and cohort, not a demographic/equality group.",Assigned Education & Skills because the project examines educational inequality following parental separation; Single-Dataset because only the ONS Longitudinal Study is listed; Outcome Tracking because it links parental separation (a naturally occurring exposure) to educational outcomes across cohorts; Demographic disparities / equity tag because the project centres on growing disadvantage and 'diverging destinies' across socioeconomic/family-structure groups.,Layer C disagreed; Tag disagreed
