Record ID,Project ID,Title,Datasets Used,Year,substantive_domains_4_8,substantive_domains_4_6,substantive_domains_agree,linkage_mode_4_8,linkage_mode_4_6,linkage_mode_agree,analytical_purpose_4_8,analytical_purpose_4_6,analytical_purpose_agree,cross_cutting_tags_4_8,cross_cutting_tags_4_6,cross_cutting_tags_agree,rationale_4_8,rationale_4_6,disagreement_summary
2019/025,2019/025,Understanding the uptake and use of the Northern Ireland Concessionary Fares Scheme for the population aged 60 and over,"Northern Ireland Statistics and Research Agency: Census 2011 & Census 2011
Northern Ireland Registrar General's Office: Registered Deaths",2020,Migration & Demographics,Migration & Demographics,True,Cross-Domain Linkage,Cross-Domain Linkage,True,Service Interaction / Systems Analysis,Service Interaction / Systems Analysis,True,,Demographic disparities / equity tag,False,Assigned Migration & Demographics because the focus is the older population aged 60+ profiled via census and deaths data; Cross-Domain Linkage because Census population data is linked to Registered Deaths records; Service Interaction / Systems Analysis because the project studies uptake and use of a concessionary fares scheme; no tag because age defines the population rather than a comparative equity lens.,"Assigned Migration & Demographics because the project studies the population aged 60+ and uses census/demographic data; Cross-Domain Linkage because it combines Census 2011 (demographics) with Registered Deaths (mortality/vital statistics), spanning population and vital registration domains; Service Interaction / Systems Analysis because the title focuses on uptake and use of the Concessionary Fares Scheme, studying service utilisation; Demographic disparities / equity tag because the study centres on the over-60 age group as a demographic category.",Tag disagreed
2019/026,2019/026,Migration Observatory analysis of EU and non-EU migration in the UK,"Office for National Statistics: Annual Population Survey, Annual Population Survey & Labour Force Survey",2020,Migration & Demographics,Migration & Demographics,True,Within-Domain Linkage,Within-Domain Linkage,True,Descriptive Monitoring,Descriptive Monitoring,True,,Demographic disparities / equity tag,False,Assigned Migration & Demographics because it analyses EU and non-EU migration in the UK; Within-Domain Linkage because Annual Population Survey and Labour Force Survey both sit in the labour-market/population data domain used for migration measurement; Descriptive Monitoring because it profiles migration patterns; no tag because migrant status here defines the population studied rather than an equity comparison lens.,Assigned Migration & Demographics because the title focuses on analysis of EU and non-EU migration; Within-Domain Linkage because both the Annual Population Survey and Labour Force Survey are population/demographic survey datasets within the same domain; Descriptive Monitoring because the Migration Observatory conducts monitoring-style analysis of migration patterns; Demographic disparities / equity tag because the project centrally compares EU and non-EU migrant groups.,Tag disagreed
2020/003,2020/003,"Spatial sorting in housing and employment: impact of public investments, planning decisions, housing subsidies, and business rates","Office for National Statistics: Annual Survey of Hours and Earnings, Census 2011 England and Wales: Individual Sample, Census 2011 Origin/Destination: Flow data & Business Impact of COVID-19 Survey",2020,Housing & Planning; Labour Market & Employment,Housing & Planning; Labour Market & Employment; Business & Productivity,False,Cross-Domain Linkage,Cross-Domain Linkage,True,Policy Evaluation / Impact Analysis,Policy Evaluation / Impact Analysis,True,,,True,"Assigned Housing & Planning and Labour Market & Employment because it studies spatial sorting in housing and employment; Cross-Domain Linkage because datasets span earnings (ASHE), census/migration flows, and a COVID business survey; Policy Evaluation / Impact Analysis because it assesses impacts of public investments, planning decisions, housing subsidies, and business rates; no tag because no demographic-equity comparison is central.","Assigned Housing & Planning because housing subsidies and planning decisions are central, Labour Market & Employment because employment spatial sorting and ASHE earnings data are central, and Business & Productivity because business rates and the COVID business survey are included; Cross-Domain Linkage because datasets span employment (ASHE), census/demographics, and business domains; Policy Evaluation / Impact Analysis because the project evaluates the impact of public investments, planning decisions, housing subsidies, and business rates; no tag as no demographic equity comparison is central.",Layer A disagreed
2020/006,2020/006,Parental separation and educational inequality: any evidence for growing disadvantage or 'diverging destinies' across three recent cohorts?,Office for National Statistics: Longitudinal Study of England and Wales,2020,Education & Skills,Education & Skills,True,Single-Dataset,Single-Dataset,True,Life-Course / Trajectory Analysis,Outcome Tracking,False,,Demographic disparities / equity tag,False,"Assigned Education & Skills because the focus is educational inequality and disadvantage following parental separation; Single-Dataset because only the ONS Longitudinal Study is listed; Life-Course / Trajectory Analysis because it follows three cohorts across time to study diverging destinies; no tag because the comparison centres on family circumstance and cohort, not a demographic/equality group.",Assigned Education & Skills because the project examines educational inequality following parental separation; Single-Dataset because only the ONS Longitudinal Study is listed; Outcome Tracking because it links parental separation (a naturally occurring exposure) to educational outcomes across cohorts; Demographic disparities / equity tag because the project centres on growing disadvantage and 'diverging destinies' across socioeconomic/family-structure groups.,Layer C disagreed; Tag disagreed
2020/008,2020/008,Contextualised Admissions and University Choice,UCAS: Universities and Colleges Admissions Service,2020,Education & Skills,Education & Skills,True,Single-Dataset,Single-Dataset,True,Outcome Tracking,Descriptive Monitoring,False,,Demographic disparities / equity tag,False,Assigned Education & Skills because it concerns contextualised admissions and university choice; Single-Dataset because only UCAS admissions data is listed; Outcome Tracking because it links applicant context to admissions/choice outcomes; no tag because the focus is contextual admissions rather than a central demographic-group comparison.,Assigned Education & Skills because the title concerns contextualised admissions and university choice; Single-Dataset because only UCAS data is listed; Descriptive Monitoring because the project examines patterns of university choice and how contextualised admissions relate to them; Demographic disparities / equity tag because contextualised admissions inherently involve comparing access across socioeconomic and demographic groups as a central analytical lens.,Layer C disagreed; Tag disagreed
2020/013,2020/013,Firm-level analysis of research and development,"Office for National Statistics: Business Expenditure on Research and Development - England, Wales and Scotland, Business Structure Database, Business Structure Database Longitudinal, Annual Business Survey, Annual Respondent Database 2
Intellectual Property Office: Patents, Designs and Trade Marks
Office for National Statistics /
Department for Business, Energy and Industrial Strategy: Covid-19 Infection Survey linked with UK Innovation Survey",2020,Business & Productivity,Business & Productivity,True,Within-Domain Linkage,Within-Domain Linkage,True,Outcome Tracking,Descriptive Monitoring,False,,,True,"Assigned Business & Productivity because the project is a firm-level analysis of R&D; Within-Domain Linkage because BERD, business structure, patents and innovation survey all sit within the business/innovation domain (COVID infection survey is linked to innovation data as firm context); Outcome Tracking because it links firm R&D characteristics to firm outcomes; no tag because no demographic comparison is central.","Assigned Business & Productivity because the title focuses on firm-level analysis of R&D, with datasets covering BERD, BSD, ABS, patents, and innovation surveys; Within-Domain Linkage because all datasets (including IP Office patents and COVID-19 Infection Survey linked with UK Innovation Survey) relate to firm-level innovation and business activity within the business domain; Descriptive Monitoring because 'firm-level analysis of R&D' suggests characterising and measuring R&D activity patterns rather than evaluating a specific policy; no tags assigned.",Layer C disagreed
2020/017,2020/017,Subjective wellbeing impacts of debt and debt-related factors,Office for National Statistics: Wealth and Assets Survey,2020,"Poverty, Wealth & Living Standards; Health & Social Care","Poverty, Wealth & Living Standards",False,Single-Dataset,Single-Dataset,True,Outcome Tracking,Outcome Tracking,True,,,True,"Assigned Poverty, Wealth & Living Standards and Health & Social Care because the project studies wellbeing impacts of debt; Single-Dataset because only the Wealth and Assets Survey is listed; Outcome Tracking because it links debt (a circumstance) to subjective wellbeing outcomes; no tag because no demographic group comparison is central.","Assigned Poverty, Wealth & Living Standards because the title studies subjective wellbeing impacts of debt and debt-related factors, with debt and wealth as the substantive focus using the Wealth and Assets Survey; Single-Dataset because only one dataset (WAS) is listed; Outcome Tracking because the project links debt (a naturally occurring condition) to wellbeing as a downstream outcome; no tags assigned.",Layer A disagreed
2020/019,2020/019,The impact of government expenditure on employment and wages: evidence from firm-level data for the UK,"Office for National Statistics: Annual Business Survey, Annual Respondents Database, Annual Survey of Hours and Earnings, Business Register and Employment Survey & Business Structure Database",2020,Labour Market & Employment; Public Finance & Taxation,Public Finance & Taxation; Labour Market & Employment; Business & Productivity,False,Within-Domain Linkage,Cross-Domain Linkage,False,Policy Evaluation / Impact Analysis,Policy Evaluation / Impact Analysis,True,,,True,Assigned Labour Market & Employment and Public Finance & Taxation because the study examines government expenditure effects on employment and wages; Within-Domain Linkage because the multiple business/earnings datasets all sit within the business/labour-market domain; Policy Evaluation / Impact Analysis because it estimates the impact of government expenditure; no tag because no demographic equity lens is central.,"Assigned Public Finance & Taxation because the project studies the impact of government expenditure, Labour Market & Employment because employment and wages are central outcomes, and Business & Productivity because firm-level data and firm performance are analysed; Cross-Domain Linkage because the datasets span business surveys (ABS, ARD, BSD, BRES) and an earnings/employment survey (ASHE) across firm and labour-market domains; Policy Evaluation / Impact Analysis because it evaluates the impact of government expenditure on outcomes; no tag as no demographic comparison is central.",Layer A disagreed; Layer B disagreed
2020/023,2020/023,"The determinants of performance-pay utilisation by firms and its consequences for firm behaviour, performance, and employee outcomes","Office for National Statistics: Business Structure Database, Annual Business Survey, Workplace Employment Relations Survey, International Trade in Services, Annual Survey of Hours and Earnings & Wealth and Assets Survey",2020,Business & Productivity; Labour Market & Employment,Business & Productivity; Labour Market & Employment,True,Within-Domain Linkage,Cross-Domain Linkage,False,Outcome Tracking,Outcome Tracking,True,,,True,Assigned Business & Productivity because firm behaviour and performance are central and Labour Market & Employment because performance-pay and employee outcomes are analysed; Within-Domain Linkage because the business and labour datasets all sit within the business/labour economic domain; Outcome Tracking because it links a naturally occurring firm characteristic (performance-pay use) to firm and employee outcomes; no tag because no demographic comparison is central.,"Assigned Business & Productivity because firm behaviour and firm performance are central outcomes, and Labour Market & Employment because employee outcomes and earnings (performance pay) are also central; Cross-Domain Linkage because datasets span business/firm surveys (BSD, ABS, WERS, ITS), earnings (ASHE), and household wealth (WAS) across multiple policy domains; Outcome Tracking because the project links performance-pay utilisation as an exposure to downstream firm and employee outcomes; no tag because no demographic equity comparison is indicated.",Layer B disagreed
2020/024,2020/024,Assessing the impact of UK Enterprise Zones,"Office for National Statistics: Annual Respondents Database, Annual Business Survey, Annual Survey of Hours and Earnings, Business Structure Database & Quarterly Labour Force Survey",2020,Business & Productivity; Labour Market & Employment,Business & Productivity,False,Cross-Domain Linkage,Cross-Domain Linkage,True,Policy Evaluation / Impact Analysis,Policy Evaluation / Impact Analysis,True,,,True,Assigned Business & Productivity and Labour Market & Employment because Enterprise Zones affect firm performance and employment/earnings; Cross-Domain Linkage because the datasets span business and labour-market domains; Policy Evaluation / Impact Analysis because it assesses the impact of the named UK Enterprise Zones policy; no tag because no demographic comparison is central.,"Assigned Business & Productivity because the project assesses the impact of Enterprise Zones on business and economic outcomes; Cross-Domain Linkage because datasets span business surveys (ARD, ABS, BSD), earnings (ASHE), and a labour market household survey (QLFS) across multiple policy domains; Policy Evaluation / Impact Analysis because UK Enterprise Zones are a named place-based policy intervention being evaluated; no tag because no demographic comparison is central.",Layer A disagreed
2020/025,2020/025,Modelling the regional implications of COVID-19 using the Enterprise Research Centre's longitudinal firm-level dataset based on the Business Structure Database,"Office for National Statistics: Business Structure Database, Longitudinal Inter-Departmental Business Register, International Trade in Services, Business Impact of COVID-19 Survey & E-Commerce Survey
Department for Business, Energy and Industrial Strategy: Community Innovation Survey",2020,Business & Productivity; COVID-19 & Pandemic,Business & Productivity; COVID-19 & Pandemic,True,Within-Domain Linkage,Within-Domain Linkage,True,Policy Evaluation / Impact Analysis,Descriptive Monitoring,False,,,True,Assigned Business & Productivity and COVID-19 & Pandemic because the project models regional COVID-19 implications using firm-level business data; Within-Domain Linkage because all datasets are firm/business sources; Policy Evaluation / Impact Analysis because it examines the impact of the pandemic shock on firms regionally; no tag because no demographic comparison is central.,"Assigned Business & Productivity because the title focuses on regional implications for firms using firm-level datasets (BSD, IDBR, ITIS, CIS, e-commerce); assigned COVID-19 & Pandemic because the project explicitly models COVID-19 implications using BICS; Within-Domain Linkage because all datasets are business/firm-level within the business domain; Descriptive Monitoring because modelling regional implications suggests characterising and monitoring COVID-19's impact on firms across regions; no tags assigned.",Layer C disagreed
2020/027,2020/027,COVID-19 Infection Survey,"Office for National Statistics: ONS COVID-19 Weekly Opinions Survey, Labour Force Survey, ONS Death Registrations Data
Office for National Statistics / University of Oxford / Valuation Office Agency / Ministry of Housing, Communities and Local Government: Covid-19 Infection Survey linked with VOA and EPC data
Office for National Statistics / University of Oxford: Covid-19 Infection Survey with National Immunisation Management Service, Covid-19 Infection Survey linked with Death Occurrences England and Wales
Office for National Statistics /
NHSD / University of Oxford: COVID-19 Infection Survey linked with Public Health Research Database",2020,COVID-19 & Pandemic; Health & Social Care,COVID-19 & Pandemic; Health & Social Care; Data Infrastructure & Methodology,False,Cross-Domain Linkage,Cross-Domain Linkage,True,Descriptive Monitoring,Descriptive Monitoring; Methodological / Infrastructure Research,False,,,True,"Assigned COVID-19 & Pandemic and Health & Social Care because it is an infection survey monitoring COVID-19, deaths, and immunisation; Cross-Domain Linkage because the linked datasets span health, housing/property (VOA, EPC), and labour force; Descriptive Monitoring because the infection survey characterises infection levels and patterns; no tag because no demographic comparison is central.","Assigned COVID-19 & Pandemic because the project is the COVID-19 Infection Survey, centrally focused on pandemic infection surveillance; Health & Social Care because infection, immunisation, and death outcomes are health-related; Data Infrastructure & Methodology because the survey itself is a major data infrastructure project linking multiple sources to build a surveillance data asset; Cross-Domain Linkage because datasets span health/infection surveys, labour market (LFS), death registrations, housing/property data (VOA, EPC), and immunisation (NIMS) across multiple policy domains; Descriptive Monitoring because infection surveillance measures prevalence, levels, and trends, and Methodological / Infrastructure Research because the project builds and validates a large linked survey infrastructure; no tag because no demographic equity comparison is indicated as central.",Layer A disagreed; Layer C disagreed
2020/033,2020/033,Education and Identity,Office for National Statistics: Quarterly Labour Force Survey,2020,Education & Skills,Education & Skills,True,Single-Dataset,Single-Dataset,True,Outcome Tracking,Outcome Tracking,True,,Demographic disparities / equity tag,False,Assigned Education & Skills because the title 'Education and Identity' centres on education; Single-Dataset because only the Quarterly Labour Force Survey is listed; Outcome Tracking because it relates education to identity outcomes; no tag because identity here is not clearly framed as a demographic equity comparison.,Assigned Education & Skills because 'Education and Identity' indicates education is the substantive focus; Single-Dataset because only the Quarterly Labour Force Survey is listed; Outcome Tracking because the project examines the relationship between education and identity (exposure-outcome); Demographic disparities / equity tag because 'identity' suggests comparison across demographic or equality-relevant groups is central to the research question.,Tag disagreed
2020/039,2020/039,"Developing experimental estimates of regional skill demand, supply and mismatch","Office for National Statistics: Annual Population Survey, Longitudinal Labour Force Survey & Annual Survey of Hours and Earnings",2020,Labour Market & Employment,Labour Market & Employment; Education & Skills; Data Infrastructure & Methodology,False,Within-Domain Linkage,Within-Domain Linkage,True,Descriptive Monitoring; Methodological / Infrastructure Research,Methodological / Infrastructure Research,False,,,True,"Assigned Labour Market & Employment because the project concerns regional skill demand, supply and mismatch using labour-market surveys; Within-Domain Linkage because the APS, LFS and ASHE all fall within the labour-market domain; Descriptive Monitoring and Methodological / Infrastructure Research because the aim is to develop experimental regional estimates measuring skill mismatch; no tag because no demographic-group comparison is central.","Assigned Labour Market & Employment and Education & Skills because the project focuses on skill demand, supply, and mismatch which bridges labour market dynamics and skills formation; assigned Data Infrastructure & Methodology because the project develops experimental estimates, making the measurement approach the substantive object; Within-Domain Linkage because APS, Longitudinal LFS, and ASHE are all labour market survey datasets within the same policy domain; Methodological / Infrastructure Research because developing experimental estimates is the core analytical operation; no cross-cutting tags as no demographic equity comparison is central.",Layer A disagreed; Layer C disagreed
2020/042,2020/042,UK coastal tourism: efficiency and revival,"Office for National Statistics: Annual Business Survey, Annual Respondents Database X, Annual Respondents Database & Annual Survey of Hours and Earnings",2020,Business & Productivity; Labour Market & Employment,Business & Productivity,False,Cross-Domain Linkage,Cross-Domain Linkage,True,Descriptive Monitoring,Descriptive Monitoring,True,,,True,"Assigned Business & Productivity because firm efficiency in coastal tourism is central, and Labour Market & Employment because Annual Survey of Hours and Earnings adds an earnings dimension; Cross-Domain Linkage because business datasets are linked with ASHE earnings data spanning business and labour-market domains; Descriptive Monitoring because the project measures efficiency and revival patterns of an industry; no tag because no demographic comparison is central.",Assigned Business & Productivity because the project studies coastal tourism business efficiency and revival using firm-level surveys; Cross-Domain Linkage because Annual Business Survey/ARD/ARDX are business datasets while ASHE is an employment/earnings dataset spanning a different policy domain; Descriptive Monitoring because 'efficiency and revival' suggests measuring and characterising business performance patterns; no tag because no demographic comparison is central.,Layer A disagreed
2020/047,2020/047,Controlling COVID-19 through enhanced population surveillance and intervention : a platform approach,SAIL Databank Databank: 2011 Census Data Welsh residents,2020,COVID-19 & Pandemic; Health & Social Care,COVID-19 & Pandemic; Health & Social Care,True,Cross-Domain Linkage,Single-Dataset,False,Risk Prediction / Early Identification,Risk Prediction / Early Identification,True,,,True,"Assigned COVID-19 & Pandemic because population surveillance and intervention for COVID-19 is explicit, and Health & Social Care because the SAIL health databank underpins surveillance; Cross-Domain Linkage because SAIL health data is linked with 2011 Census data spanning health and demographics; Risk Prediction / Early Identification because the platform aims at population surveillance and targeted intervention; no tag because no demographic group comparison is central.","Assigned COVID-19 & Pandemic because the project explicitly targets controlling COVID-19, and Health & Social Care because population health surveillance is central; Single-Dataset because the SAIL 2011 Census Data for Welsh residents is listed as a single coherent data product; Risk Prediction / Early Identification because 'enhanced population surveillance and intervention' implies prospective identification and targeting; no tag because no demographic equity comparison is central.",Layer B disagreed
2020/048,2020/048,"ESCoE Project 2.9: Using Firm-Level Surveys to Understand Industrial and Regional Capacity, Investment, Productivity and Output Growth","Office for National Statistics: Annual Business Survey, Annual Respondents Database, Business Structure Database, Monthly Business Survey, Monthly Inquiry into the Distributive and Services Sector, Monthly Production Inquiry, Quarterly Acquisitions and Disposals of Capital Assets Survey & Quarterly Capital Expenditure Survey",2020,Business & Productivity,Business & Productivity; Data Infrastructure & Methodology,False,Within-Domain Linkage,Within-Domain Linkage,True,Descriptive Monitoring,Methodological / Infrastructure Research,False,,,True,"Assigned Business & Productivity because the focus is firm-level industrial and regional capacity, investment, productivity, and output; Within-Domain Linkage because the multiple business surveys all sit within the business domain; Descriptive Monitoring because the project characterises capacity, investment, and productivity patterns; no tag because no demographic comparison is central.","Assigned Business & Productivity because the project studies industrial capacity, investment, productivity, and output growth at the firm level; Data Infrastructure & Methodology because it is an ESCoE (Economic Statistics Centre of Excellence) project focused on understanding how firm-level surveys can be used to measure these economic concepts, making data/measurement methodology a substantive object; Within-Domain Linkage because all listed datasets (ABS, ARD, BSD, MBS, MIDSS, MPI, QACAS, QCES) are firm-level business surveys within the same domain; Methodological / Infrastructure Research because the analytical purpose is to assess and improve measurement using firm-level surveys; no tag because no demographic comparison is central.",Layer A disagreed; Layer C disagreed
