Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
oc_supp_reason,owner_contact_admin,,notes,Reason for supplementary invitation,,"Record before contact; do not use model, coder, disagreement, reserve or adjudication information.",,,,,([record_type] = '1') and [oc_recruit_route] = '2',y,,,,,@HIDDEN-SURVEY @READONLY
oc_reconsent_required,owner_contact_admin,Consent administration,radio,Re-consent required before further project-review links,"0, No | 1, Yes",,,,,,[record_type] = '1',y,,,,,@HIDDEN-SURVEY
oc_consent_withdrawal,owner_contact_admin,,radio,Consent-withdrawal status,"0, No withdrawal | 1, Withdrawal requested; assessment pending | 2, Consent withdrawn before analysis lock | 3, Request received after responses could no longer be removed",,,,,,[record_type] = '1',y,,,,,@HIDDEN-SURVEY
oc_consent_withdraw_date,owner_contact_admin,,text,Date consent-withdrawal request was received,,,date_ymd,,,,([record_type] = '1') and ([oc_consent_withdrawal] = '1' or [oc_consent_withdrawal] = '2' or [oc_consent_withdrawal] = '3'),y,,,,,@HIDDEN-SURVEY
oc_link_eligible,owner_contact_admin,,calc,Current eligibility to release project-review links,"if([oc_eoi_status] = '2' and [pc_decision] = '1' and [pc_info_version] = 'project-owner-information-v1' and [oc_reconsent_required] = '0' and [oc_consent_withdrawal] = '0' and [oc_contact_suppression] = '0', 1, 0)","Deterministic gate: affirmative interest plus affirmative current consent, with no re-consent, withdrawal or contact-suppression block.",,,,,[record_type] = '1',,,,,,@HIDDEN-SURVEY @READONLY
oc_ack_permission,owner_contact_admin,Optional named acknowledgement,radio,Permission to acknowledge researcher by name,"0, Not asked | 1, Permission granted | 2, Permission declined | 3, Permission withdrawn",,,,,,[record_type] = '1',y,,,,,@HIDDEN-SURVEY
oc_ack_name,owner_contact_admin,,text,Preferred acknowledgement name,,,,,,y,([record_type] = '1') and [oc_ack_permission] = '1',y,,,,,@HIDDEN-SURVEY
oc_ack_affiliation,owner_contact_admin,,text,Preferred acknowledgement affiliation,,,,,,y,([record_type] = '1') and [oc_ack_permission] = '1',y,,,,,@HIDDEN-SURVEY
oc_ack_permission_date,owner_contact_admin,,text,Date explicit acknowledgement permission was recorded,,,date_ymd,,,,([record_type] = '1') and ([oc_ack_permission] = '1' or [oc_ack_permission] = '2' or [oc_ack_permission] = '3'),y,,,,,@HIDDEN-SURVEY
oc_ack_permission_source,owner_contact_admin,,text,Source of explicit acknowledgement permission,,For example: affirmative email after participation agreement. Do not paste message content.,,,,y,([record_type] = '1') and ([oc_ack_permission] = '1' or [oc_ack_permission] = '2' or [oc_ack_permission] = '3'),y,,,,,@HIDDEN-SURVEY
pc_intro,project_owner_consent,Project Owner Consent,descriptive,<strong>DEA Validation Study – Project Owner Review</strong><br>This study validates a portfolio view derived from the public DEA register dashboard ({{DASHBOARD_URL}}). The proposed classifications were produced using a large language model and are being checked using project-informed validation evidence.,,,,,,,[record_type] = '1',,,,,,
pc_reason,project_owner_consent,,descriptive,You were approached because you are named as a researcher on eligible DEA register projects. You may be invited to review <strong>[oc_projects_offered]</strong> project(s).,,,,,,,[record_type] = '1',,,,,,
pc_burden,project_owner_consent,,descriptive,Each review is expected to take about <strong>[oc_minutes_per_project]</strong> minutes; the estimated total burden if all offered reviews are completed is <strong>[oc_est_total_minutes]</strong> minutes.,,,,,,,[record_type] = '1',,,,,,
pc_scope,project_owner_consent,,descriptive,"This one consent covers the separate project reviews described in the participant information. You may review all, some or none of the projects. Every later review remains optional. Consent will be sought again if the research activities or intended use of responses change substantially.",,,,,,,[record_type] = '1',,,,,,
pc_voluntary,project_owner_consent,,descriptive,Participation is voluntary. Declining has no consequences. You may skip any project review or stop at any time.,,,,,,,[record_type] = '1',,,,,,
pc_data,project_owner_consent,,descriptive,"Please do not provide confidential, sensitive or restricted information. Responses will be used for methodological validation, adjudication triggers and possible taxonomy improvement. Restricted contact details are held separately from project-review responses and ordinary analytical exports. Raw comments or named responses will not be published without the relevant separate permission.",,,,,,,[record_type] = '1',,,,,,
pc_withdrawal,project_owner_consent,,descriptive,"You may request withdrawal of your submitted responses until {{WITHDRAWAL_DATE}} by contacting {{STUDY_EMAIL}} and quoting the survey reference. After that date, de-identified responses may already have been incorporated into the analysis and may no longer be removable.",,,,,,,[record_type] = '1',,,,,,
pc_contact,project_owner_consent,,descriptive,Questions may be sent to {{STUDY_EMAIL}} before deciding or at any later point.,,,,,,,[record_type] = '1',,,,,,
pc_reference,project_owner_consent,,descriptive,Consent survey reference: <strong>[owner_record_id]</strong>,,,,,,,[record_type] = '1',,,,,,
pc_info_version,project_owner_consent,,text,Participant-information version,,,,,,,[record_type] = '1',y,,,,,@READONLY
pc_decision,project_owner_consent,,radio,"I have read and understood the information provided, have had the opportunity to ask questions, and agree to take part in the project-owner validation exercise described above.","1, Yes, I agree to take part | 0, No, I do not wish to take part",A No response ends this consent survey and keeps every project-review link blocked.,,,,,[record_type] = '1',y,,,,,
pc_decline_end,project_owner_consent,,descriptive,Thank you for considering the study. No project-review links will be released.,,,,,,,([record_type] = '1') and [pc_decision] = '0',,,,,,
owner_assignment_id,owner_assignment_admin,Owner-project assignment,text,Neutral owner-project assignment identifier,,,,,,,[record_type] = '2',y,,,,,@HIDDEN-SURVEY @READONLY
source_record_id,owner_assignment_admin,,text,Stable DEA Record ID,,,,,,,[record_type] = '2',y,,,,,@HIDDEN-SURVEY @READONLY
official_project_id,owner_assignment_admin,,text,Official Project ID,,,,,,,[record_type] = '2',y,,,,,@HIDDEN-SURVEY @READONLY
project_title,owner_assignment_admin,,notes,Frozen public-register project title,,,,,,,[record_type] = '2',y,,,,,@HIDDEN-SURVEY @READONLY
datasets_used,owner_assignment_admin,,notes,Frozen public-register datasets-used entry,,,,,,,[record_type] = '2',y,,,,,@HIDDEN-SURVEY @READONLY
public_register_url,owner_assignment_admin,,text,Public register URL,,,url,,,,[record_type] = '2',y,,,,,@HIDDEN-SURVEY @READONLY
production_ver,owner_assignment_admin,Proposal provenance,text,Production-model output and proposed-label version,,,,,,,[record_type] = '2',y,,,,,@HIDDEN-SURVEY @READONLY
taxonomy_ver,owner_assignment_admin,,text,Taxonomy and definition version,,,,,,,[record_type] = '2',y,,,,,@HIDDEN-SURVEY @READONLY
proposal_output_sha256,owner_assignment_admin,,text,Proposal-output SHA-256,,,,,,,[record_type] = '2',y,,,,,@HIDDEN-SURVEY @READONLY
owner_recruit_route,owner_assignment_admin,Invitation administration,radio,Recruitment route,"1, Deterministic sequence | 2, Supplementary",,,,,,[record_type] = '2',y,,,,,@HIDDEN-SURVEY @READONLY
owner_sequence_pos,owner_assignment_admin,,text,Deterministic sequence position,,,integer,,,,([record_type] = '2') and [owner_recruit_route] = '1',y,,,,,@HIDDEN-SURVEY @READONLY
owner_invite_batch,owner_assignment_admin,,radio,Invitation batch,"1, Initial 10 | 2, Day 14 | 3, Day 21 | 4, Day 28 | 5, Supplementary",,,,,,[record_type] = '2',y,,,,,@HIDDEN-SURVEY
owner_link_release,owner_assignment_admin,,radio,Assignment-link release gate,"0, Blocked | 1, Eligible after interest and current consent; not sent | 2, Released","A value above 0 requires affirmative interest and current affirmative consent on the linked contact record. Missing, declined, withdrawn or stale consent blocks release.",,,,,[record_type] = '2',y,,,,,@HIDDEN-SURVEY
owner_invite_date,owner_assignment_admin,,text,Project-link invitation date,,,date_ymd,,,,([record_type] = '2') and [owner_link_release] = '2',y,,,,,@HIDDEN-SURVEY
owner_reminder_date,owner_assignment_admin,,text,Project-link reminder date,,,date_ymd,,,,[record_type] = '2',,,,,,@HIDDEN-SURVEY
owner_withdrawal_status,owner_assignment_admin,,radio,Assignment response withdrawal or exclusion status,"0, None | 1, Withdrawal requested | 2, Withdrawn or excluded before analysis",,,,,,[record_type] = '2',y,,,,,@HIDDEN-SURVEY
instrument_ver,owner_assignment_admin,,text,Standalone owner instrument version,,,,,,,[record_type] = '2',y,,,,,@HIDDEN-SURVEY @READONLY
prop_d01,owner_assignment_admin,,yesno,Proposed domain flag: Labour Market & Employment,,,,,,,[record_type] = '2',y,,,,,@HIDDEN-SURVEY @READONLY
prop_d02,owner_assignment_admin,,yesno,Proposed domain flag: Education & Skills,,,,,,,[record_type] = '2',y,,,,,@HIDDEN-SURVEY @READONLY
prop_d03,owner_assignment_admin,,yesno,Proposed domain flag: Health & Social Care,,,,,,,[record_type] = '2',y,,,,,@HIDDEN-SURVEY @READONLY
prop_d04,owner_assignment_admin,,yesno,Proposed domain flag: Crime & Justice,,,,,,,[record_type] = '2',y,,,,,@HIDDEN-SURVEY @READONLY
prop_d05,owner_assignment_admin,,yesno,Proposed domain flag: Business & Productivity,,,,,,,[record_type] = '2',y,,,,,@HIDDEN-SURVEY @READONLY
prop_d06,owner_assignment_admin,,yesno,"Proposed domain flag: Poverty, Wealth & Living Standards",,,,,,,[record_type] = '2',y,,,,,@HIDDEN-SURVEY @READONLY
prop_d07,owner_assignment_admin,,yesno,Proposed domain flag: Housing & Planning,,,,,,,[record_type] = '2',y,,,,,@HIDDEN-SURVEY @READONLY
prop_d08,owner_assignment_admin,,yesno,Proposed domain flag: Migration & Demographics,,,,,,,[record_type] = '2',y,,,,,@HIDDEN-SURVEY @READONLY
prop_d09,owner_assignment_admin,,yesno,Proposed domain flag: Environment & Agriculture,,,,,,,[record_type] = '2',y,,,,,@HIDDEN-SURVEY @READONLY
prop_d10,owner_assignment_admin,,yesno,Proposed domain flag: Public Finance & Taxation,,,,,,,[record_type] = '2',y,,,,,@HIDDEN-SURVEY @READONLY
prop_d11,owner_assignment_admin,,yesno,Proposed domain flag: Data Infrastructure & Methodology,,,,,,,[record_type] = '2',y,,,,,@HIDDEN-SURVEY @READONLY
prop_d12,owner_assignment_admin,,yesno,Proposed domain flag: Unclear from Register Entry,,,,,,,[record_type] = '2',y,,,,,@HIDDEN-SURVEY @READONLY
prop_p01,owner_assignment_admin,,yesno,Proposed purpose flag: Descriptive Monitoring,,,,,,,[record_type] = '2',y,,,,,@HIDDEN-SURVEY @READONLY
prop_p02,owner_assignment_admin,,yesno,Proposed purpose flag: Outcome Tracking,,,,,,,[record_type] = '2',y,,,,,@HIDDEN-SURVEY @READONLY
prop_p03,owner_assignment_admin,,yesno,Proposed purpose flag: Life-Course / Trajectory Analysis,,,,,,,[record_type] = '2',y,,,,,@HIDDEN-SURVEY @READONLY
prop_p04,owner_assignment_admin,,yesno,Proposed purpose flag: Service Interaction / Systems Analysis,,,,,,,[record_type] = '2',y,,,,,@HIDDEN-SURVEY @READONLY
prop_p05,owner_assignment_admin,,yesno,Proposed purpose flag: Policy Evaluation / Impact Analysis,,,,,,,[record_type] = '2',y,,,,,@HIDDEN-SURVEY @READONLY
prop_p06,owner_assignment_admin,,yesno,Proposed purpose flag: Risk Prediction / Early Identification,,,,,,,[record_type] = '2',y,,,,,@HIDDEN-SURVEY @READONLY
prop_p07,owner_assignment_admin,,yesno,Proposed purpose flag: Methodological / Infrastructure Research,,,,,,,[record_type] = '2',y,,,,,@HIDDEN-SURVEY @READONLY
prop_p08,owner_assignment_admin,,yesno,Proposed purpose flag: Unclear from Register Entry,,,,,,,[record_type] = '2',y,,,,,@HIDDEN-SURVEY @READONLY
prop_t01,owner_assignment_admin,,radio,Proposed status: Demographic disparities / equity tag,"0, Not applied | 1, Applied",,,,,,[record_type] = '2',y,,,,,@HIDDEN-SURVEY @READONLY
prop_t02,owner_assignment_admin,,radio,Proposed status: COVID-19 & Pandemic,"0, Not applied | 1, Applied",,,,,,[record_type] = '2',y,,,,,@HIDDEN-SURVEY @READONLY
po_intro,project_owner_review,Project Owner Review,descriptive,This project review forms part of the DEA register portfolio-view validation. You previously agreed to participate in this validation exercise. Completing this particular project review remains voluntary. You may skip this review or stop at any time. It is expected to take about {{ESTIMATED_MINUTES_PER_PROJECT}} minutes.,,,,,,,[record_type] = '2',,,,,,
po_privacy,project_owner_review,,descriptive,"Please do not provide confidential, sensitive, restricted or personally identifying information. You may request withdrawal of your submitted responses until {{WITHDRAWAL_DATE}} by contacting {{STUDY_EMAIL}} and quoting the survey reference. After that date, de-identified responses may already have been incorporated into the analysis and may no longer be removable. Questions may be sent to {STUDY_EMAIL}.",,,,,,,[record_type] = '2',,,,,,
po_assignment,project_owner_review,,descriptive,Survey reference: <strong>[owner_assignment_id]</strong>,,,,,,,[record_type] = '2',,,,,,
po_project_title,project_owner_review,,descriptive,"<strong>Project title</strong><br>[project_title]<br><a href=""[public_register_url]"" target=""_blank"">Open the public register entry</a>",,,,,,,[record_type] = '2',,,,,,
po_datasets,project_owner_review,,descriptive,<strong>Datasets used</strong><br>[datasets_used],,,,,,,[record_type] = '2',,,,,,
po_d01_label,project_owner_review,Proposed domain labels,descriptive,"<strong>Labour Market &amp; Employment</strong><br>Research concerning work, employment, labour-market participation, and workforce dynamics. Includes wages and earnings; employment, unemployment, inactivity and underemployment; job quality; working hours, contracts, gig or platform work, and working conditions; labour supply and demand; occupational, sectoral and geographic mobility; workforce recruitment and retention; skills demand and mismatch; and transitions into, through, or out of work.",,,,,,,([record_type] = '2') and [prop_d01] = '1',,,,,,
po_d01_fit,project_owner_review,,radio,Does Labour Market & Employment describe the actual project?,"1, Fits | 2, Does not fit | 3, Unsure",,,,,,([record_type] = '2') and [prop_d01] = '1',y,,,,,
po_d01_vis,project_owner_review,,radio,Is the basis for Labour Market & Employment visible in the public register entry?,"1, Clearly visible | 2, Partly visible | 3, Not visible | 4, Unsure",,,,,,([record_type] = '2') and [prop_d01] = '1',y,,,,,
po_d02_label,project_owner_review,,descriptive,"<strong>Education &amp; Skills</strong><br>Research concerning education, learning, training, skills formation, and transitions through education systems. Includes early years, schools, colleges,  universities, qualifications, apprenticeships, admissions, attainment, attendance, teacher workforce issues, childcare, and education-to-work pathways.",,,,,,,([record_type] = '2') and [prop_d02] = '1',,,,,,
po_d02_fit,project_owner_review,,radio,Does Education & Skills describe the actual project?,"1, Fits | 2, Does not fit | 3, Unsure",,,,,,([record_type] = '2') and [prop_d02] = '1',y,,,,,
po_d02_vis,project_owner_review,,radio,Is the basis for Education & Skills visible in the public register entry?,"1, Clearly visible | 2, Partly visible | 3, Not visible | 4, Unsure",,,,,,([record_type] = '2') and [prop_d02] = '1',y,,,,,
po_d03_label,project_owner_review,,descriptive,"<strong>Health &amp; Social Care</strong><br>Research concerning health, illness, mortality, wellbeing, clinical outcomes, health services, public health,  mental health, social care, and care-system use. Includes NHS services, hospitals, GP care, palliative care,  maternity, morbidity, mortality where health is the research object, and adult or children&#x27;s social care.",,,,,,,([record_type] = '2') and [prop_d03] = '1',,,,,,
po_d03_fit,project_owner_review,,radio,Does Health & Social Care describe the actual project?,"1, Fits | 2, Does not fit | 3, Unsure",,,,,,([record_type] = '2') and [prop_d03] = '1',y,,,,,
po_d03_vis,project_owner_review,,radio,Is the basis for Health & Social Care visible in the public register entry?,"1, Clearly visible | 2, Partly visible | 3, Not visible | 4, Unsure",,,,,,([record_type] = '2') and [prop_d03] = '1',y,,,,,
po_d04_label,project_owner_review,,descriptive,"<strong>Crime &amp; Justice</strong><br>Research concerning crime, victimisation, public safety, offending, policing, courts, prisons, probation, sentencing, family justice, civil justice, reoffending, and criminal records.",,,,,,,([record_type] = '2') and [prop_d04] = '1',,,,,,
po_d04_fit,project_owner_review,,radio,Does Crime & Justice describe the actual project?,"1, Fits | 2, Does not fit | 3, Unsure",,,,,,([record_type] = '2') and [prop_d04] = '1',y,,,,,
po_d04_vis,project_owner_review,,radio,Is the basis for Crime & Justice visible in the public register entry?,"1, Clearly visible | 2, Partly visible | 3, Not visible | 4, Unsure",,,,,,([record_type] = '2') and [prop_d04] = '1',y,,,,,
po_d05_label,project_owner_review,,descriptive,"<strong>Business &amp; Productivity</strong><br>Research concerning firms, business activity, industrial structure, innovation, productivity, entrepreneurship,  trade, exports, foreign direct investment, research and development, business support, and firm-level performance.",,,,,,,([record_type] = '2') and [prop_d05] = '1',,,,,,
po_d05_fit,project_owner_review,,radio,Does Business & Productivity describe the actual project?,"1, Fits | 2, Does not fit | 3, Unsure",,,,,,([record_type] = '2') and [prop_d05] = '1',y,,,,,
po_d05_vis,project_owner_review,,radio,Is the basis for Business & Productivity visible in the public register entry?,"1, Clearly visible | 2, Partly visible | 3, Not visible | 4, Unsure",,,,,,([record_type] = '2') and [prop_d05] = '1',y,,,,,
po_d06_label,project_owner_review,,descriptive,"<strong>Poverty, Wealth &amp; Living Standards</strong><br>Research concerning material resources, economic hardship, household living standards, poverty, wealth, debt,  savings, benefits, deprivation, food security, cost of living, household income, and distribution of resources.",,,,,,,([record_type] = '2') and [prop_d06] = '1',,,,,,
po_d06_fit,project_owner_review,,radio,"Does Poverty, Wealth & Living Standards describe the actual project?","1, Fits | 2, Does not fit | 3, Unsure",,,,,,([record_type] = '2') and [prop_d06] = '1',y,,,,,
po_d06_vis,project_owner_review,,radio,"Is the basis for Poverty, Wealth & Living Standards visible in the public register entry?","1, Clearly visible | 2, Partly visible | 3, Not visible | 4, Unsure",,,,,,([record_type] = '2') and [prop_d06] = '1',y,,,,,
po_d07_label,project_owner_review,,descriptive,"<strong>Housing &amp; Planning</strong><br>Research concerning housing, homelessness, residential conditions, tenure, home ownership, planning systems,  neighbourhoods, gentrification, residential mobility, and place-based housing or planning interventions.",,,,,,,([record_type] = '2') and [prop_d07] = '1',,,,,,
po_d07_fit,project_owner_review,,radio,Does Housing & Planning describe the actual project?,"1, Fits | 2, Does not fit | 3, Unsure",,,,,,([record_type] = '2') and [prop_d07] = '1',y,,,,,
po_d07_vis,project_owner_review,,radio,Is the basis for Housing & Planning visible in the public register entry?,"1, Clearly visible | 2, Partly visible | 3, Not visible | 4, Unsure",,,,,,([record_type] = '2') and [prop_d07] = '1',y,,,,,
po_d08_label,project_owner_review,,descriptive,"<strong>Migration &amp; Demographics</strong><br>Research concerning population structure, population change, migration, immigration,  population mobility, fertility, ageing, mortality as a demographic outcome,  census-based population analysis, and demographic composition.",,,,,,,([record_type] = '2') and [prop_d08] = '1',,,,,,
po_d08_fit,project_owner_review,,radio,Does Migration & Demographics describe the actual project?,"1, Fits | 2, Does not fit | 3, Unsure",,,,,,([record_type] = '2') and [prop_d08] = '1',y,,,,,
po_d08_vis,project_owner_review,,radio,Is the basis for Migration & Demographics visible in the public register entry?,"1, Clearly visible | 2, Partly visible | 3, Not visible | 4, Unsure",,,,,,([record_type] = '2') and [prop_d08] = '1',y,,,,,
po_d09_label,project_owner_review,,descriptive,"<strong>Environment &amp; Agriculture</strong><br>Research concerning the natural environment, climate, climate adaptation or resilience, energy, agriculture, farming, land use, pollution, decarbonisation, environmental policy, domestic or industrial energy use, and environmental impacts of economic or social activity.",,,,,,,([record_type] = '2') and [prop_d09] = '1',,,,,,
po_d09_fit,project_owner_review,,radio,Does Environment & Agriculture describe the actual project?,"1, Fits | 2, Does not fit | 3, Unsure",,,,,,([record_type] = '2') and [prop_d09] = '1',y,,,,,
po_d09_vis,project_owner_review,,radio,Is the basis for Environment & Agriculture visible in the public register entry?,"1, Clearly visible | 2, Partly visible | 3, Not visible | 4, Unsure",,,,,,([record_type] = '2') and [prop_d09] = '1',y,,,,,
po_d10_label,project_owner_review,,descriptive,"<strong>Public Finance &amp; Taxation</strong><br>Research concerning government revenue, taxation, tax compliance, tax credits, public expenditure,  public spending, fiscal transfers, business rates, tax reliefs, and fiscal policy.",,,,,,,([record_type] = '2') and [prop_d10] = '1',,,,,,
po_d10_fit,project_owner_review,,radio,Does Public Finance & Taxation describe the actual project?,"1, Fits | 2, Does not fit | 3, Unsure",,,,,,([record_type] = '2') and [prop_d10] = '1',y,,,,,
po_d10_vis,project_owner_review,,radio,Is the basis for Public Finance & Taxation visible in the public register entry?,"1, Clearly visible | 2, Partly visible | 3, Not visible | 4, Unsure",,,,,,([record_type] = '2') and [prop_d10] = '1',y,,,,,
po_d11_label,project_owner_review,,descriptive,"<strong>Data Infrastructure &amp; Methodology</strong><br>Research primarily focused on the methods, measures, tools, classifications, linkage processes, data quality, survey design, statistical infrastructure, or dataset development needed to produce, improve, validate, or use research data.",,,,,,,([record_type] = '2') and [prop_d11] = '1',,,,,,
po_d11_fit,project_owner_review,,radio,Does Data Infrastructure & Methodology describe the actual project?,"1, Fits | 2, Does not fit | 3, Unsure",,,,,,([record_type] = '2') and [prop_d11] = '1',y,,,,,
po_d11_vis,project_owner_review,,radio,Is the basis for Data Infrastructure & Methodology visible in the public register entry?,"1, Clearly visible | 2, Partly visible | 3, Not visible | 4, Unsure",,,,,,([record_type] = '2') and [prop_d11] = '1',y,,,,,
po_d12_label,project_owner_review,,descriptive,<strong>Unclear from Register Entry</strong><br>Use only where the project title and dataset field together do not provide enough evidence to assign any substantive domain. ,,,,,,,([record_type] = '2') and [prop_d12] = '1',,,,,,
po_d12_fit,project_owner_review,,radio,Does Unclear from Register Entry describe the actual project?,"1, Fits | 2, Does not fit | 3, Unsure",,,,,,([record_type] = '2') and [prop_d12] = '1',y,,,,,
po_d12_vis,project_owner_review,,radio,Is the basis for Unclear from Register Entry visible in the public register entry?,"1, Clearly visible | 2, Partly visible | 3, Not visible | 4, Unsure",,,,,,([record_type] = '2') and [prop_d12] = '1',y,,,,,
po_p01_label,project_owner_review,Proposed purpose labels,descriptive,"<strong>Descriptive Monitoring</strong><br>Research whose analytical purpose is to measure and characterise a phenomenon — its level, prevalence,  distribution, composition, profile, trend, or pattern — including how it varies across places, populations,  or time, without primarily testing an exposure-outcome relationship or evaluating a named intervention.",,,,,,,([record_type] = '2') and [prop_p01] = '1',,,,,,
po_p01_fit,project_owner_review,,radio,Does Descriptive Monitoring describe the actual project?,"1, Fits | 2, Does not fit | 3, Unsure",,,,,,([record_type] = '2') and [prop_p01] = '1',y,,,,,
po_p01_vis,project_owner_review,,radio,Is the basis for Descriptive Monitoring visible in the public register entry?,"1, Clearly visible | 2, Partly visible | 3, Not visible | 4, Unsure",,,,,,([record_type] = '2') and [prop_p01] = '1',y,,,,,
po_p02_label,project_owner_review,,descriptive,"<strong>Outcome Tracking</strong><br>Research that links a naturally occurring exposure, condition, event, status, characteristic, or circumstance to a downstream outcome.",,,,,,,([record_type] = '2') and [prop_p02] = '1',,,,,,
po_p02_fit,project_owner_review,,radio,Does Outcome Tracking describe the actual project?,"1, Fits | 2, Does not fit | 3, Unsure",,,,,,([record_type] = '2') and [prop_p02] = '1',y,,,,,
po_p02_vis,project_owner_review,,radio,Is the basis for Outcome Tracking visible in the public register entry?,"1, Clearly visible | 2, Partly visible | 3, Not visible | 4, Unsure",,,,,,([record_type] = '2') and [prop_p02] = '1',y,,,,,
po_p03_label,project_owner_review,,descriptive,"<strong>Life-Course / Trajectory Analysis</strong><br>Research that follows individuals, cohorts, households, firms, or cases across extended time periods, transitions,  or life stages to understand trajectories, progression, mobility, or cumulative outcomes.",,,,,,,([record_type] = '2') and [prop_p03] = '1',,,,,,
po_p03_fit,project_owner_review,,radio,Does Life-Course / Trajectory Analysis describe the actual project?,"1, Fits | 2, Does not fit | 3, Unsure",,,,,,([record_type] = '2') and [prop_p03] = '1',y,,,,,
po_p03_vis,project_owner_review,,radio,Is the basis for Life-Course / Trajectory Analysis visible in the public register entry?,"1, Clearly visible | 2, Partly visible | 3, Not visible | 4, Unsure",,,,,,([record_type] = '2') and [prop_p03] = '1',y,,,,,
po_p04_label,project_owner_review,,descriptive,"<strong>Service Interaction / Systems Analysis</strong><br>Research focused on how people, cases, families, or organisations move through, use, access, or are processed by public service systems.",,,,,,,([record_type] = '2') and [prop_p04] = '1',,,,,,
