"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
consent_voluntary,owner_consent,,radio,"I understand that participation is voluntary and that I may review all, some or none of the projects offered.","1, Confirmed | 0, Not confirmed",,,,,,"[intended_recipient] = '1'",y,,,,,
consent_no_nonpublic,owner_consent,,radio,"I understand that I should not disclose confidential, sensitive or otherwise non-public information.","1, Confirmed | 0, Not confirmed",,,,,,"[intended_recipient] = '1'",y,,,,,
consent_confidentiality_limits,owner_consent,,radio,"I understand that my information will be handled confidentially and that direct identifiers will not appear in research outputs, but complete anonymity cannot be guaranteed because the participant group is small and responses concern publicly identifiable projects.","1, Confirmed | 0, Not confirmed",,,,,,"[intended_recipient] = '1'",y,,,,,
consent_withdrawal_deadline,owner_consent,,radio,"I understand that I may withdraw a submitted review by emailing the study team by Monday 19 October 2026, and that after this date responses can no longer be removed.","1, Confirmed | 0, Not confirmed",,,,,,"[intended_recipient] = '1'",y,,,,,
consent_quote_process,owner_consent,,radio,"I understand that if the study wishes to quote my comments, I will be sent the exact proposed wording in advance and it will only be used if I agree.","1, Confirmed | 0, Not confirmed",,,,,,"[intended_recipient] = '1'",y,,,,,
consent_retention_reanalysis,owner_consent,,radio,"I agree that my pseudonymised research data may be retained for 10 years and used by the research team for verification and further analyses directly related to this validation study and the improvement of the classification framework and dashboard.","1, Confirmed | 0, Not confirmed",,,,,,"[intended_recipient] = '1'",y,,,,,
consent_complaints,owner_consent,,radio,"I am aware of who I should contact if I wish to lodge a complaint.","1, Confirmed | 0, Not confirmed",,,,,,"[intended_recipient] = '1'",y,,,,,
consent_acknowledgement,owner_consent,,radio,"I understand that choosing to be acknowledged by name is optional, is separate to my decision to take part, and would make my participation in this study permanently and publicly identifiable.","1, Confirmed | 0, Not confirmed",,,,,,"[intended_recipient] = '1'",y,,,,,
consent_items_complete,owner_consent,,calc,"All ten owner-consent confirmations affirmative","if([consent_read_info] = '1' and [consent_understand_invitation] = '1' and [consent_voluntary] = '1' and [consent_no_nonpublic] = '1' and [consent_confidentiality_limits] = '1' and [consent_withdrawal_deadline] = '1' and [consent_quote_process] = '1' and [consent_retention_reanalysis] = '1' and [consent_complaints] = '1' and [consent_acknowledgement] = '1', 1, 0)",,,,,,"[intended_recipient] = '1'",,,,,," @HIDDEN-SURVEY @READONLY"
owner_consent,owner_consent,,radio,"I consent to participate in the study. I understand that my name, professional email address, consent record, survey responses and optional free-text comments will be used for the purposes explained to me, that UCL is the data controller, that I can contact UCL’s Data Protection Officer at data-protection@ucl.ac.uk, and that according to data protection legislation ‘public task’ will be the lawful basis for processing.","1, Yes, I agree to take part | 0, No, I do not wish to take part",,,,,,"[intended_recipient] = '1'",y,,,,,
consent_decline_stop,owner_consent,,descriptive,"<div style=""font-weight:400;"">Thank you for considering the study. You have chosen not to take part, and no project reviews will be displayed. This will have no adverse consequences.</div>",,,,,,,"[owner_consent] = '0'",,,,,,
ack_pref,owner_consent,,radio,"We would like to acknowledge the researchers who contributed to this study. Would you like to be acknowledged by name in resulting publications? Choosing to be acknowledged makes your involvement in this study permanently and publicly identifiable. Your answer does not affect your participation. If you decline acknowledgement, the study team will not name or acknowledge you in resulting outputs.","1, Yes, I would like to be acknowledged by name | 0, No, I would prefer not to be named | 2, I would prefer to decide later. Please contact me about this",,,,,,"[intended_recipient] = '1' and [consent_items_complete] = '1' and [owner_consent] = '1'",,,,,,
assignment_id,project_review,"Project Review",text,"Review reference",,,,,,,,,,,,," @READONLY-SURVEY"
source_record_id,project_review,,text,"Stable DEA source Record ID",,,,,,,,,,,,," @HIDDEN-SURVEY @READONLY"
official_project_id,project_review,,text,"Official Project ID",,,,,,,,,,,,," @HIDDEN-SURVEY @READONLY"
project_title,project_review,,notes,"Public-register project title",,,,,,,,,,,,," @READONLY-SURVEY"
datasets_used,project_review,,notes,"Datasets listed in the public register",,,,,,,,,,,,," @READONLY-SURVEY"
po_register_provenance,project_review,,descriptive,"<div style=""font-weight:400;"">These details are reproduced from the UK Statistics Authority's Public Register of Accredited Projects, as at 1 June 2026.</div>",,,,,,,,,,,,,
public_register_url,project_review,,text,"Public register URL",,,,,,,,,,,,," @HIDDEN-SURVEY @READONLY"
source_pop_ver,project_review,,text,"Frozen source-population version",,,,,,,,,,,,," @HIDDEN-SURVEY @READONLY"
production_ver,project_review,,text,"Frozen production-classification release",,,,,,,,,,,,," @HIDDEN-SURVEY @READONLY"
taxonomy_ver,project_review,,text,"Frozen taxonomy/dictionary version",,,,,,,,,,,,," @HIDDEN-SURVEY @READONLY"
proposal_output_sha256,project_review,,text,"Proposal-output SHA-256 provenance",,,,,,,,,,,,," @HIDDEN-SURVEY @READONLY"
review_instr_ver,project_review,,text,"Project Review instrument version",,,,,,,,,,,,," @HIDDEN-SURVEY @READONLY"
taxonomy_display_ver,project_review,,text,"Owner-facing taxonomy display version",,,,,,,,,,,,," @HIDDEN-SURVEY @READONLY"
po_llm_disclaimer,project_review,,descriptive,"<div style=""font-weight:400;"">The proposed classifications below were generated by a large language model and are being evaluated. They are not presented as definitive descriptions of the project.</div>",,,,,,,,,,,,,
po_intro,project_review,,descriptive,"<div><strong>How the classifications work</strong><br><span style=""font-weight:400;""><br><strong>Research Domains</strong> describe what the project is about. Several may apply, and they are not ranked.<br><br><strong>Analytical Purposes</strong> describe what the project is trying to do analytically. One or two may apply.<br><br>Assign a Research Domain or Analytical Purpose <strong>only when it is a substantive part of the project's research question or analytical aims</strong>. Do not assign it solely because the project mentions or uses related terms, datasets, variables, methods or outcomes.<br><br>Cross-cutting tags show whether Demographic disparities / equity or COVID-19 & Pandemic is a central feature of the research question. Either, both or neither may apply.<br><br>Each proposed classification is shown with a definition. Please judge each one independently against the actual project and then assess whether its basis is visible in the public register entry.</span></div>",,,,,,,,,,,,,
po_privacy,project_review,,descriptive,"<strong>Important</strong><br><div style=""font-weight:400;"">Describe any relevant project context at a general level. Please don't include confidential or sensitive details.</div>",,,,,,,,,,,,,
prop_d01_label,project_review,"Proposed Research Domains",text,"Pre-populated proposed domain label 1",,,,,,,,,,,,," @HIDDEN-SURVEY @READONLY"
prop_d01_def,project_review,,notes,"Pre-populated owner-facing definition for proposed domain label 1",,,,,,,,,,,,," @HIDDEN-SURVEY @READONLY"
po_d01_display,project_review,,descriptive,"<div><strong>[prop_d01_label]</strong><br><span style=""font-weight:400;"">What this domain covers: [prop_d01_def]</span></div>",,,,,,,"[prop_d01_label] <> ''",,,,,,
po_d01_fit,project_review,,radio,"Does [prop_d01_label] describe the actual project?","1, Fits | 2, Does not fit | 3, Unsure",,,,,,"[prop_d01_label] <> ''",y,,,,,
po_d01_correct_explain,project_review,,notes,"Please briefly explain why this proposed Research Domain does not fit the actual project.",,,,,,,"[po_d01_fit] = '2'",y,,,,,
po_d01_vis,project_review,,radio,"Could this classification reasonably have been reached from the public title and datasets above?","2, Clearly visible | 1, Partly visible | 0, Not visible | 3, Unsure",,,,,,"[prop_d01_label] <> ''",y,,,,,
po_d01_vis_explain,project_review,,notes,"Please briefly explain why the basis for this Research Domain is only partly visible, not visible, or unclear in the public project title and listed datasets.",,,,,,,"[po_d01_vis] = '1' or [po_d01_vis] = '0' or [po_d01_vis] = '3'",,,,,,
prop_d02_label,project_review,,text,"Pre-populated proposed domain label 2",,,,,,,,,,,,," @HIDDEN-SURVEY @READONLY"
prop_d02_def,project_review,,notes,"Pre-populated owner-facing definition for proposed domain label 2",,,,,,,,,,,,," @HIDDEN-SURVEY @READONLY"
po_d02_display,project_review,,descriptive,"<div><strong>[prop_d02_label]</strong><br><span style=""font-weight:400;"">What this domain covers: [prop_d02_def]</span></div>",,,,,,,"[prop_d02_label] <> ''",,,,,,
po_d02_fit,project_review,,radio,"Does [prop_d02_label] describe the actual project?","1, Fits | 2, Does not fit | 3, Unsure",,,,,,"[prop_d02_label] <> ''",y,,,,,
po_d02_correct_explain,project_review,,notes,"Please briefly explain why this proposed Research Domain does not fit the actual project.",,,,,,,"[po_d02_fit] = '2'",y,,,,,
po_d02_vis,project_review,,radio,"Could this classification reasonably have been reached from the public title and datasets above?","2, Clearly visible | 1, Partly visible | 0, Not visible | 3, Unsure",,,,,,"[prop_d02_label] <> ''",y,,,,,
po_d02_vis_explain,project_review,,notes,"Please briefly explain why the basis for this Research Domain is only partly visible, not visible, or unclear in the public project title and listed datasets.",,,,,,,"[po_d02_vis] = '1' or [po_d02_vis] = '0' or [po_d02_vis] = '3'",,,,,,
prop_d03_label,project_review,,text,"Pre-populated proposed domain label 3",,,,,,,,,,,,," @HIDDEN-SURVEY @READONLY"
prop_d03_def,project_review,,notes,"Pre-populated owner-facing definition for proposed domain label 3",,,,,,,,,,,,," @HIDDEN-SURVEY @READONLY"
po_d03_display,project_review,,descriptive,"<div><strong>[prop_d03_label]</strong><br><span style=""font-weight:400;"">What this domain covers: [prop_d03_def]</span></div>",,,,,,,"[prop_d03_label] <> ''",,,,,,
po_d03_fit,project_review,,radio,"Does [prop_d03_label] describe the actual project?","1, Fits | 2, Does not fit | 3, Unsure",,,,,,"[prop_d03_label] <> ''",y,,,,,
po_d03_correct_explain,project_review,,notes,"Please briefly explain why this proposed Research Domain does not fit the actual project.",,,,,,,"[po_d03_fit] = '2'",y,,,,,
po_d03_vis,project_review,,radio,"Could this classification reasonably have been reached from the public title and datasets above?","2, Clearly visible | 1, Partly visible | 0, Not visible | 3, Unsure",,,,,,"[prop_d03_label] <> ''",y,,,,,
po_d03_vis_explain,project_review,,notes,"Please briefly explain why the basis for this Research Domain is only partly visible, not visible, or unclear in the public project title and listed datasets.",,,,,,,"[po_d03_vis] = '1' or [po_d03_vis] = '0' or [po_d03_vis] = '3'",,,,,,
prop_d04_label,project_review,,text,"Pre-populated proposed domain label 4",,,,,,,,,,,,," @HIDDEN-SURVEY @READONLY"
prop_d04_def,project_review,,notes,"Pre-populated owner-facing definition for proposed domain label 4",,,,,,,,,,,,," @HIDDEN-SURVEY @READONLY"
po_d04_display,project_review,,descriptive,"<div><strong>[prop_d04_label]</strong><br><span style=""font-weight:400;"">What this domain covers: [prop_d04_def]</span></div>",,,,,,,"[prop_d04_label] <> ''",,,,,,
po_d04_fit,project_review,,radio,"Does [prop_d04_label] describe the actual project?","1, Fits | 2, Does not fit | 3, Unsure",,,,,,"[prop_d04_label] <> ''",y,,,,,
po_d04_correct_explain,project_review,,notes,"Please briefly explain why this proposed Research Domain does not fit the actual project.",,,,,,,"[po_d04_fit] = '2'",y,,,,,
po_d04_vis,project_review,,radio,"Could this classification reasonably have been reached from the public title and datasets above?","2, Clearly visible | 1, Partly visible | 0, Not visible | 3, Unsure",,,,,,"[prop_d04_label] <> ''",y,,,,,
po_d04_vis_explain,project_review,,notes,"Please briefly explain why the basis for this Research Domain is only partly visible, not visible, or unclear in the public project title and listed datasets.",,,,,,,"[po_d04_vis] = '1' or [po_d04_vis] = '0' or [po_d04_vis] = '3'",,,,,,
prop_p01_label,project_review,"Proposed Analytical Purposes",text,"Pre-populated proposed purpose label 1",,,,,,,,,,,,," @HIDDEN-SURVEY @READONLY"
prop_p01_def,project_review,,notes,"Pre-populated owner-facing definition for proposed purpose label 1",,,,,,,,,,,,," @HIDDEN-SURVEY @READONLY"
po_p01_display,project_review,,descriptive,"<div><strong>[prop_p01_label]</strong><br><span style=""font-weight:400;"">What this purpose covers: [prop_p01_def]</span></div>",,,,,,,"[prop_p01_label] <> ''",,,,,,
po_p01_fit,project_review,,radio,"Does [prop_p01_label] describe the actual project?","1, Fits | 2, Does not fit | 3, Unsure",,,,,,"[prop_p01_label] <> ''",y,,,,,
po_p01_correct_explain,project_review,,notes,"Please briefly explain why this proposed Analytical Purpose does not fit the actual project.",,,,,,,"[po_p01_fit] = '2'",y,,,,,
po_p01_vis,project_review,,radio,"Could this classification reasonably have been reached from the public title and datasets above?","2, Clearly visible | 1, Partly visible | 0, Not visible | 3, Unsure",,,,,,"[prop_p01_label] <> ''",y,,,,,
po_p01_vis_explain,project_review,,notes,"Please briefly explain why the basis for this Analytical Purpose is only partly visible, not visible, or unclear in the public project title and listed datasets.",,,,,,,"[po_p01_vis] = '1' or [po_p01_vis] = '0' or [po_p01_vis] = '3'",,,,,,
prop_p02_label,project_review,,text,"Pre-populated proposed purpose label 2",,,,,,,,,,,,," @HIDDEN-SURVEY @READONLY"
prop_p02_def,project_review,,notes,"Pre-populated owner-facing definition for proposed purpose label 2",,,,,,,,,,,,," @HIDDEN-SURVEY @READONLY"
po_p02_display,project_review,,descriptive,"<div><strong>[prop_p02_label]</strong><br><span style=""font-weight:400;"">What this purpose covers: [prop_p02_def]</span></div>",,,,,,,"[prop_p02_label] <> ''",,,,,,
po_p02_fit,project_review,,radio,"Does [prop_p02_label] describe the actual project?","1, Fits | 2, Does not fit | 3, Unsure",,,,,,"[prop_p02_label] <> ''",y,,,,,
po_p02_correct_explain,project_review,,notes,"Please briefly explain why this proposed Analytical Purpose does not fit the actual project.",,,,,,,"[po_p02_fit] = '2'",y,,,,,
po_p02_vis,project_review,,radio,"Could this classification reasonably have been reached from the public title and datasets above?","2, Clearly visible | 1, Partly visible | 0, Not visible | 3, Unsure",,,,,,"[prop_p02_label] <> ''",y,,,,,
po_p02_vis_explain,project_review,,notes,"Please briefly explain why the basis for this Analytical Purpose is only partly visible, not visible, or unclear in the public project title and listed datasets.",,,,,,,"[po_p02_vis] = '1' or [po_p02_vis] = '0' or [po_p02_vis] = '3'",,,,,,
prop_t01_label,project_review,"Cross-cutting tag status review",text,"Pre-populated canonical tag label 1",,,,,,,,,,,,," @HIDDEN-SURVEY @READONLY"
prop_t01_def,project_review,,notes,"Pre-populated owner-facing definition for canonical tag 1",,,,,,,,,,,,," @HIDDEN-SURVEY @READONLY"
po_t01_display,project_review,,descriptive,"<div><strong>[prop_t01_label]</strong><br><span style=""font-weight:400;"">What this tag covers: [prop_t01_def]</span></div>",,,,,,,,,,,,,
prop_t01_status,project_review,,radio,"Proposed status for [prop_t01_label]","1, Applied | 0, Not applied",,,,,,,,,,,," @READONLY-SURVEY"
po_t01_correct,project_review,,radio,"Is the proposed status for [prop_t01_label] correct for the actual project?","1, Yes | 0, No | 2, Unsure",,,,,,,y,,,,,
po_t01_correct_explain,project_review,,notes,"Please briefly explain why the proposed status for the Demographic disparities / equity tag does not fit the actual project.",,,,,,,"[po_t01_correct] = '0'",y,,,,,
po_t01_vis,project_review,,radio,"Could this status reasonably have been determined from the public title and datasets above?","2, Clearly visible | 1, Partly visible | 0, Not visible | 3, Unsure",,,,,,,y,,,,,
po_t01_vis_explain,project_review,,notes,"Please briefly explain why the basis for this proposed tag status is only partly visible, not visible, or unclear in the public project title and listed datasets.",,,,,,,"[po_t01_vis] = '1' or [po_t01_vis] = '0' or [po_t01_vis] = '3'",,,,,,
prop_t02_label,project_review,,text,"Pre-populated canonical tag label 2",,,,,,,,,,,,," @HIDDEN-SURVEY @READONLY"
prop_t02_def,project_review,,notes,"Pre-populated owner-facing definition for canonical tag 2",,,,,,,,,,,,," @HIDDEN-SURVEY @READONLY"
po_t02_display,project_review,,descriptive,"<div><strong>[prop_t02_label]</strong><br><span style=""font-weight:400;"">What this tag covers: [prop_t02_def]</span></div>",,,,,,,,,,,,,
prop_t02_status,project_review,,radio,"Proposed status for [prop_t02_label]","1, Applied | 0, Not applied",,,,,,,,,,,," @READONLY-SURVEY"
po_t02_correct,project_review,,radio,"Is the proposed status for [prop_t02_label] correct for the actual project?","1, Yes | 0, No | 2, Unsure",,,,,,,y,,,,,
po_t02_correct_explain,project_review,,notes,"Please briefly explain why the proposed status for the COVID-19 & Pandemic tag does not fit the actual project.",,,,,,,"[po_t02_correct] = '0'",y,,,,,
po_t02_vis,project_review,,radio,"Could this status reasonably have been determined from the public title and datasets above?","2, Clearly visible | 1, Partly visible | 0, Not visible | 3, Unsure",,,,,,,y,,,,,
po_t02_vis_explain,project_review,,notes,"Please briefly explain why the basis for this proposed tag status is only partly visible, not visible, or unclear in the public project title and listed datasets.",,,,,,,"[po_t02_vis] = '1' or [po_t02_vis] = '0' or [po_t02_vis] = '3'",,,,,,
