Project ID,Title,Researchers,Legal Basis,Datasets Used,Secure Research Service,Accreditation Date
2019/005,Measuring the impact of hearing loss on well-being,"Daniele Cox,
Office for National Statistics
Mary Cleaton,
Office for National Statistics",Digital Economy Act (2017),Office for National Statistics: Annual Population Survey,Office for National Statistics Secure Research Service,12/10/2019
2019/016,Homeownership of the young,"Belinda Tracey, Bank of England
Veronica Veggente,
Bank of England",Digital Economy Act (2017),"Office for National Statistics: Living Costs and Food Survey, Business Structure Database, Retail Price Index",Office for National Statistics Secure Research Service,12/12/2019
2019/022,Research on homeless mortality among St Mungo's clients,"David Wilson, St Mungo's",Digital Economy Act (2017),Office for National Statistics: Death Registrations,Office for National Statistics Secure Research Service,12/12/2019
2019/023,Economic environment and child development,"Cheti Nicoletti,
University of York
Charles Simpson,
University College London,
Samantha Hajna, University College London
Glory Atilola, University College London",Digital Economy Act (2017),Office for National Statistics: Labour Force Survey,Office for National Statistics Secure Research Service,12/12/2019
2019/024,The Right to Buy: Migration and Gentrification,"Iain Bamford, Columbia University",Digital Economy Act (2017),Office for National Statistics: Longitudinal Study,Office for National Statistics Secure Research Service,12/19/2019
2019/026,Migration Observatory analysis of EU and non-EU migration in the UK,"Madeleine Sumption, University of Oxford
Denis Kierans, University of Oxford",Digital Economy Act (2017),"Office for National Statistics: Annual Population Survey, Annual Population Survey & Labour Force Survey",Office for National Statistics Secure Research Service,01/03/2020
2020/001,How does tax affect incorporation and business outcomes?,"Kate Smith, Institute for Fiscal Studies",Digital Economy Act (2017),"Department for Business, Energy and Industrial Strategy: Longitudinal Small Business Survey & Small Business Survey",Office for National Statistics Secure Research Service,1/17/2020
2020/003,"Spatial sorting in housing and employment: impact of public investments, planning decisions, housing subsidies, and business rates","Lars Nesheim, University College London",Digital Economy Act (2017),"Office for National Statistics: Annual Survey of Hours and Earnings, Census 2011 England and Wales: Individual Sample, Census 2011 Origin/Destination: Flow data & Business Impact of COVID-19 Survey",Office for National Statistics Secure Research Service,1/17/2020
2020/004,Medina Valley Marine Sector Proposition and Funding,"Joshua Harding-Jones, Hardisty Jones Associates",Digital Economy Act (2017),Office for National Statistics: Business Structure Database,Office for National Statistics Secure Research Service,1/17/2020
2020/005,The interplay between bridging and bonding social capital in shaping diversity and entrepreneurial activity across the UK local communities,"Tomasz Mickiewicz, BOP Consulting
Julia Korosteleva, University College London
Mario Davide Parrilli, University of Bournemouth",Digital Economy Act (2017),"Department for Business, Energy and Industrial Strategy: Longitudinal Small Business Survey
Institute for Social and Economic Research: Understanding Society: UK Household Longitudinal Study Mainstage Survey Wave 9 & Understanding Society: UK Household Longitudinal Study Mainstage Survey Wave 6",Office for National Statistics Secure Research Service,1/17/2020
2020/002,Evaluation of the Energy Entrepreneurs Fund,"James Kearney, Ipsos MORI
Chris Hale, Ipsos MORI
Marc Tully, Ipsos MORI",Digital Economy Act (2017),"Office for National Statistics: Business Enterprise Research and Development, Business Structure Database, Annual Business Survey & Annual Survey of Hours and Earnings",Office for National Statistics Secure Research Service,02/03/2020
2019/025,Understanding the uptake and use of the Northern Ireland Concessionary Fares Scheme for the population aged 60 and over,"Jos IJpelaar, Northern Ireland Statistics and Research Agency
John Hughes, Northern Ireland Statistics and Research Agency",Digital Economy Act (2017),"Northern Ireland Statistics and Research Agency: Census 2011 & Census 2011
Northern Ireland Registrar General's Office: Registered Deaths",Northern Ireland Statistics and Research Agency,2/14/2020
2020/008,Contextualised Admissions and University Choice,"Sonkurt Kemal Sen, University of Essex
Emilia Del Bono, University of Essex
Angus Holford, University of Essex
Ryan Smith,
Office for National Statistics",Digital Economy Act (2017),UCAS: Universities and Colleges Admissions Service,Office for National Statistics Secure Research Service,3/16/2020
2020/010,Local labour market effects of immigration,"Andrew Aitken, National Institute for Economic and Social Research",Digital Economy Act (2017),"Office for National Statistics: Annual Population Survey, Quarterly Labour Force Survey & Annual Survey of Hours and Earnings
Institute for Economic and Social Research: Understanding Society",Office for National Statistics Secure Research Service,3/16/2020
2020/011,Innovation analysis for Knowledge Transfer Network,"Stuart Thompson, Knowledge Transfer Network
James Currer,
Innovate UK",Digital Economy Act (2017),"Office for National Statistics: Business Enterprise Research and Development, E-Commerce Survey, Labour Force Survey Person, Survey of Innovation and Patent Use, Business Structure Database & Longitudinal Business Structure Database
Department for Business, Energy and Industrial Strategy: Longitudinal Small Business Survey
Department for Business, Energy and Industrial Strategy: Community Innovation Survey",Office for National Statistics Secure Research Service,3/16/2020
2020/012,Wage progression and firm productivity,"Rachel Griffith, Institute for Fiscal Studies
Robert Joyce, Institute for Fiscal Studies
Xiaowei Xu, Institute for Fiscal Studies
Wenchao Jin, Institute for Fiscal Studies",Digital Economy Act (2017),"Office for National Statistics: Annual Business Inquiry, Annual Inquiry into Foreign Direct Investment, Annual Respondents DatabaseX, Annual Respondents Database, Annual Survey of Hours and Earnings, Business Expenditure on Research and Development, Business Impact of COVID-19 Survey, Business Register Employment Survey, Business Structure Database, Business Structure Database Longitudinal, Capital Stocks, Financial Assets and Liabilities Survey, Interdepartmental Business Register, Investment in Intangible Assets, International Trade in Services, Labour Force Survey, Monthly Wage and Salary Survey, New Earnings Survey, Quarterly Capital Expenditure Survey, Survey of Innovation and Patent Use, Vacancy Survey, ASHE
Intellectual Property Office: Patents, Designs and Trade Marks
Department for Education: National Department for Business, Energy and Industrial Strategy: Employer Skills Survey & Workplace Employment Relations Survey
Department for Business, Energy and Industrial Strategy: Small Business Survey Longitudinal
Department for Business, Energy and Industrial Strategy: Community Innovation Survey",Office for National Statistics Secure Research Service,3/16/2020
2020/013,Firm-level analysis of research and development,"Joelle Tasker, Office for National Statistics
Elizabeth Taylor, Office for National Statistics
Christina Palmou, Office for National Statistics",Digital Economy Act (2017),"Office for National Statistics: Business Expenditure on Research and Development - England, Wales and Scotland, Business Structure Database, Business Structure Database Longitudinal, Annual Business Survey, Annual Respondent Database 2

Intellectual Property Office: Patents, Designs and Trade Marks

Office for National Statistics / Department for Business, Energy and Industrial Strategy: Covid-19 Infection Survey linked with UK Innovation Survey",Office for National Statistics Secure Research Service,3/16/2020
2020/007,Business Succession in Wales,"Nikolaos Kapitsinis, University of Cardiff",Digital Economy Act (2017),"Office for National Statistics: Business Structure Database, Annual Business Survey
Department for Business, Energy and Industrial Strategy: Small Business Survey & Longitudinal Small Business Survey",Office for National Statistics Secure Research Service,4/15/2020
2020/015,Minimum wages and technology adoption,"Andrew Aitken, National Institute for Economic and Social Research
John Forth, National Institute for Economic and Social Research
Larissa Marioni, National Institute for Economic and Social Research",Digital Economy Act (2017),"Office for National Statistics: Annual Population Survey, Business Structure Database & Quarterly Labour Force Survey",Office for National Statistics Secure Research Service,4/20/2020
2020/025,Modelling the regional implications of COVID-19 using the Enterprise Research Centre's longitudinal firm-level dataset based on the Business Structure Database,"Mark Hart, University of Aston
Neha Prashar, University of Aston
Anastasia Ri, University of Aston",Digital Economy Act (2017),"Office for National Statistics: Business Structure Database, Longitudinal Inter-Departmental Business Register, International Trade in Services, Business Impact of COVID-19 Survey & E-Commerce Survey
Department for Business, Energy and Industrial Strategy: Community Innovation Survey",Office for National Statistics Secure Research Service,4/20/2020
2020/016,Identification and monitoring of social impact indicators in the West Cumbrian region,"Neil Scott,
University of London - Royal Holloway
Dora Radosevic, Simetrica
Sebastien Peytrignet, Simetrica
Christopher Warner, Simetrica
Henry Maguire, Simetrica
Abigail Lyons, Simetrica",Digital Economy Act (2017),"Office for National Statistics: Annual Population Survey, Labour Force Survey, Longitudinal Small Business Survey & National Employer Skills Survey",Office for National Statistics Secure Research Service,4/20/2020
2020/017,Subjective wellbeing impacts of debt and debt-related factors,"Christopher Warner, Simetrica
Simon Garforth-Bles, Simetrica
Kieran Keohane, Simetrica",Digital Economy Act (2017),Office for National Statistics: Wealth and Assets Survey,Office for National Statistics Secure Research Service,4/20/2020
2020/018,Inequalities in the 21st Century – Chapter on Labour Market Inequality,"Giulia Giupponi, London School of Economics
Xiaowei Xu, Institute for Fiscal Studies
Stephen Machin, London School of Economics
Anne Case,
Institute for Fiscal Studies",Digital Economy Act (2017),"Office for National Statistics: Annual Population Survey, Annual Survey of Hours and Earnings, Labour Force Survey, Longitudinal Labour Force Survey & New Earnings Survey",Office for National Statistics Secure Research Service,4/20/2020
2020/020,Business dynamism,"Russell Black, Office for National Statistics
Josh Martin, Office for National Statistics
Josefa Lavandero Masson, Office for National Statistics
Mohammad Ismail Shafat, Office for National Statistics
Jenniffer Solozano Mosquera, University of London – Imperial College",Digital Economy Act (2017),Office for National Statistics: Business Structure Database,Office for National Statistics Secure Research Service,4/20/2020
2020/021,"The impact of the National Living Wage on Employment, Hours, Earnings and Household Income","Robert Joyce, Institute for Fiscal Studies
Xiaowei Xu, Institute for Fiscal Studies
Tom Waters, Institute for Fiscal Studies
Giulia Giupponi, London School of Economics
Samuel Ray-Chaudhuri, Institute for Fiscal Studies
Thomas Wernham, Institute for Fiscal Studies",Digital Economy Act (2017),Office for National Statistics: Annual Population Survey & Annual Survey of Hours and Earnings,Office for National Statistics Secure Research Service,4/20/2020
2020/022,Digital skills in medium and associate professional job roles: An analysis of institutional data from English apprenticeship standard,"Lei Xu, National Institute for Economic and Social Research",Digital Economy Act (2017),Office for National Statistics: Annual Survey of Hours and Earnings,Office for National Statistics Secure Research Service,4/20/2020
2020/023,"The determinants of performance-pay utilisation by firms and its consequences for firm behaviour, performance, and employee outcomes","William Parker, London School of Economics
Giulia Giupponi, London School of Economics",Digital Economy Act (2017),"Office for National Statistics: Business Structure Database, Annual Business Survey, Workplace Employment Relations Survey, International Trade in Services, Annual Survey of Hours and Earnings & Wealth and Assets Survey",UK Data Archive,4/20/2020
2020/024,Assessing the impact of UK Enterprise Zones,"Henry Overman, London School of Economics
Nicolas Gonzalez-Pampillon, London School of Economics
Helene Donnat,
London School of Economics and Political Science",Digital Economy Act (2017),"Office for National Statistics: Annual Respondents Database, Annual Business Survey, Annual Survey of Hours and Earnings, Business Structure Database & Quarterly Labour Force Survey",UK Data Archive,4/20/2020
2020/026,Research on Digital Trade,"Michael Lee, Cambridge Econometrics
Graham Hay, Cambridge Econometrics
Mary Goldman, Cambridge Econometrics
Jakub Zagdanski, Cambridge Econometrics",Digital Economy Act (2017),Office for National Statistics: E-Commerce Survey & International Trade in Services,UK Data Archive,4/20/2020
2020/027,COVID-19 Infection Survey,"National Coronavirus Population Study

Koen Pouwels,
University of Oxford
Sarah Thomas,
Office for National Statistics
Piotr Pawelek,
Office for National Statistics
Sarah Collyer,
Office for National Statistics
Thomas House,
The University of Manchester
Donna Reeve,
Office for National Statistics
Caolan Laverty,
Department of Health - NI
Katie Allison,
Scottish Government
Daniel Ayoubkhani,
Office for National Statistics
Bill Stewart,
Department of Health - NI
Tanya Golubchik,
University of Oxford
Colin Daglish,
Office for National Statistics
Ruth Snook,
Office for National Statistics
Teri Howells,
Office for National Statistics
David-Willem Pienaar,
Office for National Statistics
Helen Fryer,
University of Oxford
David Foster,
Office for National Statistics
Owen Gethings,
Office for National Statistics
Isimemen Avbulimen,
Office for National Statistics
Alexandra Jaggs,
Office for National Statistics
Matthew Hall,
University of Oxford
Lauren O'Connell,
Office for National Statistics
Paul Birrell,
Public Health England
Jack Osborne,
Office for National Statistics
Katherine Davies,
Office for National Statistics
Matthew Greenaway,
Office for National Statistics
Vahe Nafilyan,
Office for National Statistics
Ellie Osborn,
Office for National Statistics
David Eyre,
University of Oxford
Emma Pritchard,
University of Oxford
Karina-Doris Vihta,
University of Oxford
Gareth James,
Office for National Statistics
Mary Scarlett,
Department of Health - NI
Caroline Youell,
Office for National Statistics
Tristan Pett,
Office for National Statistics
Katrina Lythgoe,
University of Oxford
Charlotte Gaughan,
Office for National Statistics
Alberta Ipser,
Office for National Statistics
John Allen,
Office for National Statistics
Kaveh Jahanshahi,
University of Edinburgh
Lina Lloyd,
University of Southampton
Joel Jones,
Office for National Statistics
Patrycja Delong,
Office for National Statistics
Lorenzo Pellis,
The University of Manchester
Philip Carson,
Department of Health - NI
Athanasios Anthopoulos,
Office for National Statistics
Tamanna Ahmed,
Office for National Statistics
Jia Wei,
University of Oxford
John Buckell,
University of Oxford
Thomas O'Connor,
Office for National Statistics
Matthew Bosworth,
Office for National Statistics
Jessica Partridge,
Office for National Statistics
Arturas Eidukas,
Office for National Statistics
Chaitanya Joshi,
Office for National Statistics
Elizabeth Booth,
Office for National Statistics
Arif Ali,
Office for National Statistics
Gillian Briggs,
Office for National Statistics
Emma Nash,
Office for National Statistics
Michalis Mylonas,
Office for National Statistics
James Cranston,
Office for National Statistics
Sasha King,
Office for National Statistics
Lisa Whitaker,
Office for National Statistics
Lauren Revie,
Office for National Statistics
Numaan Iqbal,
Office for National Statistics
Leanne Massie,
Office for National Statistics
James Copland,
Office for National Statistics
Rebecca Williams,
Office for National Statistics
Megan Munro,
Office for National Statistics
Lina Yusuf,
Office for National Statistics
Kathryn Littleboy,
Office for National Statistics
Imogen Birch,
Office for National Statistics
Laura Carter,
Office for National Statistics
Molly O'Donnell,
Office for National Statistics
Sophia Whittinger,
Office for National Statistics
Elissa Brown,
Office for National Statistics
George Feldman,
Office for National Statistics
Harry Barnard,
Office for National Statistics
Barbara Rubiell,
Office for National Statistics
Yanitsa Scott,
Office for National Statistics
Charlotte Bermingham,
Office for National Statistics
Stephanie Allen,
Office for National Statistics
Charlotte Murphy,
Office for National Statistics
Lilith Barca,
Methods Analytics
Daniel Morgan,
Office for National Statistics
Jessamy Headicar,
Office for National Statistics
Calum Ferguson,
Methods Analytics
Sean White,
Welsh Government
Katie Cunliffe,
Office for National Statistics
Bix Lawrence,
Office for National Statistics
Simeon North,
Office for National Statistics
Tarnjit Khera,
Office for National Statistics
Inga Vermeulen,
Office for National Statistics
Laurence Day,
Office for National Statistics
Jennifer Topham,
Office for National Statistics
Thomas Hunter,
Office for National Statistics
Christopher Johnston,
Office for National Statistics
Benjamin Meadmore,
Office for National Statistics
Gabriele Kovalskyte,
Office for National Statistics
Katie Hendry,
Office for National Statistics
Rebekah Carrington,
Office for National Statistics
Jodie Davis,
Office for National Statistics
Geeta Kerai,
Office for National Statistics
Claudia Jenkins,
Office for National Statistics
Gemma Catchpole,
Office for National Statistics
Amie Fairs,
Office for National Statistics
Benjamin Harris,
Office for National Statistics
Charlotte Hassell, Office for National Statistics
Heather O'Connor, Nuffield Department of Medicine
Sophie Findlay, Office for National Statistics
Nathan Kelly, Office for National Statistics
Jonathan Lewis, Office for National Statistics
Isobel Pickles, Office for National Statistics
Paul Brown, Office for National Statistics
Ellie Worthington, Office for National Statistics
Zoe Richardson, Office for National Statistics
Jonathan Parker, Office for National Statistics
Sami Mubarak, Office for National Statistics
Lydia Yeomans, Office for National Statistics
Sarah Murphy, Office for National Statistics
Denys Janes, Office for National Statistics
Hon-Kit Choy, Office for National Statistics
Africa Pascual, Office for National Statistics
Stephen Milner, Office for National Statistics
Benedetta Iametti, Office for National Statistics
Joseph Kelly, Office for National Statistics
Rebecca Porch, Office for National Statistics
Boran Shenhuy, Office for National Statistics
Janette Boynton, Office for National Statistics
Ann Walker, University of Oxford
Dominic Brown, University of Oxford
Joshua Blake, University of Cambridge
Heather Riley, The University of Manchester
Mark Hamilton, Office for National Statistics
Ffion Jones, Office for National Statistics
Uma Thomas, Office for National Statistics
Michalina Siemiatkowska, Office for National Statistics
Matthew Maynard, Office for National Statistics
Vasiliki Kladouchou, Office for National Statistics
Anna Tindall, Office for National Statistics
Thomas Stevens, Office for National Statistics","Digital Economy Act (2017)

Statistics and Registration Services Act 2007 (SRSA) - Approved Researcher Gateway: added data after 9 September 2021s Act 2007 - Approved Researcher Gateway: added data after 9 September 2021","Office for National Statistics: ONS COVID-19 Weekly Opinions Survey, Labour Force Survey, ONS Death Registrations Data
Office for National Statistics / University of Oxford / Valuation Office Agency / Ministry of Housing, Communities and Local Government: Covid-19 Infection Survey linked with VOA and EPC data
Office for National Statistics / University of Oxford: Covid-19 Infection Survey with National Immunisation Management Service, Covid-19 Infection Survey linked with Death Occurrences England and Wales
Office for National Statistics / NHSD / University of Oxford: COVID-19 Infection Survey linked with Public Health Research Database",Office for National Statistics Secure Research Service,4/28/2020
2020/030,Occupational mobility: evidence from England and Wales,"Maria Ventura, London School of Economics and Political Science",Digital Economy Act (2017),Office for National Statistics: Longitudinal Study,Office for National Statistics Secure Research Service,5/29/2020
2020/048,"ESCoE Project 2.9: Using Firm-Level Surveys to Understand Industrial and Regional Capacity, Investment, Productivity and Output Growth","Paul Mizen, University of Nottingham
Kevin Lee, University of Nottingham
Michael Mahony, University of Nottingham
Alexandros Botsis,
Economic Statistics Centre of Excellence",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey, Annual Respondents Database, Business Structure Database, Monthly Business Survey, Monthly Inquiry into the Distributive and Services Sector, Monthly Production Inquiry, Quarterly Acquisitions and Disposals of Capital Assets Survey & Quarterly Capital Expenditure Survey",Office for National Statistics Secure Research Service,5/29/2020
2020/049,Evaluation of the Enterprise Capital Funds,"Chris Hale, IPSOS MORI
Anna Sperati, IPSOS MORI",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey, Annual Survey of Hours and Earnings, Business Enterprise Research and Development & Business Structure Database",Office for National Statistics Secure Research Service,5/29/2020
2020/039,"Developing experimental estimates of regional skill demand, supply and mismatch","Djyldyz Djumalieva, Nesta",Digital Economy Act (2017),"Office for National Statistics: Annual Population Survey, Longitudinal Labour Force Survey & Annual Survey of Hours and Earnings",Office for National Statistics Secure Research Service,5/29/2020
2020/014,UK Competition Indicators,"Richard Havell, Competition and Markets Authority
Bina Prajapati, Competition and Markets Authority
John D'Souza, Competition and Markets Authority
David Deller,
University of West Anglia
Riccardo Ferrari,
Competition and Markets Authority
Joseph Carr,
University of East Anglia
Hussein Farook,
Competition and Markets Authority
Joseph Carr,
Competition and Markets Authority
Ben Campbell, Competition and Markets Authority
Jakob Schneebacher, Competition and Markets Authority
Ivan Olszak, University of London
Alex Hodnett, Competition and Markets Authority
Samir Doshi, Competition and Markets Authority",Digital Economy Act (2017),"Office for National Statistics: Business Structure Database, Annual Respondents Database , Annual Respondents Database X , Longitudinal Inter-Departmental Business Register, Business Register Employment Survey, Business Expenditure on Research and Development, Annual Business Survey, Producer Price Index & Business Impact of COVID-19 Survey
Department for Business, Energy and Industrial Strategy: Community Innovation Survey",Office for National Statistics Secure Research Service,3/24/2020
2020/029,Incentives for Innovation,"John Moffat, Durham University
Haoran Sun, Durham University",Digital Economy Act (2017),"Office for National Statistics: Annual Respondents Database, Annual Business Survey, Business Structure Database, Business Expenditure on Research and Development
Department for Business, Energy and Industrial Strategy: UK Innovation Survey",UK Data Archive,5/29/2020
2020/030,Examining the relationship between engaging in design and exporting,"Xiaoxiao Yu, University of Manchester",Digital Economy Act (2017),"Department for Business, Energy and Industrial Strategy: UK Innovation Survey",UK Data Archive,5/29/2020
2020/033,Education and Identity,"Andrew McKendrick,
Lancaster University
Maria Navarro Paniagua, Lancaster University
Ian Walker, Lancaster University",Digital Economy Act (2017),Office for National Statistics: Quarterly Labour Force Survey,UK Data Archive,2020-06-11
2020/034,"Pensions, Place, Populism: Do post-crisis wealth shocks matter?","Jeffrey Chwieroth,
London School of Economics",Digital Economy Act (2017),"Office for National Statistics: Wealth and Assets Survey, Waves 1-5",Office for National Statistics Secure Research Service,6/15/2020
2020/035,An examination of the relationship between the population disclosing domestic violence to the Intimate Violence Module and the Victim Module of the CSEW,"Merili Pullerits, University of London",Digital Economy Act (2017),Office for National Statistics: Crime Survey for England and Wales,UK Data Archive,5/29/2020
2020/037,"Zero Hours Contracts: Characteristics, Prevalence and Impacts on Workers","Duncan McVicar,
Queen's University Belfast Management School",Digital Economy Act (2017),"Office for National Statistics: Annual Population Survey, Quarterly Labour Force Survey, Labour Force Survey Five-Quarter Longitudinal Dataset & Annual Population Survey: Well-Being",UK Data Archive,5/29/2020
2020/038,Evaluation of the Small Business Bonus Scheme in Scotland,"Stuart McIntyre,
University of Strathclyde",Digital Economy Act (2017),"Office for National Statistics: Business Structure Database
Scottish Government: Valuation data of Scottish properties",Office for National Statistics Secure Research Service,5/29/2020
2020/040,Understanding co-creation in small businesses,"David John Dowell,
University of St Andrews",Digital Economy Act (2017),"Department for Business, Energy and Industrial Strategy: Longitudinal Small Business Survey",UK Data Archive,5/29/2020
2020/041,The effects of broadband quality in firm and local performance,"Anastasios Kitsos,
University of Birmingham
Emmanouil Tranos,
The Alan Turing Institute
Levi Wolf,
University of Birmingham",Digital Economy Act (2017),Office for National Statistics: Business Structure Database & Annual Population Survey,UK Data Archive,5/29/2020
2020/042,UK coastal tourism: efficiency and revival,"Zheng Chris Cao,
Aston University",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey, Annual Respondents Database X, Annual Respondents Database & Annual Survey of Hours and Earnings",UK Data Archive,5/29/2020
2020/043,Corporate response to energy-efficiency agreements: evidence from the UK manufacturing industry,"Federica Zeni,
Imperial College London",Digital Economy Act (2017),"Office for National Statistics: Business Structure Database, Annual Respondent Database X, Annual Business Survey
Department for Business, Energy and Industrial Strategy: Quarterly Fuels Inquiry",Office for National Statistics Secure Research Service,5/29/2020
2020/044,Social factors impacting offending and resettlement in Northern Ireland,"Shannon Browne, Northern Ireland Statistics and Research Agency
Rita McAuley,
Northern Ireland Statistics and Research Agency
Philip Palmer,
Northern Ireland Statistics and Research Agency",Digital Economy Act (2017),"Northern Ireland General Register Office: Death data
Northern Ireland Department of Justice: Offending data",Northern Ireland Statistics and Research Agency,5/29/2020
2020/045,Migration and redistributive spending: Evidence from England and local authorities,"Lars Ludolph,
London School of Economics
Nikolaj Broberg, European University Institute",Digital Economy Act (2017),Office for National Statistics: Annual Population Survey & Labour Force Survey,Office for National Statistics Secure Research Service,06/11/2020
