Project ID,Title,Researchers,Legal Basis,Datasets Used,Secure Research Service,Accreditation Date,Record ID,Year,Quarter,Quarter Label,substantive_domains,analytical_purpose,cross_cutting_tags,rationale,primary_domain
2020/001,How does tax affect incorporation and business outcomes?,"Kate Smith, Institute for Fiscal Studies",Digital Economy Act (2017) ,"Department for Business, Energy and Industrial Strategy: Longitudinal Small Business Survey & Small Business Survey",Office for National Statistics Secure Research Service,2020-01-17,2020/001,2020,2020Q1,Q1 2020,Business & Productivity; Public Finance & Taxation,Outcome Tracking,,Assigned Business & Productivity and Public Finance & Taxation because it studies how tax affects incorporation and firm outcomes using business survey data; Outcome Tracking because it links tax conditions to business outcomes rather than evaluating a single named reform; no tag because no demographic-equity or pandemic lens is central.,Business & Productivity
2020/003,"Spatial sorting in housing and employment: impact of public investments, planning decisions, housing subsidies, and business rates","Lars Nesheim, University College London",Digital Economy Act (2017) ,"Office for National Statistics: Annual Survey of Hours and Earnings, Census 2011 England and Wales: Individual Sample, Census 2011 Origin/Destination: Flow data & Business Impact of COVID-19 Survey",Office for National Statistics Secure Research Service,2020-01-17,2020/003,2020,2020Q1,Q1 2020,Housing & Planning; Labour Market & Employment,Policy Evaluation / Impact Analysis,,"Assigned Housing & Planning and Labour Market & Employment because it studies spatial sorting in housing and employment using earnings, census and flow data; Policy Evaluation / Impact Analysis because it assesses impacts of public investments, planning decisions, housing subsidies and business rates; no tag because the comparison is spatial/economic rather than demographic and pandemic is only an incidental dataset.",Housing & Planning
2020/004,Medina Valley Marine Sector Proposition and Funding,"Joshua Harding-Jones, Hardisty Jones Associates",Digital Economy Act (2017) ,Office for National Statistics: Business Structure Database,Office for National Statistics Secure Research Service,2020-01-17,2020/004,2020,2020Q1,Q1 2020,Business & Productivity,Descriptive Monitoring,,Assigned Business & Productivity because the marine sector proposition and funding analysis uses the Business Structure Database to profile firms in a sector; Descriptive Monitoring because it characterises the sector's business composition; no tag because no demographic-equity or pandemic lens is central.,Business & Productivity
2020/005,The interplay between bridging and bonding social capital in shaping diversity and entrepreneurial activity across the UK local communities,"Tomasz Mickiewicz, BOP Consulting
Julia Korosteleva, University College London
Mario Davide Parrilli, University of Bournemouth",Digital Economy Act (2017) ,"Department for Business, Energy and Industrial Strategy: Longitudinal Small Business Survey
Institute for Social and Economic Research:
Understanding Society: UK Household Longitudinal Study Mainstage Survey Wave 9 &
Understanding Society: UK Household Longitudinal Study Mainstage Survey Wave 6",Office for National Statistics Secure Research Service,2020-01-17,2020/005,2020,2020Q1,Q1 2020,Business & Productivity,Outcome Tracking,,Assigned Business & Productivity because it studies entrepreneurial activity across local communities using business survey and household longitudinal data; Outcome Tracking because it links social capital (bridging and bonding) to entrepreneurial outcomes; no tag because social capital is the focus rather than a demographic-equity comparison.,Business & Productivity
2020/002,Evaluation of the Energy Entrepreneurs Fund,"James Kearney, Ipsos MORI
Chris Hale, Ipsos MORI
Marc Tully, Ipsos MORI",Digital Economy Act (2017) ,"Office for National Statistics: Business Enterprise Research and Development, Business Structure Database, Annual Business Survey & Annual Survey of Hours and Earnings",Office for National Statistics Secure Research Service,2020-03-02,2020/002,2020,2020Q1,Q1 2020,Business & Productivity; Environment & Agriculture,Policy Evaluation / Impact Analysis,,Assigned Business & Productivity and Environment & Agriculture because the Energy Entrepreneurs Fund supports firm R&D in an energy context analysed with business and earnings data; Policy Evaluation / Impact Analysis because it explicitly evaluates a named funding scheme; no tag because no demographic-equity or pandemic lens is central.,Business & Productivity
2019/025,Understanding the uptake and use of the Northern Ireland Concessionary Fares Scheme for the population aged 60 and over,"Jos IJpelaar, Northern Ireland Statistics and Research Agency
John Hughes, Northern Ireland Statistics and Research Agency",Digital Economy Act (2017) ,"Northern Ireland Statistics and Research Agency: Census 2011 & Census 2011
Northern Ireland Registrar General's Office: Registered Deaths",Northern Ireland Statistics and Research Agency,2020-02-14,2019/025,2020,2020Q1,Q1 2020,Migration & Demographics,Service Interaction / Systems Analysis,Demographic disparities / equity tag,Assigned Migration & Demographics because the population aged 60 and over and census/deaths data frame an ageing-population study of scheme use; Service Interaction / Systems Analysis because the focus is uptake and use of the Concessionary Fares Scheme; Demographic disparities / equity tag because the analysis centres on the older age group's access to the scheme.,Migration & Demographics
2020/008,Contextualised Admissions and University Choice,"Sonkurt Kemal Sen, University of Essex
Emilia Del Bono, University of Essex
Angus Holford, University of Essex
Ryan Smith,
Office for National Statistics",Digital Economy Act (2017) ,UCAS: Universities and Colleges Admissions Service,Office for National Statistics Secure Research Service,2020-03-16,2020/008,2020,2020Q1,Q1 2020,Education & Skills,Outcome Tracking,,Assigned Education & Skills because it studies contextualised admissions and university choice using UCAS admissions data; Outcome Tracking because it links applicant context to admissions/choice outcomes; no tag because contextual admissions are framed around disadvantage rather than a centrally demographic-equity comparison.,Education & Skills
2020/010,Local labour market effects of immigration,"Andrew Aitken, National Institute for Economic and Social Research",Digital Economy Act (2017) ,"Office for National Statistics: Annual Population Survey, Quarterly Labour Force Survey & Annual Survey of Hours and Earnings
Institute for Economic and Social Research: Understanding Society",Office for National Statistics Secure Research Service,2020-03-16,2020/010,2020,2020Q1,Q1 2020,Labour Market & Employment; Migration & Demographics,Outcome Tracking,,Assigned Labour Market & Employment and Migration & Demographics because the project studies local labour-market effects of immigration using earnings and labour force surveys; Outcome Tracking because it links immigration (a naturally occurring exposure) to local labour-market outcomes; no tag because the comparison is geographic/economic rather than centred on demographic-group equity.,Labour Market & Employment
2020/011,Innovation analysis for Knowledge Transfer Network,"Stuart Thompson, Knowledge Transfer Network
James Currer,
Innovate UK
",Digital Economy Act (2017) ,"Office for National Statistics: Business Enterprise Research and Development, E-Commerce Survey, Labour Force Survey Person, Survey of Innovation and Patent Use, Business Structure Database & Longitudinal Business Structure Database
Department for Business, Energy and Industrial Strategy: Longitudinal Small Business Survey
Department for Business, Energy and Industrial Strategy: Community Innovation Survey",Office for National Statistics Secure Research Service,2020-03-16,2020/011,2020,2020Q1,Q1 2020,Business & Productivity,Descriptive Monitoring,,"Assigned Business & Productivity because the project analyses innovation using business R&D, innovation and patent surveys; Descriptive Monitoring because it profiles and characterises innovation activity for a Knowledge Transfer Network rather than testing exposure-outcome or evaluating a policy; no tag because no demographic or pandemic lens is central.",Business & Productivity
2020/012,Wage progression and firm productivity,"Rachel Griffith, Institute for Fiscal Studies
Robert Joyce, Institute for Fiscal Studies
Xiaowei Xu, Institute for Fiscal Studies
Wenchao Jin, Institute for Fiscal Studies
",Digital Economy Act (2017) ,"Office for National Statistics: Annual Business Inquiry, Annual Inquiry into Foreign Direct Investment, Annual Respondents DatabaseX, Annual Respondents Database, Annual Survey of Hours and Earnings, Business Expenditure on Research and Development, Business Impact of COVID-19 Survey, Business Register Employment Survey, Business Structure Database, Business Structure Database Longitudinal, Capital Stocks, Financial Assets and Liabilities Survey, Interdepartmental Business Register, Investment in Intangible Assets, International Trade in Services, Labour Force Survey, Monthly Wage and Salary Survey, New Earnings Survey, Quarterly Capital Expenditure Survey, Survey of Innovation and Patent Use, Vacancy Survey, ASHE
Intellectual Property Office: Patents, Designs and Trade Marks
Department for Education: National
Department for Business, Energy and Industrial Strategy: Employer Skills Survey & Workplace Employment Relations Survey
Department for Business, Energy and Industrial Strategy: Small Business Survey Longitudinal
Department for Business, Energy and Industrial Strategy: Community Innovation Survey",Office for National Statistics Secure Research Service,2020-03-16,2020/012,2020,2020Q1,Q1 2020,Labour Market & Employment; Business & Productivity,Outcome Tracking,,Assigned Labour Market & Employment and Business & Productivity because it studies wage progression alongside firm productivity using earnings and firm-level business datasets; Outcome Tracking because it links firm productivity to wage progression as an exposure-outcome relationship; no tag because no demographic-equity or explicit pandemic framing is central.,Labour Market & Employment
2020/013,Firm-level analysis of research and development,"Joelle Tasker, Office for National Statistics
Elizabeth Taylor, Office for National Statistics
Christina Palmou, Office for National Statistics",Digital Economy Act (2017) ,"Office for National Statistics: Business Expenditure on Research and Development - England, Wales and Scotland, Business Structure Database, Business Structure Database Longitudinal, Annual Business Survey, Annual Respondent Database 2
Intellectual Property Office: Patents, Designs and Trade Marks
Office for National Statistics /
Department for Business, Energy and Industrial Strategy: Covid-19 Infection Survey linked with UK Innovation Survey",Office for National Statistics Secure Research Service,2020-03-16,2020/013,2020,2020Q1,Q1 2020,Business & Productivity,Descriptive Monitoring,,"Assigned Business & Productivity because the project is a firm-level analysis of R&D using business expenditure, patent and innovation survey datasets; Descriptive Monitoring because it characterises firm-level R&D activity; no tag because the COVID infection survey linkage is incidental context rather than a central pandemic lens.",Business & Productivity
2020/007,Business Succession in Wales,"Nikolaos Kapitsinis, University of Cardiff",Digital Economy Act (2017) ,"Office for National Statistics: Business Structure Database, Annual Business Survey
Department for Business, Energy and Industrial Strategy: Small Business Survey & Longitudinal Small Business Survey",Office for National Statistics Secure Research Service,2020-04-15,2020/007,2020,2020Q2,Q2 2020,Business & Productivity,Descriptive Monitoring,,Assigned Business & Productivity because the project studies business succession in Wales using business structure and small business surveys; Descriptive Monitoring because it characterises succession patterns among firms; no tag because no demographic-equity or pandemic lens is central.,Business & Productivity
2020/015,Minimum wages and technology adoption,"Andrew Aitken, National Institute for Economic and Social Research
John Forth, National Institute for Economic and Social Research
Larissa Marioni, National Institute for Economic and Social Research",Digital Economy Act (2017) ,"Office for National Statistics: Annual Population Survey, Business Structure Database & Quarterly Labour Force Survey",Office for National Statistics Secure Research Service,2020-04-20,2020/015,2020,2020Q2,Q2 2020,Labour Market & Employment; Business & Productivity,Policy Evaluation / Impact Analysis,,Assigned Labour Market & Employment and Business & Productivity because it studies minimum wages and firm technology adoption using earnings and business structure data; Policy Evaluation / Impact Analysis because the minimum wage is a named policy whose effect on technology adoption is examined; no tag because no demographic-equity or pandemic lens is central.,Labour Market & Employment
2020/025,Modelling the regional implications of COVID-19 using the Enterprise Research Centre's longitudinal firm-level dataset based on the Business Structure Database,"Mark Hart, University of Aston
Neha Prashar, University of Aston
Anastasia Ri, University of Aston",Digital Economy Act (2017) ,"Office for National Statistics: Business Structure Database, Longitudinal Inter-Departmental Business Register, International Trade in Services, Business Impact of COVID-19 Survey & E-Commerce Survey
Department for Business, Energy and Industrial Strategy: Community Innovation Survey",Office for National Statistics Secure Research Service,2020-04-20,2020/025,2020,2020Q2,Q2 2020,Business & Productivity,Descriptive Monitoring,COVID-19 & Pandemic,Assigned Business & Productivity because the project models regional firm-level implications using the Business Structure Database and business surveys; Descriptive Monitoring because it characterises regional firm impacts; COVID-19 & Pandemic tag because COVID-19's effects are the central condition of the study.,Business & Productivity
2020/016,Identification and monitoring of social impact indicators in the West Cumbrian region,"Neil Scott,
University of London - Royal Holloway
Dora Radosevic, Simetrica
Sebastien Peytrignet, Simetrica
Christopher Warner, Simetrica
Henry Maguire, Simetrica
Abigail Lyons, Simetrica
",Digital Economy Act (2017) ,"Office for National Statistics: Annual Population Survey, Labour Force Survey, Longitudinal Small Business Survey & National Employer Skills Survey",Office for National Statistics Secure Research Service,2020-04-20,2020/016,2020,2020Q2,Q2 2020,Labour Market & Employment; Business & Productivity,Descriptive Monitoring,,"Assigned Labour Market & Employment and Business & Productivity because the project identifies social impact indicators using labour, skills and small business surveys covering both workforce and firm activity; Descriptive Monitoring because it identifies and monitors indicators for a region; no tag because no demographic-equity or pandemic lens is central.",Labour Market & Employment
2020/017,Subjective wellbeing impacts of debt and debt-related factors,"Christopher Warner, Simetrica
Simon Garforth-Bles, Simetrica
Kieran Keohane, Simetrica",Digital Economy Act (2017) ,Office for National Statistics: Wealth and Assets Survey,Office for National Statistics Secure Research Service,2020-04-20,2020/017,2020,2020Q2,Q2 2020,"Poverty, Wealth & Living Standards; Health & Social Care",Outcome Tracking,,"Assigned Poverty, Wealth & Living Standards and Health & Social Care because the project studies how debt and debt-related factors affect subjective wellbeing using the Wealth and Assets Survey; Outcome Tracking because it links debt (a circumstance) to wellbeing outcomes; no tag because no demographic-equity or pandemic lens is central.","Poverty, Wealth & Living Standards"
2020/018,Inequalities in the 21st Century – Chapter on Labour Market Inequality,"Giulia Giupponi, London School of Economics
Xiaowei Xu, Institute for Fiscal Studies
Stephen Machin, London School of Economics
Anne Case,
Institute for Fiscal Studies",Digital Economy Act (2017) ,"Office for National Statistics: Annual Population Survey, Annual Survey of Hours and Earnings, Labour Force Survey, Longitudinal Labour Force Survey & New Earnings Survey",Office for National Statistics Secure Research Service,2020-04-20,2020/018,2020,2020Q2,Q2 2020,Labour Market & Employment,Descriptive Monitoring,Demographic disparities / equity tag,Assigned Labour Market & Employment because the project examines labour-market inequality using earnings and labour force surveys; Descriptive Monitoring because it profiles inequality patterns in the labour market; Demographic disparities / equity tag because the inequality focus centres on comparison across groups.,Labour Market & Employment
2020/020,Business dynamism,"Russell Black, Office for National Statistics
Josh Martin, Office for National Statistics
Josefa Lavandero Masson, Office for National Statistics
Mohammad Ismail Shafat, Office for National Statistics
Jenniffer Solozano Mosquera, University of London   “ Imperial College",Digital Economy Act (2017) ,Office for National Statistics: Business Structure Database,Office for National Statistics Secure Research Service,2020-04-20,2020/020,2020,2020Q2,Q2 2020,Business & Productivity,Descriptive Monitoring,,"Assigned Business & Productivity because the project studies business dynamism using the Business Structure Database, a firm-level register; Descriptive Monitoring because business dynamism analysis profiles patterns of firm entry, exit, and growth rather than testing an intervention; no tag because no demographic or pandemic lens is central.",Business & Productivity
