Record ID,record_linkage,matched_products,record_linkage_component_domains,dataset_collection_types,dataset_units,researcher_sectors
2020/044,No record linkage,,,,,government
2020/045,No record linkage,,,survey,individual,academic
2020/046,Cross-domain record linkage,Annual Survey of Hours and Earnings linked to Census 2011,Labour Market & Employment; Migration & Demographics,survey; administrative,individual; business,academic; government
2020/047,No record linkage,,,survey,individual,academic; government; third-sector; commercial; unclassified
2020/050,No record linkage,,,cohort,individual,third-sector
2020/051,No record linkage,,,,,academic
2020/052,No record linkage,,,survey,individual,academic; third-sector
2020/053,No record linkage,,,survey; administrative,business,academic
2020/054,No record linkage,,,survey; cohort; administrative,individual; business,commercial; unclassified
2020/055,No record linkage,,,survey; administrative,business,academic
2020/057,No record linkage,,,survey,individual,academic
2020/059,No record linkage,,,survey,business,unclassified
2020/060,No record linkage,,,survey,business,academic
2020/062,No record linkage,,,survey; administrative,individual; business,academic
2020/063,No record linkage,,,survey; administrative,individual,academic; government; commercial; unclassified
2020/064,No record linkage,,,survey,business,government
2020/065,No record linkage,,,administrative,business,government
2020/066,No record linkage,,,survey,individual; business,government
2020/067,No record linkage,,,survey; administrative,individual; household; business,third-sector
2020/068,No record linkage,,,survey; administrative,individual; business,government; commercial
2020/069,No record linkage,,,survey; administrative,individual; business,academic
2020/070,No record linkage,,,survey,individual,academic
2020/071,No record linkage,,,survey; administrative,business,academic; third-sector
2020/072,No record linkage,,,survey; cohort; administrative,individual; business,commercial
2020/073,No record linkage,,,survey; cohort,individual; household,academic
2020/074,No record linkage,,,cohort,individual,academic
2020/075,No record linkage,,,survey,household,academic
2020/076,No record linkage,,,administrative,individual,academic
2020/077,No record linkage,,,cohort,individual,academic
2020/079,No record linkage,,,survey; administrative,individual; business,academic; commercial
2020/080,No record linkage,,,survey,individual,academic
2020/081,No record linkage,,,survey; administrative,individual,academic
2020/083,No record linkage,,,cohort,individual,academic
2020/086,No record linkage,,,survey,individual; business,academic
2020/087,No record linkage,,,survey; administrative,individual,academic
2020/089,No record linkage,,,survey,household,academic; third-sector
2020/092,No record linkage,,,cohort,individual,academic
2020/094,No record linkage,,,survey,individual,unclassified
2020/095,No record linkage,,,survey; administrative,individual; business,academic
2020/096,No record linkage,,,survey; administrative,household; business,government
2020/097,No record linkage,,,survey,business,academic
2020/099,No record linkage,,,survey; cohort; administrative,individual; household; business,academic
2020/100,No record linkage,,,,,government
2020/101,No record linkage,,,survey; administrative,business,academic
2020/102,No record linkage,,,survey; cohort,individual,academic
2020/103,No record linkage,,,survey; administrative,individual; business,academic
2020/104,No record linkage,,,survey,individual,academic; government
2020/105,No record linkage,,,survey; cohort,individual; household,third-sector
2020/106,No record linkage,,,administrative,individual,academic
2020/107,No record linkage,,,survey,individual,academic
2020/108,No record linkage,,,survey,individual,academic
2020/109,No record linkage,,,survey; administrative,business,commercial
2020/111,No record linkage,,,survey,individual,third-sector
2020/112,No record linkage,,,administrative,business,academic
2020/113,No record linkage,,,survey,individual; business,academic
2020/115,No record linkage,,,administrative,business,commercial
2020/116,No record linkage,,,survey; administrative,individual; business,academic
2020/117,No record linkage,,,survey,individual,academic; government; third-sector
2020/118,No record linkage,,,survey,individual,academic
2020/121,No record linkage,,,survey; administrative,business,commercial
2020/122,No record linkage,,,survey; cohort,individual; household,unclassified
2020/126,No record linkage,,,survey,individual,academic
2020/127,No record linkage,,,survey,individual,academic
2020/128,No record linkage,,,survey,individual,academic; government
2020/129,No record linkage,,,survey,individual,academic; government; third-sector; unclassified
2020/110,No record linkage,,,survey,individual; business,unclassified
2020/114,No record linkage,,,survey,individual,third-sector
2020/006,No record linkage,,,cohort,individual,academic
2020/009,No record linkage,,,survey,business,academic
2020/019,No record linkage,,,survey; administrative,individual; business,government
2020/056,No record linkage,,,survey,individual,academic
2020/058,No record linkage,,,administrative,area,academic
2020/078,No record linkage,,,cohort,individual,academic
2020/082,No record linkage,,,survey,individual,academic
2020/084,No record linkage,,,administrative,individual,academic
2020/125,No record linkage,,,survey,individual,unclassified
2020/061,No record linkage,,,survey; cohort,individual; household,academic; third-sector
2021/001,No record linkage,,,administrative,individual,academic
2021/002,No record linkage,,,survey,individual,government
2021/004,No record linkage,,,survey; administrative,individual; business,government; commercial
2021/005,No record linkage,,,survey,individual,academic
2021/006,No record linkage,,,administrative,individual,academic; unclassified
2021/007,No record linkage,,,survey,individual; business,academic
2021/009,No record linkage,,,survey,individual,academic
2021/011,No record linkage,,,survey; administrative,business,government
2021/013,No record linkage,,,survey; administrative,individual,academic
2021/014,No record linkage,,,survey; administrative,business,academic
2020/120,No record linkage,,,survey; administrative,individual; business,academic
2020/093,No record linkage,,,survey; cohort,individual; household; business,commercial
2021/003,No record linkage,,,survey; administrative,individual; business,academic
2021/015,No record linkage,,,survey; administrative,individual; household,academic; unclassified
2021/016,No record linkage,,,survey,individual,academic
2021/017,No record linkage,,,survey; administrative,individual; business,commercial
2021/008,No record linkage,,,survey,individual,academic; government; third-sector; unclassified
2021/018,No record linkage,,,survey,individual; business,academic
2021/024,No record linkage,,,survey; cohort,individual; household,academic
2021/026,No record linkage,,,survey,individual,academic
2021/031,No record linkage,,,survey; administrative,individual; business,academic; commercial; unclassified
2021/035,Cross-domain record linkage,Growing Up in England (GUIE),Education & Skills; Migration & Demographics,administrative,individual,academic
2021/037,Cross-domain record linkage,"Linked Census, HES and Mortality Data",Health & Social Care; Migration & Demographics,survey; administrative,individual,academic; government
2021/038,Within-domain record linkage,MoJ Data First,Crime & Justice,administrative,individual,academic
2021/039,Within-domain record linkage,MoJ Data First,Crime & Justice,administrative,individual,academic
2021/040,Within-domain record linkage,MoJ Data First,Crime & Justice,administrative,individual,academic
2021/041,Within-domain record linkage,MoJ Data First,Crime & Justice,administrative,individual,academic
2021/042,No record linkage,,,survey,individual,academic
2021/043,No record linkage,,,cohort,individual,academic
2021/044,No record linkage,,,survey,individual,academic; third-sector
2021/034,No record linkage,,,survey; administrative,business,government
2021/046,No record linkage,,,survey; administrative,individual; business,academic; unclassified
2021/047,Within-domain record linkage,MoJ Data First,Crime & Justice,administrative,individual,academic
2021/048,No record linkage,,,cohort,individual,academic
2021/049,No record linkage,,,survey; administrative,individual; business,commercial
2021/050,No record linkage,,,,,academic
2021/051,No record linkage,,,cohort,individual,academic
2021/052,No record linkage,,,survey; administrative,business,government
2021/053,No record linkage,,,survey,individual,unclassified
2021/054,No record linkage,,,survey,individual,commercial; unclassified
2021/055,No record linkage,,,survey; administrative,individual; business,academic
2021/058,No record linkage,,,survey,individual,academic
2021/059,No record linkage,,,survey; administrative,business,commercial
2021/060,No record linkage,,,survey; administrative,individual; household; business; area,government
2021/061,No record linkage,,,survey; cohort,individual; household,academic
2021/067,No record linkage,,,survey; cohort; administrative,individual; business,academic
2021/068,No record linkage,,,cohort,individual,academic
2021/063,No record linkage,,,survey; administrative,individual; business,academic
2021/032,No record linkage,,,survey,individual,academic
2021/019,No record linkage,,,survey; cohort; administrative,individual; household; business; area,academic; third-sector
2021/021,No record linkage,,,survey,individual,academic
2021/029,No record linkage,,,survey,individual,academic; unclassified
2021/020,No record linkage,,,survey,individual; household; business,academic
2021/022,No record linkage,,,survey,individual,academic; third-sector
2021/025,No record linkage,,,survey,individual,academic; government
2021/027,No record linkage,,,survey,individual,academic
2021/028,No record linkage,,,administrative,individual,academic
2021/033,No record linkage,,,survey; administrative,business,academic
2021/036,No record linkage,,,survey,business,academic
2021/056,No record linkage,,,cohort,individual,academic
2021/057,No record linkage,,,survey,individual,academic
2021/071,No record linkage,,,survey,individual,unclassified
2021/074,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic; commercial
2021/075,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,government
2021/078,No record linkage,,,cohort,individual,unclassified
2021/083,No record linkage,,,cohort,individual,academic
2021/085,No record linkage,,,cohort,individual,government
2021/087,No record linkage,,,cohort,individual,academic
2021/088,No record linkage,,,survey,individual,academic
2021/089,No record linkage,,,survey,individual,commercial
2021/030,No record linkage,,,survey; administrative,business,government
2021/065,No record linkage,,,administrative,individual,academic
2021/066,No record linkage,,,survey,household,third-sector
2021/070,No record linkage,,,administrative,individual,academic; third-sector
2021/077,No record linkage,,,administrative,area,academic
2021/023,No record linkage,,,administrative,individual,academic
2021/079,No record linkage,,,survey; administrative,individual; business,commercial
2021/081,No record linkage,,,survey; cohort; administrative,business,academic
2021/082,No record linkage,,,survey; cohort,individual; household,academic
2021/084,No record linkage,,,survey; administrative,individual; business,commercial
2021/062,No record linkage,,,survey; administrative,business,academic
2021/080,Within-domain record linkage,Annual Survey of Hours and Earnings Longitudinal,Labour Market & Employment,survey,individual,unclassified
2021/090,No record linkage,,,survey,individual,academic; government
2021/091,No record linkage,,,survey,business,academic
2021/092,No record linkage,,,survey; administrative,business,government; commercial
2021/093,No record linkage,,,survey,business,academic
2021/097,No record linkage,,,survey,individual,academic
2021/098,No record linkage,,,survey,business,academic
2021/100,No record linkage,,,survey,individual,academic
2021/101,No record linkage,,,survey; administrative,business,academic
2021/104,No record linkage,,,survey,individual,academic
2021/107,Cross-domain record linkage,Earnings and Employees Study (EES) 2011 - Northern Ireland,Labour Market & Employment; Housing & Planning; Migration & Demographics,survey,individual,academic; government
2021/111,No record linkage,,,survey,individual,academic
2021/112,No record linkage,,,survey,business,academic
2021/114,No record linkage,,,survey,individual,academic
2021/115,No record linkage,,,survey,individual; household,academic
2021/117,No record linkage,,,survey; cohort,individual; household,academic
2021/102,No record linkage,,,survey; cohort; administrative,individual; household; business,academic
2021/076,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,government
2021/094,Within-domain record linkage,Annual Survey of Hours and Earnings Longitudinal,Labour Market & Employment,survey,individual,academic
2021/095,No record linkage,,,survey; cohort,individual; household; business,academic
2021/069,No record linkage,,,survey,individual,academic
2021/064,No record linkage,,,survey,individual,academic; government
2021/096,No record linkage,,,survey; administrative,individual; business,academic
2021/103,No record linkage,,,survey,household,academic
2021/105,No record linkage,,,survey,individual,academic
2021/109,No record linkage,,,survey,individual,commercial
2021/113,No record linkage,,,survey,individual,academic
2021/116,No record linkage,,,administrative,business,academic
2021/118,No record linkage,,,survey,individual,academic
2021/121,No record linkage,,,survey; administrative,individual; business,academic
2021/123,No record linkage,,,survey; administrative,individual; business,academic; third-sector
2021/124,No record linkage,,,survey,individual,academic; government
2021/126,No record linkage,,,survey,individual,unclassified
2021/127,No record linkage,,,administrative,business,commercial
2021/129,No record linkage,,,survey,business,academic
2021/136,No record linkage,,,survey; administrative,business,commercial
2021/137,No record linkage,,,survey; cohort,individual; household,commercial
2021/138,No record linkage,,,survey; administrative,individual; business,academic
2021/145,No record linkage,,,survey; administrative,individual; business,academic
2021/147,Cross-domain record linkage,Annual Survey of Hours and Earnings Longitudinal; Annual Survey of Hours and Earnings linked to Census 2011,Labour Market & Employment; Migration & Demographics,survey; administrative,individual; business,academic; third-sector
2020/036,No record linkage,,,survey,household,academic
2021/128,No record linkage,,,survey,household,unclassified
2021/135,No record linkage,,,survey; administrative,business,government; third-sector
2021/139,No record linkage,,,survey; administrative,business,academic
2021/140,No record linkage,,,survey,individual,academic
2021/143,No record linkage,,,survey,individual; business,academic
2021/150,No record linkage,,,survey,household,third-sector
2021/151,No record linkage,,,survey; cohort; administrative,individual; household; business; area,academic; third-sector
2021/152,No record linkage,,,administrative,individual,academic
2021/153,No record linkage,,,cohort,individual,academic
2021/155,No record linkage,,,survey; administrative,individual; business,government
2021/156,No record linkage,,,survey,business,commercial
2021/158,No record linkage,,,survey; administrative,individual; household; business,academic
2021/160,No record linkage,,,survey; cohort; administrative,individual; household; business,academic
2021/161,No record linkage,,,survey; administrative,individual; business,academic
2021/162,No record linkage,,,survey,individual,third-sector
2021/164,No record linkage,,,survey,individual,government
2021/012,No record linkage,,,survey; administrative,individual; business,academic; government
2020/090,No record linkage,,,administrative,individual,academic
2021/099,No record linkage,,,survey,individual,academic
2021/110,No record linkage,,,survey; cohort; administrative,business,academic
2021/120,No record linkage,,,survey,individual,academic
2021/131,No record linkage,,,survey,individual,academic
2021/132,No record linkage,,,survey; administrative,business,academic
2021/149,No record linkage,,,survey; administrative,individual; business,commercial
2021/168,No record linkage,,,administrative,business,commercial
2021/169,No record linkage,,,survey; administrative,business,academic
2021/174,No record linkage,,,cohort; administrative,individual; household,academic; third-sector
2021/175,No record linkage,,,administrative,business,commercial
2021/177,No record linkage,,,survey; administrative,individual; business,academic
2021/180,No record linkage,,,cohort,business,academic
2021/181,No record linkage,,,administrative,business,commercial
2022/001,No record linkage,,,survey,individual,academic
2022/003,No record linkage,,,survey,business,academic
2021/157,No record linkage,,,survey,individual,academic
2021/163,No record linkage,,,survey,individual,government
2021/172,No record linkage,,,survey,individual,academic
2021/173,No record linkage,,,survey,individual,academic
2021/178,No record linkage,,,survey,individual,academic
2021/176,No record linkage,,,administrative,area,academic
2021/119,No record linkage,,,administrative,individual,academic
2021/045,No record linkage,,,survey; administrative,individual,academic
2021/142,No record linkage,,,survey,individual,academic
2021/170,No record linkage,,,survey; administrative,business,academic
2021/171,No record linkage,,,survey,individual,academic
2022/018,No record linkage,,,administrative,business,academic
2022/026,No record linkage,,,survey; cohort; administrative,individual; household; business,unclassified
2022/027,No record linkage,,,survey; administrative,individual; business,commercial
2022/029,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,commercial; unclassified
2022/036/a,No record linkage,,,survey,individual,academic; unclassified
2022/032,No record linkage,,,cohort,household,commercial
2022/033,No record linkage,,,survey,individual,academic
2022/036/b,No record linkage,,,administrative,business,academic
2022/037,No record linkage,,,survey,individual,academic; third-sector
2022/039,No record linkage,,,survey,individual,unclassified
2021/167,No record linkage,,,survey,individual,academic
2021/166,No record linkage,,,survey,individual,academic
2022/049,No record linkage,,,survey; administrative,individual; business; area,unclassified
2022/040,No record linkage,,,survey,individual,academic
2022/043,No record linkage,,,administrative,business,unclassified
2022/046,No record linkage,,,survey,individual,academic
2022/045,No record linkage,,,survey; cohort,individual; household; business,commercial
2022/047,No record linkage,,,cohort,household,academic
2021/159,No record linkage,,,survey,household,third-sector
2021/185,No record linkage,,,survey; cohort,individual,academic
2021/186,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,survey; administrative,individual; business,government
2022/002,No record linkage,,,administrative,business,academic
2022/004,No record linkage,,,survey,individual,academic
2021/182,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2022/009,No record linkage,,,cohort,individual,academic
2022/012,No record linkage,,,survey; administrative,individual; business,academic
2022/015,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,commercial
2022/017,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic; third-sector
2022/019,No record linkage,,,administrative,individual,government
2022/020,No record linkage,,,administrative,individual,academic
2022/024,No record linkage,,,administrative,individual,government
2022/030,No record linkage,,,survey,individual,academic
2022/035,No record linkage,,,survey; administrative,individual; business,commercial
2021/141,No record linkage,,,survey; administrative,individual; business,government
2021/146,No record linkage,,,administrative,business,academic; commercial
2021/154,No record linkage,,,survey,individual,academic
2022/006,No record linkage,,,survey,individual,academic
2022/005,No record linkage,,,survey,individual,academic; third-sector
2022/016,No record linkage,,,survey; cohort,business,academic
2021/184,No record linkage,,,administrative,individual,commercial; unclassified
2021/179,No record linkage,,,administrative,individual,academic
2021/183,No record linkage,,,administrative,individual,academic
2022/007,No record linkage,,,survey,individual,academic
2022/013,No record linkage,,,administrative,individual,academic
2022/008,No record linkage,,,survey,individual,academic; government
2022/021,No record linkage,,,survey,business,government
2022/022,No record linkage,,,administrative,individual,unclassified
2022/010,No record linkage,,,survey,household,academic
2022/023,Within-domain record linkage,MoJ Data First,Crime & Justice,administrative,individual,academic
2022/028,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2022/025,No record linkage,,,administrative,individual,academic
2022/034,No record linkage,,,survey; administrative,business,academic
2022/038,No record linkage,,,survey,individual,academic; government
2022/041,No record linkage,,,survey,individual,unclassified
2022/042,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2021/165,No record linkage,,,survey; administrative,business,commercial
2022/044,No record linkage,,,survey; cohort,individual; business,academic; unclassified
2022/048,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,commercial
2022/055,No record linkage,,,survey; cohort,individual; household,academic
2022/057,No record linkage,,,survey,individual,academic; government
2022/053,No record linkage,,,survey; cohort; administrative,individual; household; business,commercial
2022/054,No record linkage,,,survey,individual,academic
2022/058,No record linkage,,,survey,individual,academic
2022/060,No record linkage,,,survey; administrative,individual; business,commercial
2022/061,No record linkage,,,cohort,individual,academic
2022/064,No record linkage,,,survey,individual; household,academic
2022/065,No record linkage,,,survey; administrative,business,commercial
2022/069,Within-domain record linkage,Annual Survey of Hours and Earnings Longitudinal,Labour Market & Employment,survey,individual,academic; government
2022/070,No record linkage,,,survey,business,government; third-sector
2022/077,Within-domain record linkage,Annual Survey of Hours and Earnings Longitudinal,Labour Market & Employment,survey,individual,commercial
2022/078,No record linkage,,,survey,individual,commercial
2022/079,No record linkage,,,survey,household,academic
2022/082,No record linkage,,,cohort,business,academic
2022/083,No record linkage,,,survey; administrative,individual; business,unclassified
2022/084,No record linkage,,,survey,household,government
2022/071,No record linkage,,,,,academic
2022/062,Within-domain record linkage,Annual Survey of Hours and Earnings Longitudinal,Labour Market & Employment,survey,individual,academic
2022/063,Cross-domain record linkage,Growing Up in England (GUIE),Education & Skills; Migration & Demographics,administrative,individual,government
2022/066,No record linkage,,,survey,individual; business,academic
2022/072,No record linkage,,,,,academic
2022/073,Cross-domain record linkage,Growing Up in England (GUIE),Education & Skills; Migration & Demographics,administrative,individual,commercial
2022/081,Within-domain record linkage,Annual Survey of Hours and Earnings Longitudinal,Labour Market & Employment,survey; administrative,individual; business,academic; government; third-sector
2022/085,Within-domain record linkage,MoJ Data First,Crime & Justice,survey; administrative,individual,academic
2022/086,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,unclassified
2022/088,No record linkage,,,survey; administrative,business; area,third-sector
2022/087,No record linkage,,,survey,individual,academic
2022/091,No record linkage,,,survey,individual,commercial
2022/093,No record linkage,,,administrative,individual,academic
2022/094,No record linkage,,,survey,individual,academic
2022/095,No record linkage,,,survey; administrative,individual; business,academic
2022/076,No record linkage,,,survey,business,commercial
2022/089,No record linkage,,,survey,individual; business,academic
2022/090,Within-domain record linkage,MoJ Data First,Crime & Justice,administrative,individual,academic
2022/092,Within-domain record linkage,MoJ Data First,Crime & Justice,administrative,individual,academic
2022/096,Cross-domain record linkage,Earnings and Employees Study (EES) 2011 - Northern Ireland,Labour Market & Employment; Housing & Planning; Migration & Demographics,survey,individual; business,government
2022/075,Within-domain record linkage,MoJ Data First,Crime & Justice,administrative,individual,academic
2022/099,No record linkage,,,survey,business,academic
2022/098,No record linkage,,,survey,individual; business,academic
2022/100,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,third-sector
2022/101,No record linkage,,,cohort,individual,academic
2022/102,No record linkage,,,survey,business,academic; government
2022/103,No record linkage,,,survey; cohort; administrative,individual; household; business,commercial
2022/104,No record linkage,,,survey,business,academic
2022/105,No record linkage,,,survey; administrative,business,academic
2022/106,No record linkage,,,survey; administrative,business,academic
2022/107,No record linkage,,,survey; administrative,individual; business,commercial
2022/108,No record linkage,,,survey,individual,academic; unclassified
2022/109,No record linkage,,,survey; administrative,individual; business,academic
2022/110,No record linkage,,,survey,individual,academic
2022/111,Within-domain record linkage,MoJ Data First,Crime & Justice,administrative,individual,academic
2022/112,No record linkage,,,survey; administrative,business,academic
2022/113,No record linkage,,,administrative,business,commercial
2022/114,No record linkage,,,survey,individual,academic
2022/115,No record linkage,,,survey; administrative,household; area,academic
2022/117,No record linkage,,,administrative,individual,academic
2022/118,No record linkage,,,survey,individual,commercial
2022/119,No record linkage,,,survey,business,unclassified
2022/123,No record linkage,,,administrative,individual,academic
2022/125,No record linkage,,,survey,individual,academic; unclassified
2022/126,No record linkage,,,survey; administrative,business,academic
2022/127,No record linkage,,,survey,individual,government
2022/128,No record linkage,,,survey,business,academic
2022/129,Cross-domain record linkage,Administrative Data | Agricultural Research Collection (AD|ARC),Migration & Demographics; Environment & Agriculture,administrative,business,academic; government
2022/131,No record linkage,,,survey,individual,commercial
2022/136,No record linkage,,,survey,business,academic; government
2022/138,No record linkage,,,cohort,household,commercial
2022/141,No record linkage,,,survey,business,government
2022/142,No record linkage,,,survey,individual,academic
2022/143,No record linkage,,,administrative,business,commercial
2022/144,No record linkage,,,survey; cohort,individual; household,academic
2022/145,No record linkage,,,cohort,business,commercial
2022/146,No record linkage,,,survey; administrative,individual; household; business,academic
2022/147,No record linkage,,,cohort,individual,unclassified
2022/148,No record linkage,,,survey; administrative,business,academic
2022/120,No record linkage,,,administrative,business,unclassified
2022/121,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2022/122,No record linkage,,,survey,individual,government
2022/124,No record linkage,,,survey,individual,government; unclassified
2022/134,No record linkage,,,survey,business,academic
2022/137,No record linkage,,,survey; administrative,business,government; commercial
2022/139,No record linkage,,,survey,individual,academic
2022/116,No record linkage,,,survey; cohort; administrative,individual; business,academic
2022/135,No record linkage,,,survey,individual,academic
2022/140,No record linkage,,,survey,individual,academic; government
2022/149,No record linkage,,,survey,individual; household,third-sector
2022/158,No record linkage,,,survey,household; business,academic
2022/176,No record linkage,,,survey; administrative,individual; business,academic
2022/177,No record linkage,,,survey; administrative,business,academic
2022/178,No record linkage,,,survey,individual,academic
2022/180,No record linkage,,,survey; cohort; administrative,individual; business,academic
2022/130,Cross-domain record linkage,Earnings and Employees Study (EES) 2011 - Northern Ireland,Labour Market & Employment; Housing & Planning; Migration & Demographics,survey,individual,academic
2022/132,No record linkage,,,survey,business,academic
2022/133,Cross-domain record linkage,Earnings and Employees Study (EES) 2011 - Northern Ireland,Labour Market & Employment; Housing & Planning; Migration & Demographics,survey,individual,academic
2022/150,No record linkage,,,survey,business,academic
2022/151,No record linkage,,,survey,individual,academic
2022/152,No record linkage,,,survey,individual,third-sector
2022/153,No record linkage,,,survey; cohort,household,academic; third-sector
2022/154,No record linkage,,,survey,business,academic
2022/155,No record linkage,,,survey,business,academic
2022/156,No record linkage,,,survey,business,academic
2022/157,No record linkage,,,administrative,individual; business,academic
2022/159,No record linkage,,,cohort,individual,academic
2022/160,No record linkage,,,cohort,individual,academic; third-sector
2022/161,No record linkage,,,cohort,individual,academic
2022/163,No record linkage,,,cohort,individual,academic
2022/164,No record linkage,,,survey; administrative,individual; business,academic
2022/165,No record linkage,,,survey,individual,third-sector
2022/059,No record linkage,,,survey; administrative,business,government
2022/166,No record linkage,,,cohort,individual,academic
2022/167,No record linkage,,,survey,individual,academic
2022/168,No record linkage,,,survey,business,academic; government
2022/169,No record linkage,,,survey,business,academic
2022/170,No record linkage,,,survey; administrative,business,government
2022/171,No record linkage,,,survey; cohort; administrative,individual; household; area,academic
2022/172,No record linkage,,,survey; cohort; administrative,business,academic
2022/173,No record linkage,,,survey; administrative,business,academic
2022/174,No record linkage,,,survey; administrative,individual; business,commercial
2022/175,No record linkage,,,survey,business,academic
2022/181,No record linkage,,,survey; cohort,individual; household; business,academic
2022/182,No record linkage,,,survey,individual; household,academic
2022/183,No record linkage,,,survey,individual; household,commercial
2022/184,No record linkage,,,administrative,business,academic
2022/185,No record linkage,,,administrative,household,academic
2022/186,No record linkage,,,survey; administrative,individual; business,commercial
2022/187,Cross-domain record linkage,Annual Survey of Hours and Earnings linked to Census 2011,Labour Market & Employment; Migration & Demographics,survey,individual; business,third-sector
2022/188,No record linkage,,,survey,individual,academic
2022/189,No record linkage,,,survey; cohort,individual; household,commercial
2022/190,No record linkage,,,administrative,individual,academic; government
2022/191,No record linkage,,,survey,individual,academic
2022/192,No record linkage,,,administrative,individual,academic
