Project ID,Title,Researchers,Legal Basis,Datasets Used,Secure Research Service,Accreditation Date,Record ID,Year,Quarter,Quarter Label,substantive_domains,linkage_mode,analytical_purpose,cross_cutting_tags,rationale,primary_domain
2020/005,The interplay between bridging and bonding social capital in shaping diversity and entrepreneurial activity across the UK local communities,"Tomasz Mickiewicz, BOP Consulting
Julia Korosteleva, University College London
Mario Davide Parrilli, University of Bournemouth",Digital Economy Act (2017) ,"Department for Business, Energy and Industrial Strategy: Longitudinal Small Business Survey
Institute for Social and Economic Research:
Understanding Society: UK Household Longitudinal Study Mainstage Survey Wave 9 &
Understanding Society: UK Household Longitudinal Study Mainstage Survey Wave 6",Office for National Statistics Secure Research Service,2020-01-17,2020/005,2020,2020Q1,Q1 2020,Business & Productivity,Cross-Domain Linkage,Outcome Tracking,,Assigned Business & Productivity because the focus is social capital shaping entrepreneurial activity; Cross-Domain Linkage because it combines the Longitudinal Small Business Survey with Understanding Society household survey waves; Outcome Tracking because it links social capital and diversity to entrepreneurship outcomes; no tag because diversity is an explanatory characteristic rather than a central equity comparison.,Business & Productivity
2020/002,Evaluation of the Energy Entrepreneurs Fund,"James Kearney, Ipsos MORI
Chris Hale, Ipsos MORI
Marc Tully, Ipsos MORI",Digital Economy Act (2017) ,"Office for National Statistics: Business Enterprise Research and Development, Business Structure Database, Annual Business Survey & Annual Survey of Hours and Earnings",Office for National Statistics Secure Research Service,2020-03-02,2020/002,2020,2020Q1,Q1 2020,Environment & Agriculture; Business & Productivity,Cross-Domain Linkage,Policy Evaluation / Impact Analysis,,Assigned Environment & Agriculture and Business & Productivity because the Energy Entrepreneurs Fund is an energy/innovation programme assessed via firm outcomes; Cross-Domain Linkage because datasets span business R&D/structure/survey and earnings (ASHE); Policy Evaluation / Impact Analysis because it evaluates a named fund; no tag because no demographic comparison is central.,Environment & Agriculture
2019/025,Understanding the uptake and use of the Northern Ireland Concessionary Fares Scheme for the population aged 60 and over,"Jos IJpelaar, Northern Ireland Statistics and Research Agency
John Hughes, Northern Ireland Statistics and Research Agency",Digital Economy Act (2017) ,"Northern Ireland Statistics and Research Agency: Census 2011 & Census 2011
Northern Ireland Registrar General's Office: Registered Deaths",Northern Ireland Statistics and Research Agency,2020-02-14,2019/025,2020,2020Q1,Q1 2020,Migration & Demographics,Cross-Domain Linkage,Service Interaction / Systems Analysis,,Assigned Migration & Demographics because the focus is the older population aged 60+ profiled via census and deaths data; Cross-Domain Linkage because Census population data is linked to Registered Deaths records; Service Interaction / Systems Analysis because the project studies uptake and use of a concessionary fares scheme; no tag because age defines the population rather than a comparative equity lens.,Migration & Demographics
2020/008,Contextualised Admissions and University Choice,"Sonkurt Kemal Sen, University of Essex
Emilia Del Bono, University of Essex
Angus Holford, University of Essex
Ryan Smith,
Office for National Statistics",Digital Economy Act (2017) ,UCAS: Universities and Colleges Admissions Service,Office for National Statistics Secure Research Service,2020-03-16,2020/008,2020,2020Q1,Q1 2020,Education & Skills,Single-Dataset,Outcome Tracking,,Assigned Education & Skills because it concerns contextualised admissions and university choice; Single-Dataset because only UCAS admissions data is listed; Outcome Tracking because it links applicant context to admissions/choice outcomes; no tag because the focus is contextual admissions rather than a central demographic-group comparison.,Education & Skills
2020/010,Local labour market effects of immigration,"Andrew Aitken, National Institute for Economic and Social Research",Digital Economy Act (2017) ,"Office for National Statistics: Annual Population Survey, Quarterly Labour Force Survey & Annual Survey of Hours and Earnings
Institute for Economic and Social Research: Understanding Society",Office for National Statistics Secure Research Service,2020-03-16,2020/010,2020,2020Q1,Q1 2020,Labour Market & Employment; Migration & Demographics,Cross-Domain Linkage,Outcome Tracking,,"Assigned Labour Market & Employment and Migration & Demographics because the title studies local labour market effects of immigration with earnings/employment surveys; Cross-Domain Linkage because APS, LFS, ASHE and Understanding Society span labour-market and population/demographic domains; Outcome Tracking because it links immigration (a naturally occurring exposure) to labour-market outcomes; no tag because the focus is the labour effect of immigration rather than comparison across demographic groups.",Labour Market & Employment
2020/011,Innovation analysis for Knowledge Transfer Network,"Stuart Thompson, Knowledge Transfer Network
James Currer,
Innovate UK
",Digital Economy Act (2017) ,"Office for National Statistics: Business Enterprise Research and Development, E-Commerce Survey, Labour Force Survey Person, Survey of Innovation and Patent Use, Business Structure Database & Longitudinal Business Structure Database
Department for Business, Energy and Industrial Strategy: Longitudinal Small Business Survey
Department for Business, Energy and Industrial Strategy: Community Innovation Survey",Office for National Statistics Secure Research Service,2020-03-16,2020/011,2020,2020Q1,Q1 2020,Business & Productivity,Within-Domain Linkage,Descriptive Monitoring,,"Assigned Business & Productivity because the project analyses innovation across firms using business/innovation surveys; Within-Domain Linkage because all datasets (BERD, innovation, business structure, small business surveys) sit within business/firm domain; Descriptive Monitoring because the aim is innovation analysis profiling firm activity; no tag because no demographic comparison is central.",Business & Productivity
2020/012,Wage progression and firm productivity,"Rachel Griffith, Institute for Fiscal Studies
Robert Joyce, Institute for Fiscal Studies
Xiaowei Xu, Institute for Fiscal Studies
Wenchao Jin, Institute for Fiscal Studies
",Digital Economy Act (2017) ,"Office for National Statistics: Annual Business Inquiry, Annual Inquiry into Foreign Direct Investment, Annual Respondents DatabaseX, Annual Respondents Database, Annual Survey of Hours and Earnings, Business Expenditure on Research and Development, Business Impact of COVID-19 Survey, Business Register Employment Survey, Business Structure Database, Business Structure Database Longitudinal, Capital Stocks, Financial Assets and Liabilities Survey, Interdepartmental Business Register, Investment in Intangible Assets, International Trade in Services, Labour Force Survey, Monthly Wage and Salary Survey, New Earnings Survey, Quarterly Capital Expenditure Survey, Survey of Innovation and Patent Use, Vacancy Survey, ASHE
Intellectual Property Office: Patents, Designs and Trade Marks
Department for Education: National
Department for Business, Energy and Industrial Strategy: Employer Skills Survey & Workplace Employment Relations Survey
Department for Business, Energy and Industrial Strategy: Small Business Survey Longitudinal
Department for Business, Energy and Industrial Strategy: Community Innovation Survey",Office for National Statistics Secure Research Service,2020-03-16,2020/012,2020,2020Q1,Q1 2020,Labour Market & Employment; Business & Productivity,Cross-Domain Linkage,Outcome Tracking,,Assigned Labour Market & Employment and Business & Productivity because the title links wage progression to firm productivity using earnings and firm performance data; Cross-Domain Linkage because ASHE/LFS labour data combine with firm productivity datasets spanning labour and business domains; Outcome Tracking because it relates firm productivity to wage progression; no tag because no demographic group comparison is central.,Labour Market & Employment
2020/013,Firm-level analysis of research and development,"Joelle Tasker, Office for National Statistics
Elizabeth Taylor, Office for National Statistics
Christina Palmou, Office for National Statistics",Digital Economy Act (2017) ,"Office for National Statistics: Business Expenditure on Research and Development - England, Wales and Scotland, Business Structure Database, Business Structure Database Longitudinal, Annual Business Survey, Annual Respondent Database 2
Intellectual Property Office: Patents, Designs and Trade Marks
Office for National Statistics /
Department for Business, Energy and Industrial Strategy: Covid-19 Infection Survey linked with UK Innovation Survey",Office for National Statistics Secure Research Service,2020-03-16,2020/013,2020,2020Q1,Q1 2020,Business & Productivity,Within-Domain Linkage,Outcome Tracking,,"Assigned Business & Productivity because the project is a firm-level analysis of R&D; Within-Domain Linkage because BERD, business structure, patents and innovation survey all sit within the business/innovation domain (COVID infection survey is linked to innovation data as firm context); Outcome Tracking because it links firm R&D characteristics to firm outcomes; no tag because no demographic comparison is central.",Business & Productivity
2020/007,Business Succession in Wales,"Nikolaos Kapitsinis, University of Cardiff",Digital Economy Act (2017) ,"Office for National Statistics: Business Structure Database, Annual Business Survey
Department for Business, Energy and Industrial Strategy: Small Business Survey & Longitudinal Small Business Survey",Office for National Statistics Secure Research Service,2020-04-15,2020/007,2020,2020Q2,Q2 2020,Business & Productivity,Within-Domain Linkage,Descriptive Monitoring,,Assigned Business & Productivity because the project studies business succession in Wales using firm datasets; Within-Domain Linkage because business structure and small business surveys all sit within the business domain; Descriptive Monitoring because the focus is profiling business succession patterns; no tag because no demographic comparison is central.,Business & Productivity
2020/015,Minimum wages and technology adoption,"Andrew Aitken, National Institute for Economic and Social Research
John Forth, National Institute for Economic and Social Research
Larissa Marioni, National Institute for Economic and Social Research",Digital Economy Act (2017) ,"Office for National Statistics: Annual Population Survey, Business Structure Database & Quarterly Labour Force Survey",Office for National Statistics Secure Research Service,2020-04-20,2020/015,2020,2020Q2,Q2 2020,Labour Market & Employment; Business & Productivity,Cross-Domain Linkage,Policy Evaluation / Impact Analysis,,Assigned Labour Market & Employment and Business & Productivity because the title links minimum wages to firm technology adoption; Cross-Domain Linkage because APS/LFS labour data combine with Business Structure Database firm data; Policy Evaluation / Impact Analysis because minimum wage is a named policy whose effect on technology adoption is studied; no tag because no demographic comparison is central.,Labour Market & Employment
2020/025,Modelling the regional implications of COVID-19 using the Enterprise Research Centre's longitudinal firm-level dataset based on the Business Structure Database,"Mark Hart, University of Aston
Neha Prashar, University of Aston
Anastasia Ri, University of Aston",Digital Economy Act (2017) ,"Office for National Statistics: Business Structure Database, Longitudinal Inter-Departmental Business Register, International Trade in Services, Business Impact of COVID-19 Survey & E-Commerce Survey
Department for Business, Energy and Industrial Strategy: Community Innovation Survey",Office for National Statistics Secure Research Service,2020-04-20,2020/025,2020,2020Q2,Q2 2020,Business & Productivity; COVID-19 & Pandemic,Within-Domain Linkage,Policy Evaluation / Impact Analysis,,Assigned Business & Productivity and COVID-19 & Pandemic because the project models regional COVID-19 implications using firm-level business data; Within-Domain Linkage because all datasets are firm/business sources; Policy Evaluation / Impact Analysis because it examines the impact of the pandemic shock on firms regionally; no tag because no demographic comparison is central.,Business & Productivity
