Record ID,Project ID,Title,Datasets Used,Year,substantive_domains_4_8_run_1,substantive_domains_4_8_run_2,substantive_domains_agree,linkage_mode_4_8_run_1,linkage_mode_4_8_run_2,linkage_mode_agree,analytical_purpose_4_8_run_1,analytical_purpose_4_8_run_2,analytical_purpose_agree,cross_cutting_tags_4_8_run_1,cross_cutting_tags_4_8_run_2,cross_cutting_tags_agree,rationale_4_8_run_1,rationale_4_8_run_2,disagreement_summary
2020/046,2020/046,Wage and employment dynamics,"Office for National Statistics: Annual Survey for Hours and Earnings, New Earnings Survey, Annual Survey for Hours and Earnings / Census linked dataset, Business Structure Database, Annual Population Survey",2020,Labour Market & Employment,Labour Market & Employment,True,Cross-Domain Linkage,Cross-Domain Linkage,True,Descriptive Monitoring,Life-Course / Trajectory Analysis,False,,,True,"Assigned Labour Market & Employment because wage and employment dynamics are the focus; Cross-Domain Linkage because the ASHE/Census linked dataset and Business Structure Database span labour-market, census and business domains; Descriptive Monitoring because it characterises wage and employment dynamics; no tag because no demographic comparison is central.","Assigned Labour Market & Employment because the project studies wage and employment dynamics; Cross-Domain Linkage because the ASHE/Census linked dataset and Business Structure Database span labour, demographics and business domains; Life-Course / Trajectory Analysis because the focus on dynamics of wages and employment over time implies tracking trajectories; no tag because no demographic comparison is central.",Layer C disagreed
2020/047,2020/047,Controlling COVID-19 through enhanced population surveillance and intervention : a platform approach,SAIL Databank Databank: 2011 Census Data Welsh residents,2020,COVID-19 & Pandemic; Health & Social Care,COVID-19 & Pandemic; Health & Social Care,True,Cross-Domain Linkage,Single-Dataset,False,Risk Prediction / Early Identification,Risk Prediction / Early Identification,True,,,True,"Assigned COVID-19 & Pandemic because population surveillance and intervention for COVID-19 is explicit, and Health & Social Care because the SAIL health databank underpins surveillance; Cross-Domain Linkage because SAIL health data is linked with 2011 Census data spanning health and demographics; Risk Prediction / Early Identification because the platform aims at population surveillance and targeted intervention; no tag because no demographic group comparison is central.",Assigned COVID-19 & Pandemic and Health & Social Care because the project concerns COVID-19 population surveillance and intervention; Single-Dataset because only the SAIL Databank 2011 Census data is listed; Risk Prediction / Early Identification because enhanced surveillance and intervention implies prospective identification and targeting of at-risk populations; no tag because no demographic comparison is central.,Layer B disagreed
2020/061,2020/061,IFS Deaton Review: Geographic Inequalities and spatial mobility,"Office for National Statistics: Annual Population Survey, Annual Survey of Hours
and Earnings, Census 1961, Census 1971, Census data 1981, Labour Force Survey
, Labour Force
Survey , New Earnings Survey, Census 2011
Institute for Social and Economic Research:
Understanding Society
Office for National Statistics: Census 2011",2020,"Poverty, Wealth & Living Standards; Labour Market & Employment","Poverty, Wealth & Living Standards; Labour Market & Employment",True,Cross-Domain Linkage,Cross-Domain Linkage,True,Descriptive Monitoring,Descriptive Monitoring; Life-Course / Trajectory Analysis,False,,,True,"Assigned Poverty, Wealth & Living Standards and Labour Market & Employment because the Deaton Review focuses on geographic inequalities and spatial mobility using earnings (ASHE, New Earnings Survey) and labour data alongside living-standards framing; Cross-Domain Linkage because datasets span labour/earnings surveys, multiple census waves, and Understanding Society household survey; Descriptive Monitoring because the aim is to characterise spatial inequality patterns and mobility across places; no tag because the central comparison is geographic/spatial rather than across a demographic group.","Assigned Poverty, Wealth & Living Standards and Labour Market & Employment because the Deaton Review studies geographic inequalities, earnings and spatial mobility drawing on ASHE/New Earnings and population data; Cross-Domain Linkage because it spans labour-market earnings surveys, census population data and Understanding Society household data; Descriptive Monitoring and Life-Course / Trajectory Analysis because it characterises geographic inequality patterns over multiple census decades and analyses spatial mobility; no tag because the focus is geographic/spatial rather than centrally a demographic-group comparison.",Layer C disagreed
2020/062,2020/062,"Local Institutions, Productivity, Sustainability and Inclusivity Trade-offs","Office for National Statistics: Business Structure Database, Annual Population Survey, Annual Survey of Hours and Earnings & Business Register and Employment Survey",2020,Business & Productivity; Labour Market & Employment,Business & Productivity; Labour Market & Employment,True,Within-Domain Linkage,Cross-Domain Linkage,False,Outcome Tracking,Outcome Tracking,True,,,True,"Assigned Business & Productivity because the focus is local institutions and productivity, and Labour Market & Employment because ASHE, APS and employment survey data on wages and employment are central; Within-Domain Linkage because the firm and labour-market sources are closely related economic-domain datasets; Outcome Tracking because it relates local institutions to productivity and inclusivity outcomes; no tag because no demographic comparison is central.",Assigned Business & Productivity and Labour Market & Employment because the project examines productivity and employment/earnings tradeoffs; Cross-Domain Linkage because Business Structure Database/BRES are firm sources while APS/ASHE cover labour-market individuals spanning domains; Outcome Tracking because it links local institutions to productivity and inclusivity outcomes; no tag because no demographic comparison is central.,Layer B disagreed
2020/063,2020/063,Identifying flare ups of the COVID-19 infection across the UK,"Office for National Statistics: COVID-19 Weekly Opinions Survey, Labour Force Survey, ONS Death Registrations Data, 2020 Wave 1 Labour Force Survey
UCAS: Universities and Colleges Admissions Service Data
Office for National Statistics / University of Oxford: COVID-19 Infection Survey",2020,COVID-19 & Pandemic,COVID-19 & Pandemic; Health & Social Care,False,Cross-Domain Linkage,Cross-Domain Linkage,True,Risk Prediction / Early Identification,Risk Prediction / Early Identification,True,,,True,"Assigned COVID-19 & Pandemic because the project identifies flare ups of COVID-19 infection; Cross-Domain Linkage because datasets span health (infection survey, death registrations), labour (LFS) and education (UCAS) domains; Risk Prediction / Early Identification because identifying infection flare ups is an early-identification design; no tag because no demographic comparison is central.","Assigned COVID-19 & Pandemic and Health & Social Care because the project identifies COVID-19 infection flare-ups; Cross-Domain Linkage because datasets span COVID infection/health, labour force, deaths, and UCAS admissions across domains; Risk Prediction / Early Identification because it aims to detect flare-ups across the UK before they spread; no tag because no demographic comparison is central.",Layer A disagreed
2020/067,2020/067,"Inequalities in the 21st Century: Transfers, tax and tax credits","Office for National Statistics: Annual Population Survey Person, Annual Population Survey Household, Occupational differences in mortality from COVID-19,
Annual Survey of Hours and Earnings, Labour Force Survey Household, Labour Force Survey Person, Business Structure Database & Labour Force Survey Longitudinal",2020,"Public Finance & Taxation; Poverty, Wealth & Living Standards; Labour Market & Employment","Public Finance & Taxation; Poverty, Wealth & Living Standards; Labour Market & Employment",True,Cross-Domain Linkage,Cross-Domain Linkage,True,Descriptive Monitoring,Descriptive Monitoring,True,,Demographic disparities / equity tag,False,"Assigned Public Finance & Taxation, Poverty, Wealth & Living Standards, and Labour Market & Employment because the focus is transfers, tax and tax credits and inequalities using earnings, population and firm data; Cross-Domain Linkage because datasets span labour-market, business and mortality domains; Descriptive Monitoring because it characterises inequalities; no tag because the central lens is socioeconomic inequality rather than a demographic group.","Assigned Public Finance & Taxation, Poverty, Wealth & Living Standards and Labour Market & Employment because the project studies inequalities through transfers, tax, tax credits and earnings; Cross-Domain Linkage because datasets span labour market, earnings, mortality and business sources; Descriptive Monitoring because the focus is characterising distribution of inequalities; demographic disparities tag because inequalities across groups are central.",Tag disagreed
2020/068,2020/068,Analysis of the clustering of UK digital sectors,"Office for National Statistics: Annual Business Survey, Annual Population Survey Person & Business Structure Database",2020,Business & Productivity,Business & Productivity,True,Within-Domain Linkage,Cross-Domain Linkage,False,Descriptive Monitoring,Descriptive Monitoring,True,,,True,Assigned Business & Productivity because it analyses clustering of UK digital sectors using business survey and structure data; Within-Domain Linkage because the datasets sit within the business/labour domain analysing firm clustering; Descriptive Monitoring because it characterises spatial clustering patterns; no tag because no demographic comparison is central.,Assigned Business & Productivity because the project analyses clustering of UK digital sectors (firm/industrial structure); Cross-Domain Linkage because the Annual Population Survey (labour market) combines with business datasets; Descriptive Monitoring because it characterises spatial clustering patterns; no tag because no demographic comparison is central.,Layer B disagreed
2020/069,2020/069,The Resilience of British Cities,"Office for National Statistics: Annual Business Survey 1973 onwards), Annual Foreign Direct Investment Survey, Business Enterprise Research and Development, Business Structure Database, Labour Force Survey Person
Department for Business, Energy and Industrial Strategy: Community Innovation Survey
Department for Education: National Employers Skill Survey",2020,Business & Productivity,Business & Productivity,True,Within-Domain Linkage,Cross-Domain Linkage,False,Descriptive Monitoring,Descriptive Monitoring,True,,,True,"Assigned Business & Productivity because resilience of cities is studied through firm activity, FDI, R&D and innovation surveys; Within-Domain Linkage because datasets centre on business/innovation/skills within the economic domain; Descriptive Monitoring because it characterises city economic resilience; no tag because no demographic comparison is central.","Assigned Business & Productivity because the project studies city resilience through firm activity, FDI, R&D and innovation; Cross-Domain Linkage because datasets span business, labour market and skills survey domains; Descriptive Monitoring because resilience is profiled across cities; no tag because no demographic comparison is central.",Layer B disagreed
2020/070,2020/070,Impact of migration on Scotland versus the UK,Office for National Statistics: Annual Population Survey,2020,Migration & Demographics,Migration & Demographics,True,Single-Dataset,Single-Dataset,True,Outcome Tracking,Descriptive Monitoring,False,,,True,Assigned Migration & Demographics because the project studies the impact of migration on Scotland versus the UK; Single-Dataset because only the Annual Population Survey is listed; Outcome Tracking because it links migration to downstream effects; no tag because the comparison is geographic rather than demographic-group equity.,Assigned Migration & Demographics because the project examines impact of migration on Scotland versus the UK; Single-Dataset because only the Annual Population Survey is listed; Descriptive Monitoring because it characterises and compares migration impacts across regions; no tag because the comparison is regional rather than demographic-group.,Layer C disagreed
2020/072,2020/072,Mid Term Evaluation of the Wales Business Fund,"Office for National Statistics: Business Structure Database, Annual Survey of Hours and Earnings
Department for Business, Energy and Industrial Strategy: Community Innovation Survey
Department for Business, Energy and Industrial Strategy: Longitudinal Small Business Survey",2020,Business & Productivity,Business & Productivity,True,Within-Domain Linkage,Cross-Domain Linkage,False,Policy Evaluation / Impact Analysis,Policy Evaluation / Impact Analysis,True,,,True,Assigned Business & Productivity because it is a mid-term evaluation of a business support fund using firm-level business and innovation surveys; Within-Domain Linkage because datasets are all business/firm sources; Policy Evaluation / Impact Analysis because it evaluates the named Wales Business Fund; no tag because no demographic comparison is central.,Assigned Business & Productivity because it evaluates the Wales Business Fund's effects on firms; Cross-Domain Linkage because Business Structure Database and Annual Survey of Hours and Earnings (labour market) combine with business surveys; Policy Evaluation / Impact Analysis because it is a mid-term evaluation of a named fund; no tag because no demographic comparison is central.,Layer B disagreed
2020/073,2020/073,Wellbeing in different occupations,"Office for National Statistics: Annual Population Survey & Labour Force Survey Person
Institute for Social and Economic Research: Understanding Society",2020,Labour Market & Employment; Health & Social Care,Labour Market & Employment; Health & Social Care,True,Within-Domain Linkage,Cross-Domain Linkage,False,Descriptive Monitoring,Outcome Tracking,False,,,True,Assigned Labour Market & Employment and Health & Social Care because it examines wellbeing across occupations using labour force and Understanding Society data; Within-Domain Linkage because datasets are labour-market/social surveys within a coherent domain; Descriptive Monitoring because it profiles wellbeing by occupation; no tag because occupation is not a demographic equity group.,Assigned Labour Market & Employment and Health & Social Care because the project studies wellbeing across occupations; Cross-Domain Linkage because labour market surveys combine with Understanding Society (a multi-domain household panel); Outcome Tracking because it links occupation (status) to wellbeing outcomes; no tag because occupational comparison is not a demographic equality lens.,Layer B disagreed; Layer C disagreed
2020/074,2020/074,Health of Older People in Places : an asset for economic and social improvement for all,Office for National Statistics: Longitudinal Study of England and Wales,2020,Health & Social Care; Migration & Demographics,Health & Social Care,False,Single-Dataset,Single-Dataset,True,Outcome Tracking,Outcome Tracking,True,,,True,Assigned Health & Social Care and Migration & Demographics because it studies the health of older people across places using the Longitudinal Study; Single-Dataset because only the ONS Longitudinal Study is listed; Outcome Tracking because it links place and ageing to health outcomes; no tag because the focus is older people in places rather than equity comparison across groups.,Assigned Health & Social Care because the project examines health of older people in places; Single-Dataset because only the ONS Longitudinal Study is listed as one coherent product; Outcome Tracking because it links place/age circumstances to health outcomes; no tag because the focus is place-based health rather than a central demographic-group comparison.,Layer A disagreed
2020/093,2020/093,Local wellbeing impacts of the Grosvenor Square Gardens Project,"Office for National Statistics: Annual Population Survey , Annual Population Survey , Crime Survey for England and Wales, Labour Force Survey , Labour Force Survey , Longitudinal Small Business Survey
Department for Education: National Employers Skill Survey
Institute for Social and Economic Research: Understanding Society",2021,Business & Productivity; Health & Social Care,Health & Social Care,False,Cross-Domain Linkage,Cross-Domain Linkage,True,Policy Evaluation / Impact Analysis,Policy Evaluation / Impact Analysis,True,,,True,"Assigned Business & Productivity and Health & Social Care because the project evaluates local wellbeing impacts of a named regeneration project, drawing on business surveys and wellbeing/social data; Cross-Domain Linkage because datasets span labour/business, crime survey, and household survey domains; Policy Evaluation / Impact Analysis because it evaluates impacts of the named Grosvenor Square Gardens Project; no tag because no demographic group comparison is central.","Assigned Health & Social Care because the focus is local wellbeing impacts of a named gardens project; Cross-Domain Linkage because the datasets span labour market, crime, business and survey domains; Policy Evaluation / Impact Analysis because it evaluates the impacts of a specific named project; no tag because no demographic comparison is central.",Layer A disagreed
2020/100,2020/100,Director relationships and UK firm performance,"Office for National Statistics /
Bank of England: Linked Director's mortality
Data",2020,Business & Productivity,Business & Productivity,True,Cross-Domain Linkage,Single-Dataset,False,Outcome Tracking,Outcome Tracking,True,,,True,Assigned Business & Productivity because the focus is director relationships and firm performance; Cross-Domain Linkage because the linked product combines director mortality (health/demographic) data with firm performance data spanning domains; Outcome Tracking because it links director characteristics/relationships to firm performance outcomes; no tag because no demographic-group comparison is central.,Assigned Business & Productivity because director relationships and firm performance are central; Single-Dataset because a single linked director's mortality data product is listed; Outcome Tracking because director characteristics/relationships are linked to firm performance outcomes; no tag because no demographic comparison is central.,Layer B disagreed
2020/107,2020/107,Classifying the older population: understanding the geography of opportunities and challenges in England,Office for National Statistics: Secure Census 2011 Origin / Destination,2020,Migration & Demographics,Migration & Demographics,True,Single-Dataset,Single-Dataset,True,Descriptive Monitoring,Descriptive Monitoring,True,Demographic disparities / equity tag,,False,Assigned Migration & Demographics because the project classifies the older population and its geography; Single-Dataset because only Secure Census 2011 Origin/Destination is used; Descriptive Monitoring because the aim is to classify and map population characteristics; demographic disparities tag because the focus is on the older age group and geographic variation in opportunities.,Assigned Migration & Demographics because it classifies the older population and its geography; Single-Dataset because only Secure Census 2011 Origin/Destination is used; Descriptive Monitoring because it profiles and classifies population characteristics across places; no tag because the focus is geographic classification rather than equality-group comparison.,Tag disagreed
2021/003,2021/003,UK Local Employment Multipliers,"Office for National Statistics: Annual Business Survey, Annual Survey of Hours and Earnings, Business Structure Database & Annual Population Survey",2021,Labour Market & Employment; Business & Productivity,Labour Market & Employment,False,Cross-Domain Linkage,Cross-Domain Linkage,True,Outcome Tracking,Descriptive Monitoring,False,,,True,"Assigned Labour Market & Employment and Business & Productivity because employment multipliers concern how firm activity generates local jobs, using ASHE/APS and business structure data; Cross-Domain Linkage because labour datasets are combined with firm/business datasets across domains; Outcome Tracking because it estimates the relationship between business activity and local employment outcomes; no tag because no demographic comparison is central.",Assigned Labour Market & Employment because the project estimates local employment multipliers using earnings and population survey data; Cross-Domain Linkage because Business Structure/Business Survey (business) is combined with ASHE and APS (labour) spanning domains; Descriptive Monitoring because the analytical operation is measuring multipliers/patterns of local employment; no tag because no demographic comparison is central.,Layer A disagreed; Layer C disagreed
2021/005,2021/005,Occupational segregation by ethnicity: the impact of regional job availability on occupational choice,"Office for National Statistics: Census 1961, Census 1971, Census 1981, Census 1991, Census 2001, Census 2011 & Labour Force Survey",2021,Labour Market & Employment,Labour Market & Employment,True,Cross-Domain Linkage,Within-Domain Linkage,False,Outcome Tracking,Outcome Tracking,True,Demographic disparities / equity tag,Demographic disparities / equity tag,True,Assigned Labour Market & Employment because occupational segregation and occupational choice are central; Cross-Domain Linkage because multiple census waves plus the Labour Force Survey span census-population and labour domains; Outcome Tracking because it links regional job availability to occupational choice; demographic disparities tag because segregation by ethnicity is the central comparison.,"Assigned Labour Market & Employment because the project studies occupational segregation, occupational choice and regional job availability; Within-Domain Linkage because census and Labour Force Survey are both used for labour-market/occupational analysis; Outcome Tracking because it links regional job availability to occupational choice; equity tag because occupational segregation by ethnicity is central.",Layer B disagreed
2021/015,2021/015,Inequalities in the economic impact of COVID-19 pandemic on residents and businesses in Hackney and the City of London,"Office for National Statistics: Business Impact of
COVID-19
Survey, Census 2011 England and Wales: Household
structure for
COVID-19
models, Coronavirus and the social
impacts on Great Britain, Covid-19
Infection Survey, Effects of Tax and Benefits, Labour Force Survey
, Labour Force Survey
, Linked Census and death
occurrences",2021,"COVID-19 & Pandemic; Business & Productivity; Labour Market & Employment; Poverty, Wealth & Living Standards","COVID-19 & Pandemic; Business & Productivity; Labour Market & Employment; Poverty, Wealth & Living Standards",True,Cross-Domain Linkage,Cross-Domain Linkage,True,Outcome Tracking,Descriptive Monitoring,False,Demographic disparities / equity tag,Demographic disparities / equity tag,True,"Assigned COVID-19 & Pandemic, Business & Productivity, Labour Market & Employment and Poverty, Wealth & Living Standards because the project studies pandemic economic impacts on residents and businesses including tax/benefits effects; Cross-Domain Linkage because datasets span business, census, labour and tax/benefit domains; Outcome Tracking because it links pandemic exposure to economic outcomes; equity tag because inequalities across population groups are central.","Assigned COVID-19 & Pandemic, Business & Productivity, Labour Market & Employment and Poverty, Wealth & Living Standards because it examines inequalities in COVID economic impacts on residents and businesses including tax/benefits effects; Cross-Domain Linkage because datasets span business, census, health and tax/benefit domains; Descriptive Monitoring because it profiles distributional inequalities of impact; equity tag because inequalities across resident groups are central.",Layer C disagreed
2021/018,2021/018,How is COVID-19 impacting women and men's working lives in the UK?,"Office for National Statistics: Labour Force Survey - Person, Business Impact of COVID-19 Survey & Coronavirus and the social impacts on GB",2021,COVID-19 & Pandemic; Labour Market & Employment,COVID-19 & Pandemic; Labour Market & Employment,True,Cross-Domain Linkage,Within-Domain Linkage,False,Outcome Tracking,Descriptive Monitoring,False,Demographic disparities / equity tag,Demographic disparities / equity tag,True,Assigned COVID-19 & Pandemic and Labour Market & Employment because the project studies pandemic impacts on working lives; Cross-Domain Linkage because the LFS (labour) is combined with the Business Impact of COVID-19 Survey (business) and social impacts data; Outcome Tracking because it links pandemic exposure to working-life outcomes; equity tag because comparison between women and men is central.,"Assigned COVID-19 & Pandemic and Labour Market & Employment because the project examines pandemic impacts on women's and men's working lives; Within-Domain Linkage because LFS, the COVID business impact survey and social impacts survey relate to labour/pandemic context; Descriptive Monitoring because it characterises gendered working-life impacts; equity tag because sex/gender comparison is central.",Layer B disagreed; Layer C disagreed
