Record ID,Project ID,Title,Datasets Used,Year,substantive_domains_4_8_run_1,substantive_domains_4_8_run_2,substantive_domains_agree,linkage_mode_4_8_run_1,linkage_mode_4_8_run_2,linkage_mode_agree,analytical_purpose_4_8_run_1,analytical_purpose_4_8_run_2,analytical_purpose_agree,cross_cutting_tags_4_8_run_1,cross_cutting_tags_4_8_run_2,cross_cutting_tags_agree,rationale_4_8_run_1,rationale_4_8_run_2,disagreement_summary
2019/019,2019/019,Improving Regional Economic Indicators Regional Consumer Prices,Office for National Statistics: Living Cost and Food Survey,2019,Data Infrastructure & Methodology,Data Infrastructure & Methodology,True,Single-Dataset,Single-Dataset,True,Methodological / Infrastructure Research,Methodological / Infrastructure Research,True,,,True,Assigned Data Infrastructure & Methodology because the project develops improved regional consumer price indicators; Single-Dataset because only the Living Cost and Food Survey is listed; Methodological / Infrastructure Research because the analytical operation is improving statistical indicators; no tag because no demographic comparison is central.,Assigned Data Infrastructure & Methodology because the project develops improved regional consumer price indicators; Single-Dataset because only Living Cost and Food Survey is listed; Methodological / Infrastructure Research because the analytical operation is improving economic indicators/measures; no tag because no demographic comparison is central.,
2019/020,2019/020,"Housing, family and environmental risk factors for hospital admissions in children",Office for National Statistics: Death Registrations & Census 2011: Household Sample,2019,Health & Social Care; Housing & Planning,Health & Social Care; Housing & Planning,True,Cross-Domain Linkage,Cross-Domain Linkage,True,Outcome Tracking,Outcome Tracking,True,,,True,Assigned Health & Social Care because child hospital admissions are the outcome and Housing & Planning because housing risk factors are central exposures; Cross-Domain Linkage because Death Registrations (health/demographic) is linked with Census household data; Outcome Tracking because it relates housing/family/environmental exposures to hospital admissions; no tag because demographic groups are not the central comparison.,Assigned Health & Social Care because hospital admissions in children are the outcome and Housing & Planning because housing risk factors are central exposures; Cross-Domain Linkage because Death Registrations (health) is linked to Census household data (housing/demographics); Outcome Tracking because it links housing/family/environmental risk factors to hospital admissions; no tag because comparison is by risk factors not demographic group.,
2019/021,2019/021,"Social and Economic Predictors of the severe mental disorders, the SEP-MD study. Analysis of linked data from southeast London, UK",Office for National Statistics: Census 2011 & Death Registrations,2019,Health & Social Care,Health & Social Care,True,Cross-Domain Linkage,Cross-Domain Linkage,True,Outcome Tracking,Outcome Tracking,True,,,True,Assigned Health & Social Care because severe mental disorders are the substantive outcome; Cross-Domain Linkage because Census 2011 (demographic) is linked with Death Registrations (health); Outcome Tracking because social and economic predictors are linked to mental disorder outcomes; no tag because socioeconomic predictors are not centrally a demographic-group comparison.,Assigned Health & Social Care because the project studies predictors of severe mental disorders as a health outcome; Cross-Domain Linkage because Census 2011 (demographic) is linked to Death Registrations (health); Outcome Tracking because it links social and economic predictors to mental disorder outcomes; no tag because the focus is socioeconomic predictors rather than a demographic group comparison.,
2019/022,2019/022,Research on homeless mortality among St Mungo's clients,Office for National Statistics: Death Registrations,2019,Health & Social Care,Health & Social Care,True,Single-Dataset,Single-Dataset,True,Descriptive Monitoring,Descriptive Monitoring,True,,,True,Assigned Health & Social Care because homeless mortality among service clients is the health-focused object; Single-Dataset because only Death Registrations is listed; Descriptive Monitoring because the aim is measuring mortality among a homeless client population; no tag because the focus is a service population rather than a demographic-group comparison.,Assigned Health & Social Care because the project examines mortality among homeless clients as a health outcome; Single-Dataset because only Death Registrations is listed; Descriptive Monitoring because it profiles mortality among a specific population; no tag because the focus is a homeless population not a demographic equity comparison.,
2019/023,2019/023,Economic environment and child development,Office for National Statistics: Labour Force Survey,2019,Education & Skills; Labour Market & Employment,Education & Skills,False,Single-Dataset,Single-Dataset,True,Outcome Tracking,Outcome Tracking,True,,,True,Assigned Education & Skills and Labour Market & Employment because the project links economic/labour-market conditions (Labour Force Survey) to child development outcomes; Single-Dataset because only the Labour Force Survey is listed; Outcome Tracking because it relates naturally occurring economic environment to downstream child development; no tag because no demographic-group comparison is central.,"Assigned Education & Skills because the focus is child development linked to economic conditions, with development as the substantive object; Single-Dataset because only the Labour Force Survey is listed; Outcome Tracking because it links a naturally occurring economic-environment exposure to child development outcomes; no tag because no demographic group comparison is central.",Layer A disagreed
2019/024,2019/024,The Right to Buy: Migration and Gentrification,Office for National Statistics: Longitudinal Study,2019,Housing & Planning; Migration & Demographics,Housing & Planning; Migration & Demographics,True,Single-Dataset,Single-Dataset,True,Policy Evaluation / Impact Analysis,Policy Evaluation / Impact Analysis,True,,,True,Assigned Housing & Planning and Migration & Demographics because the project studies Right to Buy with migration and gentrification; Single-Dataset because only the ONS Longitudinal Study is listed; Policy Evaluation / Impact Analysis because Right to Buy is a named housing policy whose effects are assessed; no tag because no demographic-equity comparison is central.,Assigned Housing & Planning and Migration & Demographics because Right to Buy concerns housing tenure alongside migration and gentrification of populations; Single-Dataset because only the ONS Longitudinal Study is listed; Policy Evaluation / Impact Analysis because Right to Buy is a named policy whose migration and gentrification effects are studied; no tag because no demographic-group equity comparison is central.,
2019/025,2019/025,Understanding the uptake and use of the Northern Ireland Concessionary Fares Scheme for the population aged 60 and over,"Northern Ireland Statistics and Research Agency: Census 2011 & Census 2011
Northern Ireland Registrar General's Office: Registered Deaths",2020,Migration & Demographics,Migration & Demographics,True,Cross-Domain Linkage,Within-Domain Linkage,False,Service Interaction / Systems Analysis,Service Interaction / Systems Analysis,True,,,True,Assigned Migration & Demographics because the focus is the older population aged 60+ profiled via census and deaths data; Cross-Domain Linkage because Census population data is linked to Registered Deaths records; Service Interaction / Systems Analysis because the project studies uptake and use of a concessionary fares scheme; no tag because age defines the population rather than a comparative equity lens.,Assigned Migration & Demographics because the population aged 60+ is studied via census and registered deaths as demographic data; Within-Domain Linkage because Census and Registered Deaths both sit within the population/demographic domain; Service Interaction / Systems Analysis because uptake and use of the Concessionary Fares Scheme is central; no tag because age defines the eligible population rather than an equity comparison.,Layer B disagreed
2019/026,2019/026,Migration Observatory analysis of EU and non-EU migration in the UK,"Office for National Statistics: Annual Population Survey, Annual Population Survey & Labour Force Survey",2020,Migration & Demographics,Migration & Demographics,True,Within-Domain Linkage,Within-Domain Linkage,True,Descriptive Monitoring,Descriptive Monitoring,True,,,True,Assigned Migration & Demographics because it analyses EU and non-EU migration in the UK; Within-Domain Linkage because Annual Population Survey and Labour Force Survey both sit in the labour-market/population data domain used for migration measurement; Descriptive Monitoring because it profiles migration patterns; no tag because migrant status here defines the population studied rather than an equity comparison lens.,Assigned Migration & Demographics because the project analyses EU and non-EU migration in the UK; Within-Domain Linkage because the APS and LFS are listed together within population/labour survey domain; Descriptive Monitoring because it profiles migration patterns and composition; no tag because the comparison is migration flows rather than equity-focused group outcomes.,
2020/001,2020/001,How does tax affect incorporation and business outcomes?,"Department for Business, Energy and Industrial Strategy: Longitudinal Small Business Survey & Small Business Survey",2020,Business & Productivity; Public Finance & Taxation,Business & Productivity; Public Finance & Taxation,True,Within-Domain Linkage,Within-Domain Linkage,True,Outcome Tracking,Outcome Tracking,True,,,True,Assigned Business & Productivity and Public Finance & Taxation because the project studies how tax affects incorporation and business outcomes; Within-Domain Linkage because the Longitudinal Small Business Survey and Small Business Survey are both business datasets; Outcome Tracking because it relates tax conditions to firm outcomes without a single named intervention; no tag because no demographic comparison is central.,Assigned Business & Productivity and Public Finance & Taxation because the study examines how tax affects incorporation and business outcomes; Within-Domain Linkage because the Longitudinal Small Business Survey and Small Business Survey both sit in business domain; Outcome Tracking because it links tax (a structural exposure) to incorporation and firm outcomes; no tag because no demographic-group comparison is central.,
2020/002,2020/002,Evaluation of the Energy Entrepreneurs Fund,"Office for National Statistics: Business Enterprise Research and Development, Business Structure Database, Annual Business Survey & Annual Survey of Hours and Earnings",2020,Environment & Agriculture; Business & Productivity,Environment & Agriculture; Business & Productivity,True,Cross-Domain Linkage,Cross-Domain Linkage,True,Policy Evaluation / Impact Analysis,Policy Evaluation / Impact Analysis,True,,,True,Assigned Environment & Agriculture and Business & Productivity because the Energy Entrepreneurs Fund is an energy/innovation programme assessed via firm outcomes; Cross-Domain Linkage because datasets span business R&D/structure/survey and earnings (ASHE); Policy Evaluation / Impact Analysis because it evaluates a named fund; no tag because no demographic comparison is central.,Assigned Environment & Agriculture and Business & Productivity because the Energy Entrepreneurs Fund is an energy programme evaluated via firm R&D and performance; Cross-Domain Linkage because business datasets link to ASHE earnings spanning business and labour domains; Policy Evaluation / Impact Analysis because it evaluates a named fund; no tag because no demographic comparison is central.,
2020/003,2020/003,"Spatial sorting in housing and employment: impact of public investments, planning decisions, housing subsidies, and business rates","Office for National Statistics: Annual Survey of Hours and Earnings, Census 2011 England and Wales: Individual Sample, Census 2011 Origin/Destination: Flow data & Business Impact of COVID-19 Survey",2020,Housing & Planning; Labour Market & Employment,Housing & Planning; Labour Market & Employment,True,Cross-Domain Linkage,Cross-Domain Linkage,True,Policy Evaluation / Impact Analysis,Policy Evaluation / Impact Analysis,True,,,True,"Assigned Housing & Planning and Labour Market & Employment because it studies spatial sorting in housing and employment; Cross-Domain Linkage because datasets span earnings (ASHE), census/migration flows, and a COVID business survey; Policy Evaluation / Impact Analysis because it assesses impacts of public investments, planning decisions, housing subsidies, and business rates; no tag because no demographic-equity comparison is central.","Assigned Housing & Planning and Labour Market & Employment because it studies spatial sorting in housing and employment; Cross-Domain Linkage because ASHE (earnings), Census, and COVID business survey span employment, population and business domains; Policy Evaluation / Impact Analysis because it assesses impacts of public investments, planning decisions, housing subsidies and business rates; no tag because no demographic-group equity lens is central.",
2020/004,2020/004,Medina Valley Marine Sector Proposition and Funding,Office for National Statistics: Business Structure Database,2020,Business & Productivity,Business & Productivity,True,Single-Dataset,Single-Dataset,True,Descriptive Monitoring,Descriptive Monitoring,True,,,True,Assigned Business & Productivity because it concerns a marine-sector business proposition and funding; Single-Dataset because only the Business Structure Database is listed; Descriptive Monitoring because the operation is characterising a sector's business activity; no tag because no demographic comparison is involved.,Assigned Business & Productivity because the marine sector proposition concerns firm-level activity using the Business Structure Database; Single-Dataset because only one dataset is listed; Descriptive Monitoring because the funding proposition profiles sector business activity; no tag because no demographic comparison is central.,
2020/005,2020/005,The interplay between bridging and bonding social capital in shaping diversity and entrepreneurial activity across the UK local communities,"Department for Business, Energy and Industrial Strategy: Longitudinal Small Business Survey
Institute for Social and Economic Research:
Understanding Society: UK Household Longitudinal Study Mainstage Survey Wave 9 &
Understanding Society: UK Household Longitudinal Study Mainstage Survey Wave 6",2020,Business & Productivity,Business & Productivity,True,Cross-Domain Linkage,Cross-Domain Linkage,True,Outcome Tracking,Outcome Tracking,True,,,True,Assigned Business & Productivity because the focus is social capital shaping entrepreneurial activity; Cross-Domain Linkage because it combines the Longitudinal Small Business Survey with Understanding Society household survey waves; Outcome Tracking because it links social capital and diversity to entrepreneurship outcomes; no tag because diversity is an explanatory characteristic rather than a central equity comparison.,Assigned Business & Productivity because the focus is entrepreneurial activity across communities; Cross-Domain Linkage because the Longitudinal Small Business Survey (business) links to Understanding Society household survey (social/household domain); Outcome Tracking because it links social capital and diversity to entrepreneurial activity; no tag because diversity here is a community-level explanatory factor rather than an equity outcome comparison.,
2020/006,2020/006,Parental separation and educational inequality: any evidence for growing disadvantage or 'diverging destinies' across three recent cohorts?,Office for National Statistics: Longitudinal Study of England and Wales,2020,Education & Skills,Education & Skills,True,Single-Dataset,Single-Dataset,True,Life-Course / Trajectory Analysis,Life-Course / Trajectory Analysis,True,,,True,"Assigned Education & Skills because the focus is educational inequality and disadvantage following parental separation; Single-Dataset because only the ONS Longitudinal Study is listed; Life-Course / Trajectory Analysis because it follows three cohorts across time to study diverging destinies; no tag because the comparison centres on family circumstance and cohort, not a demographic/equality group.",Assigned Education & Skills because the focus is educational inequality and disadvantage following parental separation; Single-Dataset because only the ONS Longitudinal Study is listed; Life-Course / Trajectory Analysis because it follows three cohorts over time to examine diverging educational destinies; no tag because the comparison is across cohorts and socioeconomic position rather than a demographic/equality group.,
2020/007,2020/007,Business Succession in Wales,"Office for National Statistics: Business Structure Database, Annual Business Survey
Department for Business, Energy and Industrial Strategy: Small Business Survey & Longitudinal Small Business Survey",2020,Business & Productivity,Business & Productivity,True,Within-Domain Linkage,Within-Domain Linkage,True,Descriptive Monitoring,Descriptive Monitoring,True,,,True,Assigned Business & Productivity because the project studies business succession in Wales using firm datasets; Within-Domain Linkage because business structure and small business surveys all sit within the business domain; Descriptive Monitoring because the focus is profiling business succession patterns; no tag because no demographic comparison is central.,Assigned Business & Productivity because it studies business succession among Welsh firms using business structure and small business surveys; Within-Domain Linkage because the multiple datasets all fall within the business domain; Descriptive Monitoring because it characterises succession patterns rather than evaluating an intervention; no tag because no demographic comparison is central.,
2020/008,2020/008,Contextualised Admissions and University Choice,UCAS: Universities and Colleges Admissions Service,2020,Education & Skills,Education & Skills,True,Single-Dataset,Single-Dataset,True,Outcome Tracking,Outcome Tracking,True,,,True,Assigned Education & Skills because it concerns contextualised admissions and university choice; Single-Dataset because only UCAS admissions data is listed; Outcome Tracking because it links applicant context to admissions/choice outcomes; no tag because the focus is contextual admissions rather than a central demographic-group comparison.,Assigned Education & Skills because the focus is contextualised admissions and university choice; Single-Dataset because only UCAS admissions data is listed; Outcome Tracking because it links applicant context to admissions and choice outcomes; no tag because contextual admissions are not framed as a demographic-group equity comparison from the entry.,
2020/009,2020/009,Panel conditioning and rotation group bias effects in business surveys,Office for National Statistics: Monthly Business Survey & all future releases,2020,Data Infrastructure & Methodology,Data Infrastructure & Methodology,True,Single-Dataset,Single-Dataset,True,Methodological / Infrastructure Research,Methodological / Infrastructure Research,True,,,True,Assigned Data Infrastructure & Methodology because the substantive object is panel conditioning and rotation group bias in business surveys; Single-Dataset because only the Monthly Business Survey is listed; Methodological / Infrastructure Research because the aim is to study survey measurement bias; no tag because no demographic comparison is involved.,Assigned Data Infrastructure & Methodology because the project studies panel conditioning and rotation group bias in business surveys as the substantive object; Single-Dataset because only the Monthly Business Survey is listed; Methodological / Infrastructure Research because the operation is to investigate survey methodology and data quality; no tag because no demographic comparison is involved.,
