Project ID,Title,Researchers,Legal Basis,Datasets Used,Secure Research Service,Accreditation Date,Record ID,Year,Quarter,Quarter Label,substantive_domains,linkage_mode,analytical_purpose,cross_cutting_tags,rationale,primary_domain
2019/014,"The contribution of digital economy in Wales, a measurement by an information and communications satellite account","Chen Xu, University of Cardiff",Digital Economy Act (2017) ,"Office for National Statistics: Annual Business Survey, Business Structure Database, Products of the European Community, Quarterly Acquisitions and Disposals of Capital Assets Survey, Living Costs and Food Survey, International Trade in Services, Business Expenditure on Research and Development, E-Commerce Survey, Annual Survey of Goods and Services",Office for National Statistics Secure Research Service,2019-11-19,2019/014,2019,2019Q4,Q4 2019,Business & Productivity,Within-Domain Linkage,Descriptive Monitoring; Methodological / Infrastructure Research,,"Assigned Business & Productivity because the project measures the digital economy's contribution using business surveys (Annual Business Survey, Business Structure Database, R&D, e-commerce); Within-Domain Linkage because all listed datasets are business/economic datasets within one domain; Descriptive Monitoring and Methodological / Infrastructure Research because it constructs a satellite account to measure the digital economy's contribution; no tag because no demographic comparison is central.",Business & Productivity
2019/015,Understanding saving behaviour in the UK,"Zoe Oldfield, Institute for Fiscal Studies
Carl Emmerson, Institute for Fiscal Studies
Polly Simpson, Institute for Fiscal Studies 
David Sturrock, Institute for Fiscal Studies
Laurence O'Brien, Institute for Fiscal Studies
Heidi Karjalainen, Institute for Fiscal Studies
Beatrice	Boileau, Institute for Fiscal Studies",Digital Economy Act (2017) ,Office for National Statistics: Wealth and Assets Survey & Annual Survey of Hours and Earnings,Office for National Statistics Secure Research Service,2019-11-19,2019/015,2019,2019Q4,Q4 2019,"Poverty, Wealth & Living Standards",Cross-Domain Linkage,Outcome Tracking,,"Assigned Poverty, Wealth & Living Standards because saving behaviour concerns household wealth and savings; Cross-Domain Linkage because Wealth and Assets Survey (wealth) is linked to Annual Survey of Hours and Earnings (labour market); Outcome Tracking because it links earnings/circumstances to saving behaviour; no tag because no demographic comparison is central.","Poverty, Wealth & Living Standards"
2019/017,"The spatial distribution of UK Foreign Direct Investment : causes, effects, and policy","Fragkiskos Danelakis, Department for International Trade
Elizabeth McCrea, 
Department for International Trade
David Baker,
Department for International Trade
Sabiha Ahmed,
Department for International Trade
Kit Angel-Scott,
Department for International Trade
Sophie Haldane,
Department for International Trade",Digital Economy Act (2017) ,"Office for National Statistics: Annual Outward Foreign Direct Investment Survey, Mergers and Acquisitions, Annual Respondents Database, Business Structure Database, Business Structure Database Longitudinal, Annual Business Survey, Business Enterprise Research and Development, Business Register and Employment Survey, International Trade in Services Survey & Quarterly Acquisitions and Disposals of Capital Assets Survey
Department for Business, Energy & Industrial Strategy: Community Innovation Survey “ United Kingdom Innovation Survey
Data given for all available years unless otherwise stated.",Office for National Statistics Secure Research Service,2019-11-19,2019/017,2019,2019Q4,Q4 2019,Business & Productivity,Within-Domain Linkage,Outcome Tracking; Policy Evaluation / Impact Analysis,,"Assigned Business & Productivity because the project studies the spatial distribution of foreign direct investment and firm-level data; Within-Domain Linkage because all datasets are business/firm datasets within one domain; Outcome Tracking and Policy Evaluation / Impact Analysis because it examines causes, effects, and policy of FDI; no tag because no demographic comparison is central.",Business & Productivity
2019/018,Foreign Direct Disinvestment: causes and effects,"Anuj Mathew, Department for International Trade
Palitha Konara, University of Sussex
Nicolo Tamberi, University of Sussex
Elizabeth McCrea,
Department for International Trade
Matthew Needham,
Department for International Trade
Sabiha Ahmed,
Department for International Trade
David Baker,
Department for International Trade",Digital Economy Act (2017) ,"Office for National Statistics: Annual Outward Foreign Direct Investment Survey, Mergers and Acquisitions, Annual Respondents Database, Business Structure Database, Business Structure Database Longitudinal, Annual Business Survey, Business Enterprise Research and Development, Business Register and Employment Survey, International Trade in Services Survey & Quarterly Acquisitions and Disposals of Capital Assets Survey
Department for Business, Energy & Industrial Strategy: Community Innovation Survey “ United Kingdom Innovation Survey
Data given for all available years unless otherwise stated.",Office for National Statistics Secure Research Service,2019-11-22,2019/018,2019,2019Q4,Q4 2019,Business & Productivity,Within-Domain Linkage,Outcome Tracking,,Assigned Business & Productivity because the project studies foreign direct disinvestment using firm-level business data; Within-Domain Linkage because all datasets are business/firm datasets; Outcome Tracking because it examines causes and effects of disinvestment; no tag because no demographic comparison is central.,Business & Productivity
2019/019,Improving Regional Economic Indicators Regional Consumer Prices,"Christopher Jenkins, Competition and Markets Authority
Kevin Connolly, University of Strathclyde
Aureo De Paula,
University College London
",Digital Economy Act (2017) ,Office for National Statistics: Living Cost and Food Survey,Office for National Statistics Secure Research Service,2019-11-19,2019/019,2019,2019Q4,Q4 2019,Data Infrastructure & Methodology,Single-Dataset,Methodological / Infrastructure Research,,Assigned Data Infrastructure & Methodology because the project develops improved regional consumer price indicators; Single-Dataset because only Living Cost and Food Survey is listed; Methodological / Infrastructure Research because the analytical operation is improving economic indicators/measures; no tag because no demographic comparison is central.,Data Infrastructure & Methodology
2019/020,"Housing, family and environmental risk factors for hospital admissions in children","Pia Hardelid, University College London
Linda Wijlaars, University College London
Philip Symonds,
University College London
Kate Lewis,
University College London
",Digital Economy Act (2017) ,Office for National Statistics: Death Registrations & Census 2011: Household Sample,Office for National Statistics Secure Research Service,2019-11-27,2019/020,2019,2019Q4,Q4 2019,Health & Social Care; Housing & Planning,Cross-Domain Linkage,Outcome Tracking,,Assigned Health & Social Care because hospital admissions in children are the outcome and Housing & Planning because housing risk factors are central exposures; Cross-Domain Linkage because Death Registrations (health) is linked to Census household data (housing/demographics); Outcome Tracking because it links housing/family/environmental risk factors to hospital admissions; no tag because comparison is by risk factors not demographic group.,Health & Social Care
2019/021,"Social and Economic Predictors of the severe mental disorders, the SEP-MD study. Analysis of linked data from southeast London, UK","Jayati Das-Munshi, King's College London
Lukasz Cybulski, King's College London
Rosanna Hildersley, King's College London",Digital Economy Act (2017) ,Office for National Statistics: Census 2011 & Death Registrations,Office for National Statistics Secure Research Service,2019-03-12,2019/021,2019,2019Q1,Q1 2019,Health & Social Care,Cross-Domain Linkage,Outcome Tracking,,Assigned Health & Social Care because the project studies predictors of severe mental disorders as a health outcome; Cross-Domain Linkage because Census 2011 (demographic) is linked to Death Registrations (health); Outcome Tracking because it links social and economic predictors to mental disorder outcomes; no tag because the focus is socioeconomic predictors rather than a demographic group comparison.,Health & Social Care
2019/005,Measuring the impact of hearing loss on well-being,"Daniele Cox,
Office for National Statistics
Mary Cleaton, 
Office for National Statistics",Digital Economy Act (2017) ,Office for National Statistics: Annual Population Survey,Office for National Statistics Secure Research Service,2019-10-12,2019/005,2019,2019Q4,Q4 2019,Health & Social Care,Single-Dataset,Outcome Tracking,,Assigned Health & Social Care because the project measures the impact of hearing loss on wellbeing; Single-Dataset because only the Annual Population Survey is listed; Outcome Tracking because it links hearing loss (a condition) to wellbeing outcomes; no tag because no demographic comparison is central.,Health & Social Care
2019/016,Homeownership of the young,"Belinda Tracey, Bank of England
Veronica Veggente,
Bank of England",Digital Economy Act (2017) ,"Office for National Statistics: Living Costs and Food Survey, Business Structure Database, Retail Price Index",Office for National Statistics Secure Research Service,2019-12-12,2019/016,2019,2019Q4,Q4 2019,Housing & Planning,Cross-Domain Linkage,Outcome Tracking,,Assigned Housing & Planning because the project studies homeownership of the young; Cross-Domain Linkage because Living Costs and Food Survey (living standards) and Business Structure Database (business) and Retail Price Index span domains; Outcome Tracking because it links circumstances to homeownership of young people; no tag because age is a population focus not a comparative equity lens.,Housing & Planning
2019/022,Research on homeless mortality among St Mungo's clients,"David Wilson, St Mungo's",Digital Economy Act (2017) ,Office for National Statistics: Death Registrations,Office for National Statistics Secure Research Service,2019-12-12,2019/022,2019,2019Q4,Q4 2019,Health & Social Care,Single-Dataset,Descriptive Monitoring,,Assigned Health & Social Care because the project examines mortality among homeless clients as a health outcome; Single-Dataset because only Death Registrations is listed; Descriptive Monitoring because it profiles mortality among a specific population; no tag because the focus is a homeless population not a demographic equity comparison.,Health & Social Care
2019/023,Economic environment and child development,"Cheti Nicoletti, 
University of York
Charles Simpson,
University College London,
Samantha Hajna, University College London
Glory Atilola, University College London
",Digital Economy Act (2017) ,Office for National Statistics: Labour Force Survey,Office for National Statistics Secure Research Service,2019-12-12,2019/023,2019,2019Q4,Q4 2019,Education & Skills,Single-Dataset,Outcome Tracking,,"Assigned Education & Skills because the focus is child development linked to economic conditions, with development as the substantive object; Single-Dataset because only the Labour Force Survey is listed; Outcome Tracking because it links a naturally occurring economic-environment exposure to child development outcomes; no tag because no demographic group comparison is central.",Education & Skills
2019/024,The Right to Buy: Migration and Gentrification,"Iain Bamford, Columbia University",Digital Economy Act (2017) ,Office for National Statistics: Longitudinal Study,Office for National Statistics Secure Research Service,2019-12-19,2019/024,2019,2019Q4,Q4 2019,Housing & Planning; Migration & Demographics,Single-Dataset,Policy Evaluation / Impact Analysis,,Assigned Housing & Planning and Migration & Demographics because Right to Buy concerns housing tenure alongside migration and gentrification of populations; Single-Dataset because only the ONS Longitudinal Study is listed; Policy Evaluation / Impact Analysis because Right to Buy is a named policy whose migration and gentrification effects are studied; no tag because no demographic-group equity comparison is central.,Housing & Planning
2019/026,Migration Observatory analysis of EU and non-EU migration in the UK,"Madeleine Sumption, University of Oxford
Denis Kierans, University of Oxford",Digital Economy Act (2017) ,"Office for National Statistics: Annual Population Survey, Annual Population Survey & Labour Force Survey",Office for National Statistics Secure Research Service,2020-03-01,2019/026,2020,2020Q1,Q1 2020,Migration & Demographics,Within-Domain Linkage,Descriptive Monitoring,,Assigned Migration & Demographics because the project analyses EU and non-EU migration in the UK; Within-Domain Linkage because the APS and LFS are listed together within population/labour survey domain; Descriptive Monitoring because it profiles migration patterns and composition; no tag because the comparison is migration flows rather than equity-focused group outcomes.,Migration & Demographics
2020/001,How does tax affect incorporation and business outcomes?,"Kate Smith, Institute for Fiscal Studies",Digital Economy Act (2017) ,"Department for Business, Energy and Industrial Strategy: Longitudinal Small Business Survey & Small Business Survey",Office for National Statistics Secure Research Service,2020-01-17,2020/001,2020,2020Q1,Q1 2020,Business & Productivity; Public Finance & Taxation,Within-Domain Linkage,Outcome Tracking,,Assigned Business & Productivity and Public Finance & Taxation because the study examines how tax affects incorporation and business outcomes; Within-Domain Linkage because the Longitudinal Small Business Survey and Small Business Survey both sit in business domain; Outcome Tracking because it links tax (a structural exposure) to incorporation and firm outcomes; no tag because no demographic-group comparison is central.,Business & Productivity
2020/003,"Spatial sorting in housing and employment: impact of public investments, planning decisions, housing subsidies, and business rates","Lars Nesheim, University College London",Digital Economy Act (2017) ,"Office for National Statistics: Annual Survey of Hours and Earnings, Census 2011 England and Wales: Individual Sample, Census 2011 Origin/Destination: Flow data & Business Impact of COVID-19 Survey",Office for National Statistics Secure Research Service,2020-01-17,2020/003,2020,2020Q1,Q1 2020,Housing & Planning; Labour Market & Employment,Cross-Domain Linkage,Policy Evaluation / Impact Analysis,,"Assigned Housing & Planning and Labour Market & Employment because it studies spatial sorting in housing and employment; Cross-Domain Linkage because ASHE (earnings), Census, and COVID business survey span employment, population and business domains; Policy Evaluation / Impact Analysis because it assesses impacts of public investments, planning decisions, housing subsidies and business rates; no tag because no demographic-group equity lens is central.",Housing & Planning
2020/004,Medina Valley Marine Sector Proposition and Funding,"Joshua Harding-Jones, Hardisty Jones Associates",Digital Economy Act (2017) ,Office for National Statistics: Business Structure Database,Office for National Statistics Secure Research Service,2020-01-17,2020/004,2020,2020Q1,Q1 2020,Business & Productivity,Single-Dataset,Descriptive Monitoring,,Assigned Business & Productivity because the marine sector proposition concerns firm-level activity using the Business Structure Database; Single-Dataset because only one dataset is listed; Descriptive Monitoring because the funding proposition profiles sector business activity; no tag because no demographic comparison is central.,Business & Productivity
2020/005,The interplay between bridging and bonding social capital in shaping diversity and entrepreneurial activity across the UK local communities,"Tomasz Mickiewicz, BOP Consulting
Julia Korosteleva, University College London
Mario Davide Parrilli, University of Bournemouth",Digital Economy Act (2017) ,"Department for Business, Energy and Industrial Strategy: Longitudinal Small Business Survey
Institute for Social and Economic Research:
Understanding Society: UK Household Longitudinal Study Mainstage Survey Wave 9 &
Understanding Society: UK Household Longitudinal Study Mainstage Survey Wave 6",Office for National Statistics Secure Research Service,2020-01-17,2020/005,2020,2020Q1,Q1 2020,Business & Productivity,Cross-Domain Linkage,Outcome Tracking,,Assigned Business & Productivity because the focus is entrepreneurial activity across communities; Cross-Domain Linkage because the Longitudinal Small Business Survey (business) links to Understanding Society household survey (social/household domain); Outcome Tracking because it links social capital and diversity to entrepreneurial activity; no tag because diversity here is a community-level explanatory factor rather than an equity outcome comparison.,Business & Productivity
2020/002,Evaluation of the Energy Entrepreneurs Fund,"James Kearney, Ipsos MORI
Chris Hale, Ipsos MORI
Marc Tully, Ipsos MORI",Digital Economy Act (2017) ,"Office for National Statistics: Business Enterprise Research and Development, Business Structure Database, Annual Business Survey & Annual Survey of Hours and Earnings",Office for National Statistics Secure Research Service,2020-03-02,2020/002,2020,2020Q1,Q1 2020,Environment & Agriculture; Business & Productivity,Cross-Domain Linkage,Policy Evaluation / Impact Analysis,,Assigned Environment & Agriculture and Business & Productivity because the Energy Entrepreneurs Fund is an energy programme evaluated via firm R&D and performance; Cross-Domain Linkage because business datasets link to ASHE earnings spanning business and labour domains; Policy Evaluation / Impact Analysis because it evaluates a named fund; no tag because no demographic comparison is central.,Environment & Agriculture
2019/025,Understanding the uptake and use of the Northern Ireland Concessionary Fares Scheme for the population aged 60 and over,"Jos IJpelaar, Northern Ireland Statistics and Research Agency
John Hughes, Northern Ireland Statistics and Research Agency",Digital Economy Act (2017) ,"Northern Ireland Statistics and Research Agency: Census 2011 & Census 2011
Northern Ireland Registrar General's Office: Registered Deaths",Northern Ireland Statistics and Research Agency,2020-02-14,2019/025,2020,2020Q1,Q1 2020,Migration & Demographics,Within-Domain Linkage,Service Interaction / Systems Analysis,,Assigned Migration & Demographics because the population aged 60+ is studied via census and registered deaths as demographic data; Within-Domain Linkage because Census and Registered Deaths both sit within the population/demographic domain; Service Interaction / Systems Analysis because uptake and use of the Concessionary Fares Scheme is central; no tag because age defines the eligible population rather than an equity comparison.,Migration & Demographics
2020/008,Contextualised Admissions and University Choice,"Sonkurt Kemal Sen, University of Essex
Emilia Del Bono, University of Essex
Angus Holford, University of Essex
Ryan Smith,
Office for National Statistics",Digital Economy Act (2017) ,UCAS: Universities and Colleges Admissions Service,Office for National Statistics Secure Research Service,2020-03-16,2020/008,2020,2020Q1,Q1 2020,Education & Skills,Single-Dataset,Outcome Tracking,,Assigned Education & Skills because the focus is contextualised admissions and university choice; Single-Dataset because only UCAS admissions data is listed; Outcome Tracking because it links applicant context to admissions and choice outcomes; no tag because contextual admissions are not framed as a demographic-group equity comparison from the entry.,Education & Skills
2020/010,Local labour market effects of immigration,"Andrew Aitken, National Institute for Economic and Social Research",Digital Economy Act (2017) ,"Office for National Statistics: Annual Population Survey, Quarterly Labour Force Survey & Annual Survey of Hours and Earnings
Institute for Economic and Social Research: Understanding Society",Office for National Statistics Secure Research Service,2020-03-16,2020/010,2020,2020Q1,Q1 2020,Labour Market & Employment; Migration & Demographics,Cross-Domain Linkage,Outcome Tracking,,"Assigned Labour Market & Employment and Migration & Demographics because the project studies local labour-market effects of immigration using earnings/employment surveys; Cross-Domain Linkage because it links labour-market surveys (APS, LFS, ASHE) with the Understanding Society household panel spanning multiple domains; Outcome Tracking because it links a naturally occurring exposure (immigration) to labour-market outcomes; no tag because the focus is the aggregate labour-market effect rather than comparing demographic groups.",Labour Market & Employment
2020/011,Innovation analysis for Knowledge Transfer Network,"Stuart Thompson, Knowledge Transfer Network
James Currer,
Innovate UK
",Digital Economy Act (2017) ,"Office for National Statistics: Business Enterprise Research and Development, E-Commerce Survey, Labour Force Survey Person, Survey of Innovation and Patent Use, Business Structure Database & Longitudinal Business Structure Database
Department for Business, Energy and Industrial Strategy: Longitudinal Small Business Survey
Department for Business, Energy and Industrial Strategy: Community Innovation Survey",Office for National Statistics Secure Research Service,2020-03-16,2020/011,2020,2020Q1,Q1 2020,Business & Productivity,Within-Domain Linkage,Descriptive Monitoring,,"Assigned Business & Productivity because the project analyses innovation using business R&D, innovation and patent surveys; Within-Domain Linkage because the multiple datasets all sit within the business/innovation domain; Descriptive Monitoring because it characterises innovation activity rather than testing a specific intervention; no tag because no demographic comparison is central.",Business & Productivity
2020/012,Wage progression and firm productivity,"Rachel Griffith, Institute for Fiscal Studies
Robert Joyce, Institute for Fiscal Studies
Xiaowei Xu, Institute for Fiscal Studies
Wenchao Jin, Institute for Fiscal Studies
",Digital Economy Act (2017) ,"Office for National Statistics: Annual Business Inquiry, Annual Inquiry into Foreign Direct Investment, Annual Respondents DatabaseX, Annual Respondents Database, Annual Survey of Hours and Earnings, Business Expenditure on Research and Development, Business Impact of COVID-19 Survey, Business Register Employment Survey, Business Structure Database, Business Structure Database Longitudinal, Capital Stocks, Financial Assets and Liabilities Survey, Interdepartmental Business Register, Investment in Intangible Assets, International Trade in Services, Labour Force Survey, Monthly Wage and Salary Survey, New Earnings Survey, Quarterly Capital Expenditure Survey, Survey of Innovation and Patent Use, Vacancy Survey, ASHE
Intellectual Property Office: Patents, Designs and Trade Marks
Department for Education: National
Department for Business, Energy and Industrial Strategy: Employer Skills Survey & Workplace Employment Relations Survey
Department for Business, Energy and Industrial Strategy: Small Business Survey Longitudinal
Department for Business, Energy and Industrial Strategy: Community Innovation Survey",Office for National Statistics Secure Research Service,2020-03-16,2020/012,2020,2020Q1,Q1 2020,Labour Market & Employment; Business & Productivity,Cross-Domain Linkage,Outcome Tracking,,"Assigned Labour Market & Employment and Business & Productivity because it examines wage progression in relation to firm productivity using earnings and firm-level datasets; Cross-Domain Linkage because it links worker earnings data (ASHE, LFS) with firm productivity/business datasets spanning two domains; Outcome Tracking because it links firm productivity (exposure) to wage progression (outcome); no tag because no demographic-group comparison is central.",Labour Market & Employment
2020/013,Firm-level analysis of research and development,"Joelle Tasker, Office for National Statistics
Elizabeth Taylor, Office for National Statistics
Christina Palmou, Office for National Statistics",Digital Economy Act (2017) ,"Office for National Statistics: Business Expenditure on Research and Development - England, Wales and Scotland, Business Structure Database, Business Structure Database Longitudinal, Annual Business Survey, Annual Respondent Database 2
Intellectual Property Office: Patents, Designs and Trade Marks
Office for National Statistics /
Department for Business, Energy and Industrial Strategy: Covid-19 Infection Survey linked with UK Innovation Survey",Office for National Statistics Secure Research Service,2020-03-16,2020/013,2020,2020Q1,Q1 2020,Business & Productivity,Within-Domain Linkage,Outcome Tracking,,"Assigned Business & Productivity because it is a firm-level analysis of R&D using business R&D and patent data; Within-Domain Linkage because the listed sources (business R&D, patents, innovation survey, COVID infection survey linked to UK Innovation Survey) are read as business/innovation domain with COVID as instrumental; Outcome Tracking because it links firm R&D activity to firm-level outcomes; no tag because no demographic comparison is central.",Business & Productivity
2020/007,Business Succession in Wales,"Nikolaos Kapitsinis, University of Cardiff",Digital Economy Act (2017) ,"Office for National Statistics: Business Structure Database, Annual Business Survey
Department for Business, Energy and Industrial Strategy: Small Business Survey & Longitudinal Small Business Survey",Office for National Statistics Secure Research Service,2020-04-15,2020/007,2020,2020Q2,Q2 2020,Business & Productivity,Within-Domain Linkage,Descriptive Monitoring,,Assigned Business & Productivity because it studies business succession among Welsh firms using business structure and small business surveys; Within-Domain Linkage because the multiple datasets all fall within the business domain; Descriptive Monitoring because it characterises succession patterns rather than evaluating an intervention; no tag because no demographic comparison is central.,Business & Productivity
2020/015,Minimum wages and technology adoption,"Andrew Aitken, National Institute for Economic and Social Research
John Forth, National Institute for Economic and Social Research
Larissa Marioni, National Institute for Economic and Social Research",Digital Economy Act (2017) ,"Office for National Statistics: Annual Population Survey, Business Structure Database & Quarterly Labour Force Survey",Office for National Statistics Secure Research Service,2020-04-20,2020/015,2020,2020Q2,Q2 2020,Labour Market & Employment; Business & Productivity,Cross-Domain Linkage,Policy Evaluation / Impact Analysis,,"Assigned Labour Market & Employment and Business & Productivity because it examines how minimum wages affect firm technology adoption, central to both wages and firm behaviour; Cross-Domain Linkage because it links labour-market surveys (APS, QLFS) with the firm-level Business Structure Database across domains; Policy Evaluation / Impact Analysis because the minimum wage is a named policy whose effects are being analysed; no tag because no demographic-group comparison is central.",Labour Market & Employment
2020/025,Modelling the regional implications of COVID-19 using the Enterprise Research Centre's longitudinal firm-level dataset based on the Business Structure Database,"Mark Hart, University of Aston
Neha Prashar, University of Aston
Anastasia Ri, University of Aston",Digital Economy Act (2017) ,"Office for National Statistics: Business Structure Database, Longitudinal Inter-Departmental Business Register, International Trade in Services, Business Impact of COVID-19 Survey & E-Commerce Survey
Department for Business, Energy and Industrial Strategy: Community Innovation Survey",Office for National Statistics Secure Research Service,2020-04-20,2020/025,2020,2020Q2,Q2 2020,Business & Productivity; COVID-19 & Pandemic,Within-Domain Linkage,Descriptive Monitoring,,Assigned Business & Productivity and COVID-19 & Pandemic because it models regional firm-level implications of COVID-19 using business datasets; Within-Domain Linkage because the firm-level datasets all sit within the business domain; Descriptive Monitoring because it models/profiles regional impacts rather than testing a specific intervention; no tag because no demographic comparison is central.,Business & Productivity
