Project ID,Record ID,Title,Datasets Used,Accreditation Date,Year,gpt_status,substantive_domains,analytical_purpose,cross_cutting_tags,rationale,validation_error,raw_classification
2019/017,2019/017,"The spatial distribution of UK Foreign Direct Investment : causes, effects, and policy","Office for National Statistics: Annual Outward Foreign Direct Investment Survey, Mergers and Acquisitions, Annual Respondents Database, Business Structure Database, Business Structure Database Longitudinal, Annual Business Survey, Business Enterprise Research and Development, Business Register and Employment Survey, International Trade in Services Survey & Quarterly Acquisitions and Disposals of Capital Assets Survey
Department for Business, Energy & Industrial Strategy: Community Innovation Survey “ United Kingdom Innovation Survey Data given for all available years unless otherwise stated.",2019-11-19,2019,ok,Business & Productivity,Descriptive Monitoring; Outcome Tracking,,"Assigned Business & Productivity because the title focuses on UK Foreign Direct Investment and the datasets cover FDI, mergers and acquisitions, business structure, innovation, R&D and trade; Descriptive Monitoring and Outcome Tracking because it examines the spatial distribution of FDI as well as its causes and effects, without naming a specific policy intervention; no cross-cutting tags because neither COVID-19 nor demographic equity is central.",,
2019/018,2019/018,Foreign Direct Disinvestment: causes and effects,"Office for National Statistics: Annual Outward Foreign Direct Investment Survey, Mergers and Acquisitions, Annual Respondents Database, Business Structure Database, Business Structure Database Longitudinal, Annual Business Survey, Business Enterprise Research and Development, Business Register and Employment Survey, International Trade in Services Survey & Quarterly Acquisitions and Disposals of Capital Assets Survey
Department for Business, Energy & Industrial Strategy: Community Innovation Survey “ United Kingdom Innovation Survey Data given for all available years unless otherwise stated.",2019-11-22,2019,ok,Business & Productivity,Outcome Tracking,,"Assigned Business & Productivity because the title focuses on foreign direct disinvestment and the datasets cover FDI, acquisitions, business structure, innovation, R&D and trade; Outcome Tracking because the project examines causes and effects of disinvestment rather than a named policy or monitoring exercise alone; no cross-cutting tags because neither COVID-19 nor demographic equity is central.",,
2019/019,2019/019,Improving Regional Economic Indicators Regional Consumer Prices,Office for National Statistics: Living Cost and Food Survey,2019-11-19,2019,ok,Data Infrastructure & Methodology,Methodological / Infrastructure Research,,Assigned Data Infrastructure & Methodology because the title is about improving regional economic indicators for regional consumer prices using the Living Costs and Food Survey; Methodological / Infrastructure Research because improving indicators is the central analytical operation; no cross-cutting tags because neither COVID-19 nor demographic equity is central.,,
2019/020,2019/020,"Housing, family and environmental risk factors for hospital admissions in children",Office for National Statistics: Death Registrations & Census 2011: Household Sample,2019-11-27,2019,ok,Health & Social Care; Housing & Planning,Outcome Tracking,,"Assigned Health & Social Care and Housing & Planning because the title links housing, family and environmental risk factors to hospital admissions in children, with Census household data and death registrations; Outcome Tracking because it examines naturally occurring risk factors associated with hospital admissions rather than a named intervention or prediction tool; no cross-cutting tags because children define the study population but no demographic comparison or COVID-19 lens is indicated.",,
2019/021,2019/021,"Social and Economic Predictors of the severe mental disorders, the SEP-MD study. Analysis of linked data from southeast London, UK",Office for National Statistics: Census 2011 & Death Registrations,2019-03-12,2019,ok,Health & Social Care,Outcome Tracking,,Assigned Health & Social Care because the title focuses on severe mental disorders and uses linked Census and death-registration data; Outcome Tracking because it examines social and economic predictors of severe mental disorders rather than an explicit prediction model or policy evaluation; no cross-cutting tags because no demographic equity comparison or COVID-19 lens is stated.,,
2019/022,2019/022,Research on homeless mortality among St Mungo's clients,Office for National Statistics: Death Registrations,2019-12-12,2019,ok,Housing & Planning; Health & Social Care,Descriptive Monitoring,,"Assigned Housing & Planning and Health & Social Care because the title studies homeless mortality among St Mungo’s clients using death registrations, making homelessness and mortality central; Descriptive Monitoring because the entry indicates research on mortality levels or patterns among homeless clients rather than a named intervention, trajectory, or prediction design; no cross-cutting tags because neither COVID-19 nor demographic equity is central.",,
2019/023,2019/023,Economic environment and child development,Office for National Statistics: Labour Force Survey,2019-12-12,2019,ok,Labour Market & Employment; Education & Skills,Outcome Tracking,,Assigned Labour Market & Employment and Education & Skills because the title links the economic environment to child development and the dataset is the Labour Force Survey; Outcome Tracking because it appears to relate an economic/labour-market context to downstream child-development outcomes; no cross-cutting tag because no demographic-equity or COVID-19 lens is explicit.,,
2019/024,2019/024,The Right to Buy: Migration and Gentrification,Office for National Statistics: Longitudinal Study,2019-12-19,2019,ok,Housing & Planning; Migration & Demographics,Policy Evaluation / Impact Analysis,,"Assigned Housing & Planning and Migration & Demographics because the title names Right to Buy, gentrification, and migration using the ONS Longitudinal Study; Policy Evaluation / Impact Analysis because Right to Buy is a specific housing policy whose effects on migration and gentrification are being studied; no cross-cutting tag because no demographic-equity or COVID-19 lens is explicit.",,
2019/025,2019/025,Understanding the uptake and use of the Northern Ireland Concessionary Fares Scheme for the population aged 60 and over,"Northern Ireland Statistics and Research Agency: Census 2011 & Census 2011
Northern Ireland Registrar General's Office: Registered Deaths",2020-02-14,2020,ok,Public Finance & Taxation; Migration & Demographics,Service Interaction / Systems Analysis,,"Assigned Public Finance & Taxation and Migration & Demographics because the title studies uptake and use of the Northern Ireland Concessionary Fares Scheme among the population aged 60 and over, with census and registered-deaths data; Service Interaction / Systems Analysis because the analytical focus is uptake and use of a public concessionary scheme; no cross-cutting tag because the project focuses on an older eligible population rather than comparing demographic groups.",,
2019/026,2019/026,Migration Observatory analysis of EU and non-EU migration in the UK,"Office for National Statistics: Annual Population Survey, Annual Population Survey & Labour Force Survey",2020-03-01,2020,ok,Migration & Demographics,Descriptive Monitoring,Demographic disparities / equity tag,Assigned Migration & Demographics because the title is explicitly about EU and non-EU migration in the UK using APS and Labour Force Survey data; Descriptive Monitoring because the entry describes Migration Observatory analysis of migration patterns rather than an exposure-outcome test or intervention evaluation; Demographic disparities / equity tag because the title centrally distinguishes EU and non-EU migrant groups.,,
2020/001,2020/001,How does tax affect incorporation and business outcomes?,"Department for Business, Energy and Industrial Strategy: Longitudinal Small Business Survey & Small Business Survey",2020-01-17,2020,ok,Public Finance & Taxation; Business & Productivity,Outcome Tracking,,Assigned Public Finance & Taxation and Business & Productivity because the title asks how tax affects incorporation and business outcomes using small business survey data; Outcome Tracking because tax exposure is linked to downstream incorporation and firm outcomes without a named tax reform; no cross-cutting tag because no demographic-equity or COVID-19 lens is explicit.,,
2020/002,2020/002,Evaluation of the Energy Entrepreneurs Fund,"Office for National Statistics: Business Enterprise Research and Development, Business Structure Database, Annual Business Survey & Annual Survey of Hours and Earnings",2020-03-02,2020,ok,Business & Productivity; Environment & Agriculture,Policy Evaluation / Impact Analysis,,"Assigned Business & Productivity and Environment & Agriculture because the title evaluates the Energy Entrepreneurs Fund using business R&D, business structure, annual business, and earnings datasets; Policy Evaluation / Impact Analysis because the Energy Entrepreneurs Fund is a named programme; no cross-cutting tag because no demographic-equity or COVID-19 lens is explicit.",,
2020/003,2020/003,"Spatial sorting in housing and employment: impact of public investments, planning decisions, housing subsidies, and business rates","Office for National Statistics: Annual Survey of Hours and Earnings, Census 2011 England and Wales: Individual Sample, Census 2011 Origin/Destination: Flow data & Business Impact of COVID-19 Survey",2020-01-17,2020,ok,Housing & Planning; Labour Market & Employment; Public Finance & Taxation,Policy Evaluation / Impact Analysis,,"Assigned Housing & Planning, Labour Market & Employment, and Public Finance & Taxation because the title concerns spatial sorting in housing and employment and the impact of public investments, planning decisions, housing subsidies, and business rates; Policy Evaluation / Impact Analysis because it studies impacts of deliberate public investments, planning decisions, subsidies, and business-rate mechanisms; no cross-cutting tag because COVID-19 appears only through a dataset name and no demographic-equity lens is explicit.",,
2020/004,2020/004,Medina Valley Marine Sector Proposition and Funding,Office for National Statistics: Business Structure Database,2020-01-17,2020,ok,Business & Productivity,Unclear from Register Entry,,"Assigned Business & Productivity because the title concerns a marine sector proposition and funding and the dataset is the Business Structure Database; Unclear from Register Entry because the title does not reveal whether the work monitors, evaluates, predicts, or tests an outcome relationship; no cross-cutting tag because no demographic-equity or COVID-19 lens is explicit.",,
2020/005,2020/005,The interplay between bridging and bonding social capital in shaping diversity and entrepreneurial activity across the UK local communities,"Department for Business, Energy and Industrial Strategy: Longitudinal Small Business Survey
Institute for Social and Economic Research:
Understanding Society: UK Household Longitudinal Study Mainstage Survey Wave 9 &
Understanding Society: UK Household Longitudinal Study Mainstage Survey Wave 6",2020-01-17,2020,ok,Business & Productivity; Migration & Demographics,Outcome Tracking,,Assigned Business & Productivity and Migration & Demographics because the title studies entrepreneurial activity and diversity across UK local communities using small business and household longitudinal data; Outcome Tracking because it examines how bridging and bonding social capital shape diversity and entrepreneurial activity; no cross-cutting tag because the entry does not explicitly compare outcomes across demographic or equality groups.,,
2020/006,2020/006,Parental separation and educational inequality: any evidence for growing disadvantage or 'diverging destinies' across three recent cohorts?,Office for National Statistics: Longitudinal Study of England and Wales,2020-04-15,2020,ok,Education & Skills,Outcome Tracking,,Assigned Education & Skills because the title focuses on educational inequality across cohorts following parental separation using the ONS Longitudinal Study; Outcome Tracking because parental separation is treated as an exposure linked to educational disadvantage or inequality; no cross-cutting tag because parental separation and cohort comparison are not demographic-equity groups as defined.,,
2020/007,2020/007,Business Succession in Wales,"Office for National Statistics: Business Structure Database, Annual Business Survey
Department for Business, Energy and Industrial Strategy: Small Business Survey & Longitudinal Small Business Survey",2020-04-15,2020,ok,Business & Productivity,Descriptive Monitoring,,Assigned Business & Productivity because the title focuses on business succession in Wales and uses business structure and small business survey datasets; Descriptive Monitoring because the entry suggests characterising patterns of succession rather than evaluating a named intervention; no tag because neither COVID-19 nor demographic/equality comparison is central.,,
2020/008,2020/008,Contextualised Admissions and University Choice,UCAS: Universities and Colleges Admissions Service,2020-03-16,2020,ok,Education & Skills,Policy Evaluation / Impact Analysis,,Assigned Education & Skills because the title concerns contextualised university admissions and university choice using UCAS admissions data; Policy Evaluation / Impact Analysis because contextualised admissions is a deliberate admissions approach whose consequences for choice are the visible focus; no tag because the entry does not explicitly centre demographic or pandemic comparisons.,,
2020/009,2020/009,Panel conditioning and rotation group bias effects in business surveys,Office for National Statistics: Monthly Business Survey & all future releases,2020-03-16,2020,ok,Data Infrastructure & Methodology,Methodological / Infrastructure Research,,Assigned Data Infrastructure & Methodology because the title focuses on panel conditioning and rotation-group bias in business surveys rather than substantive business outcomes; Methodological / Infrastructure Research because it studies survey bias and measurement effects; no tag because no demographic-equity or COVID-19 lens is indicated.,,
2020/010,2020/010,Local labour market effects of immigration,"Office for National Statistics: Annual Population Survey, Quarterly Labour Force Survey & Annual Survey of Hours and Earnings
Institute for Economic and Social Research: Understanding Society",2020-03-16,2020,ok,Labour Market & Employment; Migration & Demographics,Outcome Tracking,,"Assigned Labour Market & Employment and Migration & Demographics because the title studies local labour-market effects of immigration using labour force, population, earnings and Understanding Society data; Outcome Tracking because immigration is treated as a naturally occurring demographic exposure linked to labour-market outcomes; no tag because the entry focuses on immigration effects rather than comparing outcomes across equality groups.",,
2020/011,2020/011,Innovation analysis for Knowledge Transfer Network,"Office for National Statistics: Business Enterprise Research and Development, E-Commerce Survey, Labour Force Survey Person, Survey of Innovation and Patent Use, Business Structure Database & Longitudinal Business Structure Database
Department for Business, Energy and Industrial Strategy: Longitudinal Small Business Survey
Department for Business, Energy and Industrial Strategy: Community Innovation Survey",2020-03-16,2020,ok,Business & Productivity,Descriptive Monitoring,,"Assigned Business & Productivity because the title concerns innovation analysis and the datasets cover business R&D, e-commerce, patents, innovation and small business surveys; Descriptive Monitoring because the entry indicates analysis and profiling of innovation activity rather than a named policy evaluation; no tag because no demographic-equity or COVID-19 lens is central.",,
2020/012,2020/012,Wage progression and firm productivity,"Office for National Statistics: Annual Business Inquiry, Annual Inquiry into Foreign Direct Investment, Annual Respondents DatabaseX, Annual Respondents Database, Annual Survey of Hours and Earnings, Business Expenditure on Research and Development, Business Impact of COVID-19 Survey, Business Register Employment Survey, Business Structure Database, Business Structure Database Longitudinal, Capital Stocks, Financial Assets and Liabilities Survey, Interdepartmental Business Register, Investment in Intangible Assets, International Trade in Services, Labour Force Survey, Monthly Wage and Salary Survey, New Earnings Survey, Quarterly Capital Expenditure Survey, Survey of Innovation and Patent Use, Vacancy Survey, ASHE
Intellectual Property Office: Patents, Designs and Trade Marks
Department for Education: National
Department for Business, Energy and Industrial Strategy: Employer Skills Survey & Workplace Employment Relations Survey
Department for Business, Energy and Industrial Strategy: Small Business Survey Longitudinal
Department for Business, Energy and Industrial Strategy: Community Innovation Survey",2020-03-16,2020,ok,Labour Market & Employment; Business & Productivity,Outcome Tracking; Life-Course / Trajectory Analysis,,"Assigned Labour Market & Employment and Business & Productivity because the title links wage progression with firm productivity using earnings, employment and firm performance datasets; Outcome Tracking and Life-Course / Trajectory Analysis because it relates wage progression to firm productivity and implies following wage progression over time; no tag because COVID-19 appears only as one dataset source and no pandemic or demographic-equity lens is stated.",,
2020/013,2020/013,Firm-level analysis of research and development,"Office for National Statistics: Business Expenditure on Research and Development - England, Wales and Scotland, Business Structure Database, Business Structure Database Longitudinal, Annual Business Survey, Annual Respondent Database 2
Intellectual Property Office: Patents, Designs and Trade Marks
Office for National Statistics /
Department for Business, Energy and Industrial Strategy: Covid-19 Infection Survey linked with UK Innovation Survey",2020-03-16,2020,ok,Business & Productivity,Descriptive Monitoring,,"Assigned Business & Productivity because the title focuses on firm-level research and development and uses R&D, business structure, annual business, patents and innovation datasets; Descriptive Monitoring because the entry indicates firm-level analysis of R&D activity rather than a named intervention or prediction design; no tag because COVID-19 appears only in a dataset name and is not the stated research lens.",,
2020/014,2020/014,UK Competition Indicators,"Office for National Statistics: Business Structure Database, Annual Respondents Database , Annual Respondents Database X , Longitudinal Inter-Departmental Business Register, Business Register Employment Survey, Business Expenditure on Research and Development, Annual Business Survey, Producer Price Index & Business Impact of COVID-19 Survey
Department for Business, Energy and Industrial Strategy: Community Innovation Survey",2020-03-24,2020,ok,Business & Productivity; Data Infrastructure & Methodology,Descriptive Monitoring; Methodological / Infrastructure Research,,"Assigned Business & Productivity and Data Infrastructure & Methodology because the title concerns UK competition indicators built from business, productivity, R&D, price and innovation data; Descriptive Monitoring and Methodological / Infrastructure Research because the project appears to construct and use indicators to measure competition; no tag because neither COVID-19 nor demographic-equity comparison is central despite one COVID-19 business dataset.",,
2020/015,2020/015,Minimum wages and technology adoption,"Office for National Statistics: Annual Population Survey, Business Structure Database & Quarterly Labour Force Survey",2020-04-20,2020,ok,Labour Market & Employment; Business & Productivity,Policy Evaluation / Impact Analysis,,Assigned Labour Market & Employment and Business & Productivity because the title links minimum wages to firms’ technology adoption using labour force and business structure data; Policy Evaluation / Impact Analysis because minimum wages are a deliberate labour-market policy whose effects on technology adoption are being analysed; no tag because no demographic-equity or COVID-19 lens is indicated.,,
2020/016,2020/016,Identification and monitoring of social impact indicators in the West Cumbrian region,"Office for National Statistics: Annual Population Survey, Labour Force Survey, Longitudinal Small Business Survey & National Employer Skills Survey",2020-04-20,2020,ok,Labour Market & Employment; Education & Skills; Business & Productivity; Data Infrastructure & Methodology,Descriptive Monitoring; Methodological / Infrastructure Research,,"Assigned Labour Market & Employment, Education & Skills, Business & Productivity and Data Infrastructure & Methodology because the title concerns identifying and monitoring regional social impact indicators using labour force, employer skills and small business datasets; Descriptive Monitoring and Methodological / Infrastructure Research because it explicitly identifies and monitors indicators; no tag because the West Cumbrian regional focus is not a demographic-equity or COVID-19 lens.",,
2020/017,2020/017,Subjective wellbeing impacts of debt and debt-related factors,Office for National Statistics: Wealth and Assets Survey,2020-04-20,2020,ok,"Poverty, Wealth & Living Standards; Health & Social Care",Outcome Tracking,,"Assigned Poverty, Wealth & Living Standards and Health & Social Care because the title studies debt and debt-related factors using the Wealth and Assets Survey and links them to subjective wellbeing; Outcome Tracking because it asks about the impacts of debt on a downstream wellbeing outcome; no tag because no demographic-equity or COVID-19 lens is indicated.",,
2020/018,2020/018,Inequalities in the 21st Century – Chapter on Labour Market Inequality,"Office for National Statistics: Annual Population Survey, Annual Survey of Hours and Earnings, Labour Force Survey, Longitudinal Labour Force Survey & New Earnings Survey",2020-04-20,2020,ok,Labour Market & Employment,Descriptive Monitoring,,"Assigned Labour Market & Employment because the title is a chapter on labour market inequality and the datasets are labour, earnings and employment surveys; Descriptive Monitoring because the entry indicates measuring or characterising labour-market inequality rather than evaluating an intervention; no tag because the register entry does not specify a central demographic or pandemic comparison.",,
2020/019,2020/019,The impact of government expenditure on employment and wages: evidence from firm-level data for the UK,"Office for National Statistics: Annual Business Survey, Annual Respondents Database, Annual Survey of Hours and Earnings, Business Register and Employment Survey & Business Structure Database",2020-05-20,2020,ok,Public Finance & Taxation; Labour Market & Employment,Outcome Tracking,,Assigned Public Finance & Taxation and Labour Market & Employment because the title links government expenditure to employment and wages using firm and earnings data; Outcome Tracking because it estimates the impact of a public-spending exposure on labour-market outcomes without naming a specific policy or scheme; no tag because no demographic-equity or COVID-19 lens is indicated.,,
2020/020,2020/020,Business dynamism,Office for National Statistics: Business Structure Database,2020-04-20,2020,ok,Business & Productivity,Descriptive Monitoring,,Assigned Business & Productivity because the title is business dynamism and the Business Structure Database concerns firm structure and activity; Descriptive Monitoring because the entry suggests profiling or measuring business dynamism rather than testing an intervention or prediction; no tag because no demographic-equity or COVID-19 lens is indicated.,,
2020/021,2020/021,"The impact of the National Living Wage on Employment, Hours, Earnings and Household Income",Office for National Statistics: Annual Population Survey & Annual Survey of Hours and Earnings,2020-04-20,2020,ok,"Labour Market & Employment; Poverty, Wealth & Living Standards",Policy Evaluation / Impact Analysis,,"Assigned Labour Market & Employment and Poverty, Wealth & Living Standards because the title studies employment, hours, earnings and household income; Policy Evaluation / Impact Analysis because it evaluates the named National Living Wage policy; no tag because no demographic-equity or COVID-19 lens is indicated.",,
2020/022,2020/022,Digital skills in medium and associate professional job roles: An analysis of institutional data from English apprenticeship standard,Office for National Statistics: Annual Survey of Hours and Earnings,2020-04-20,2020,ok,Education & Skills; Labour Market & Employment,Descriptive Monitoring,,Assigned Education & Skills and Labour Market & Employment because the title analyses digital skills in English apprenticeship standards and medium and associate professional job roles using earnings data; Descriptive Monitoring because it characterises digital-skill content in occupational roles rather than evaluating a policy or tracking outcomes; no tag because no demographic-equity or COVID-19 lens is indicated.,,
2020/023,2020/023,"The determinants of performance-pay utilisation by firms and its consequences for firm behaviour, performance, and employee outcomes","Office for National Statistics: Business Structure Database, Annual Business Survey, Workplace Employment Relations Survey, International Trade in Services, Annual Survey of Hours and Earnings & Wealth and Assets Survey",2020-04-20,2020,ok,Business & Productivity; Labour Market & Employment,Outcome Tracking,,"Assigned Business & Productivity and Labour Market & Employment because the title studies firms’ performance-pay utilisation, firm behaviour and performance, and employee outcomes using firm, workplace and earnings datasets; Outcome Tracking because it examines determinants and consequences of performance-pay practices without a named intervention; no tag because no demographic-equity or COVID-19 lens is indicated.",,
2020/024,2020/024,Assessing the impact of UK Enterprise Zones,"Office for National Statistics: Annual Respondents Database, Annual Business Survey, Annual Survey of Hours and Earnings, Business Structure Database & Quarterly Labour Force Survey",2020-04-20,2020,ok,Business & Productivity; Labour Market & Employment,Policy Evaluation / Impact Analysis,,"Assigned Business & Productivity and Labour Market & Employment because UK Enterprise Zones are a business-support and local growth policy and the datasets include business, earnings and labour-force data; Policy Evaluation / Impact Analysis because the title explicitly assesses the impact of the named UK Enterprise Zones intervention; no tag because no demographic-equity or COVID-19 lens is indicated.",,
2020/025,2020/025,Modelling the regional implications of COVID-19 using the Enterprise Research Centre's longitudinal firm-level dataset based on the Business Structure Database,"Office for National Statistics: Business Structure Database, Longitudinal Inter-Departmental Business Register, International Trade in Services, Business Impact of COVID-19 Survey & E-Commerce Survey
Department for Business, Energy and Industrial Strategy: Community Innovation Survey",2020-04-20,2020,ok,Business & Productivity,Outcome Tracking,COVID-19 & Pandemic,"Assigned Business & Productivity because the title uses a longitudinal firm-level dataset and business, trade, e-commerce, innovation and COVID business-impact datasets to study regional firm implications; Outcome Tracking because it models the implications of COVID-19 for downstream firm or regional business outcomes; COVID-19 & Pandemic because COVID-19 is central in the title and dataset field.",,
2020/026,2020/026,Research on Digital Trade,Office for National Statistics: E-Commerce Survey & International Trade in Services,2020-04-20,2020,ok,Business & Productivity,Unclear from Register Entry,,"Assigned Business & Productivity because the title concerns digital trade and the datasets cover e-commerce and international trade in services; Unclear from Register Entry because the title does not reveal whether the research monitors, evaluates, predicts, or tests outcomes; no tag because no demographic-equity or COVID-19 lens is indicated.",,
2020/027,2020/027,COVID-19 Infection Survey,"Office for National Statistics: ONS COVID-19 Weekly Opinions Survey, Labour Force Survey, ONS Death Registrations Data
Office for National Statistics / University of Oxford / Valuation Office Agency / Ministry of Housing, Communities and Local Government: Covid-19 Infection Survey linked with VOA and EPC data
Office for National Statistics / University of Oxford: Covid-19 Infection Survey with National Immunisation Management Service, Covid-19 Infection Survey linked with Death Occurrences England and Wales
Office for National Statistics /
NHSD / University of Oxford: COVID-19 Infection Survey linked with Public Health Research Database",2020-04-28,2020,ok,Health & Social Care,Descriptive Monitoring,COVID-19 & Pandemic,"Assigned Health & Social Care because the title is the COVID-19 Infection Survey and the datasets include COVID-19 infection, immunisation and death occurrence data; Descriptive Monitoring because an infection survey is framed as measuring infection and related outcomes rather than evaluating an intervention; COVID-19 & Pandemic because COVID-19 is central in the title and datasets.",,
2020/028,2020/028,Population mobility and housing dynamics in the 21st Century,Office for National Statistics: Annual Population Survey & Labour Force Survey,2020-05-29,2020,ok,Migration & Demographics; Housing & Planning,Descriptive Monitoring,,Assigned Migration & Demographics and Housing & Planning because the title focuses on population mobility and housing dynamics; Descriptive Monitoring because the title indicates characterising mobility and housing patterns in the 21st century using APS/LFS data; no tag because no demographic-equity comparison or COVID-19 lens is explicit.,,
