item,scope,category,coder_id,record_id,count,denominator,proportion,majority_or_pattern,details
taxonomy_issue_type,coder_frequency,None,C02,,1,10,0.100000,,Historical candidate-0.3 categories retained without recoding
taxonomy_issue_type,coder_frequency,Other,C02,,2,10,0.200000,,Historical candidate-0.3 categories retained without recoding
taxonomy_issue_type,coder_frequency,Other,C03,,2,10,0.200000,,Historical candidate-0.3 categories retained without recoding
taxonomy_issue_type,coder_frequency,Too broad,C03,,1,10,0.100000,,Historical candidate-0.3 categories retained without recoding
cannot_assess_from_register_entry,overall_frequency,,,,0,30,0.000000,,
low_confidence_response,overall_frequency,,,,4,30,0.133333,,
triggered_note_completed,overall_frequency,,,,12,12,1.000000,,
COVID-19 & Pandemic,record_pattern,,,2019/015,0,3,0.000000,unanimous_negative,C01:0 | C02:0 | C03:0
COVID-19 & Pandemic,record_pattern,,,2021/038,0,3,0.000000,unanimous_negative,C01:0 | C02:0 | C03:0
COVID-19 & Pandemic,record_pattern,,,2021/056,0,3,0.000000,unanimous_negative,C01:0 | C02:0 | C03:0
COVID-19 & Pandemic,record_pattern,,,2021/063,0,3,0.000000,unanimous_negative,C01:0 | C02:0 | C03:0
COVID-19 & Pandemic,record_pattern,,,2021/103,0,3,0.000000,unanimous_negative,C01:0 | C02:0 | C03:0
COVID-19 & Pandemic,record_pattern,,,2022/034,3,3,1.000000,unanimous_positive,C01:1 | C02:1 | C03:1
COVID-19 & Pandemic,record_pattern,,,2022/130,0,3,0.000000,unanimous_negative,C01:0 | C02:0 | C03:0
COVID-19 & Pandemic,record_pattern,,,2024/248,0,3,0.000000,unanimous_negative,C01:0 | C02:0 | C03:0
COVID-19 & Pandemic,record_pattern,,,2025/027,0,3,0.000000,unanimous_negative,C01:0 | C02:0 | C03:0
COVID-19 & Pandemic,record_pattern,,,2025/181,0,3,0.000000,unanimous_negative,C01:0 | C02:0 | C03:0
COVID-19 & Pandemic,positive_count_by_coder,positive,C01,,1,10,0.100000,,
COVID-19 & Pandemic,positive_count_by_coder,positive,C02,,1,10,0.100000,,
COVID-19 & Pandemic,positive_count_by_coder,positive,C03,,1,10,0.100000,,
Demographic disparities / equity,record_pattern,,,2019/015,0,3,0.000000,unanimous_negative,C01:0 | C02:0 | C03:0
Demographic disparities / equity,record_pattern,,,2021/038,0,3,0.000000,unanimous_negative,C01:0 | C02:0 | C03:0
Demographic disparities / equity,record_pattern,,,2021/056,0,3,0.000000,unanimous_negative,C01:0 | C02:0 | C03:0
Demographic disparities / equity,record_pattern,,,2021/063,3,3,1.000000,unanimous_positive,C01:1 | C02:1 | C03:1
Demographic disparities / equity,record_pattern,,,2021/103,0,3,0.000000,unanimous_negative,C01:0 | C02:0 | C03:0
Demographic disparities / equity,record_pattern,,,2022/034,0,3,0.000000,unanimous_negative,C01:0 | C02:0 | C03:0
Demographic disparities / equity,record_pattern,,,2022/130,0,3,0.000000,unanimous_negative,C01:0 | C02:0 | C03:0
Demographic disparities / equity,record_pattern,,,2024/248,0,3,0.000000,unanimous_negative,C01:0 | C02:0 | C03:0
Demographic disparities / equity,record_pattern,,,2025/027,0,3,0.000000,unanimous_negative,C01:0 | C02:0 | C03:0
Demographic disparities / equity,record_pattern,,,2025/181,0,3,0.000000,unanimous_negative,C01:0 | C02:0 | C03:0
Demographic disparities / equity,positive_count_by_coder,positive,C01,,1,10,0.100000,,
Demographic disparities / equity,positive_count_by_coder,positive,C02,,1,10,0.100000,,
Demographic disparities / equity,positive_count_by_coder,positive,C03,,1,10,0.100000,,
