Project ID,Title,Researchers,Legal Basis,Datasets Used,Secure Research Service,Accreditation Date,Record ID,Year,Quarter,Quarter Label,substantive_domains,analytical_purpose,cross_cutting_tags,rationale,primary_domain
2019/013,TechNation programme evaluation,"Thomas Baily, Frontier Economics
Eli Daniels, Frontier Economics
Federico Cilauro, Frontier Economics",Digital Economy Act (2017),Office for National Statistics: Business Structure Database,Office for National Statistics Secure Research Service,2019-10-14,2019/013,2019,2019Q4,Q4 2019,Business & Productivity,Policy Evaluation / Impact Analysis,,Assigned Business & Productivity because the project evaluates a business-support programme (TechNation) using the Business Structure Database of firms; Policy Evaluation / Impact Analysis because the title explicitly states 'programme evaluation' of a named scheme; no tag because no demographic or pandemic lens is evident.,Business & Productivity
2019/014,"The contribution of digital economy in Wales, a measurement by an information and communications satellite account","Chen Xu, University of Cardiff",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey, Business Structure Database, Products of the European Community, Quarterly Acquisitions and Disposals of Capital Assets Survey, Living Costs and Food Survey, International Trade in Services, Business Expenditure on Research and Development, E-Commerce Survey, Annual Survey of Goods and Services",Office for National Statistics Secure Research Service,2019-11-19,2019/014,2019,2019Q4,Q4 2019,Business & Productivity,Methodological / Infrastructure Research; Descriptive Monitoring,,"Assigned Business & Productivity because the project measures the contribution of the digital economy in Wales using business surveys (ABS, BSD, R&D, e-commerce, trade in services); Methodological / Infrastructure Research and Descriptive Monitoring because it constructs a satellite account as a measurement framework to quantify the sector's economic contribution; no tag because no demographic or pandemic lens is evident.",Business & Productivity
2019/015,Understanding saving behaviour in the UK,"Zoe Oldfield, Institute for Fiscal Studies
Carl Emmerson, Institute for Fiscal Studies
Polly Simpson, Institute for Fiscal Studies
David Sturrock, Institute for Fiscal Studies
Laurence O'Brien, Institute for Fiscal Studies
Heidi Karjalainen, Institute for Fiscal Studies
Beatrice	Boileau, Institute for Fiscal Studies",Digital Economy Act (2017),Office for National Statistics: Wealth and Assets Survey & Annual Survey of Hours and Earnings,Office for National Statistics Secure Research Service,2019-11-19,2019/015,2019,2019Q4,Q4 2019,"Poverty, Wealth & Living Standards",Descriptive Monitoring,,"Assigned Poverty, Wealth & Living Standards because the project studies household saving behaviour using the Wealth and Assets Survey; Descriptive Monitoring because 'understanding saving behaviour' indicates profiling patterns and characteristics of saving rather than testing a named intervention; no tag because no pandemic framing or central demographic comparison is evident.","Poverty, Wealth & Living Standards"
2019/016,Homeownership of the young,"Belinda Tracey, Bank of England
Veronica Veggente,
Bank of England",Digital Economy Act (2017),"Office for National Statistics: Living Costs and Food Survey, Business Structure Database, Retail Price Index",Office for National Statistics Secure Research Service,2019-12-12,2019/016,2019,2019Q4,Q4 2019,Housing & Planning,Descriptive Monitoring,,"Assigned Housing & Planning because homeownership among young people is the substantive object, supported by household expenditure and price data; Descriptive Monitoring because the entry indicates profiling levels and patterns of youth homeownership rather than testing an exposure or evaluating a policy; no tag because 'the young' defines the study population rather than a central demographic comparison.",Housing & Planning
2019/017,"The spatial distribution of UK Foreign Direct Investment : causes, effects, and policy","Fragkiskos Danelakis, Department for International Trade
Elizabeth McCrea,
Department for International Trade
David Baker,
Department for International Trade
Sabiha Ahmed,
Department for International Trade
Kit Angel-Scott,
Department for International Trade
Sophie Haldane,
Department for International Trade",Digital Economy Act (2017),"Office for National Statistics: Annual Outward Foreign Direct Investment Survey, Mergers and Acquisitions, Annual Respondents Database, Business Structure Database, Business Structure Database Longitudinal, Annual Business Survey, Business Enterprise Research and Development, Business Register and Employment Survey, International Trade in Services Survey & Quarterly Acquisitions and Disposals of Capital Assets Survey
Department for Business, Energy & Industrial Strategy: Community Innovation Survey “ United Kingdom Innovation Survey Data given for all available years unless otherwise stated.",Office for National Statistics Secure Research Service,2019-11-19,2019/017,2019,2019Q4,Q4 2019,Business & Productivity,Outcome Tracking; Descriptive Monitoring,,"Assigned Business & Productivity because the project studies foreign direct investment by UK firms using FDI, mergers, business register and innovation surveys; Outcome Tracking and Descriptive Monitoring because the title indicates analysing causes and effects of FDI alongside characterising its spatial distribution; no tag because no demographic or pandemic lens is evident.",Business & Productivity
2019/018,Foreign Direct Disinvestment: causes and effects,"Anuj Mathew, Department for International Trade
Palitha Konara, University of Sussex
Nicolo Tamberi, University of Sussex
Elizabeth McCrea,
Department for International Trade
Matthew Needham,
Department for International Trade
Sabiha Ahmed,
Department for International Trade
David Baker,
Department for International Trade",Digital Economy Act (2017),"Office for National Statistics: Annual Outward Foreign Direct Investment Survey, Mergers and Acquisitions, Annual Respondents Database, Business Structure Database, Business Structure Database Longitudinal, Annual Business Survey, Business Enterprise Research and Development, Business Register and Employment Survey, International Trade in Services Survey & Quarterly Acquisitions and Disposals of Capital Assets Survey
Department for Business, Energy & Industrial Strategy: Community Innovation Survey “ United Kingdom Innovation Survey Data given for all available years unless otherwise stated.",Office for National Statistics Secure Research Service,2019-11-22,2019/018,2019,2019Q4,Q4 2019,Business & Productivity,Outcome Tracking,,"Assigned Business & Productivity because foreign direct disinvestment by firms is the substantive object, analysed with FDI, mergers and firm-level business surveys; Outcome Tracking because the title frames the analysis as 'causes and effects' of a naturally occurring firm event rather than a named policy; no tag because no demographic or pandemic lens is evident.",Business & Productivity
2019/019,Improving Regional Economic Indicators Regional Consumer Prices,"Christopher Jenkins, Competition and Markets Authority
Kevin Connolly, University of Strathclyde
Aureo De Paula,
University College London",Digital Economy Act (2017),Office for National Statistics: Living Cost and Food Survey,Office for National Statistics Secure Research Service,2019-11-19,2019/019,2019,2019Q4,Q4 2019,Data Infrastructure & Methodology,Methodological / Infrastructure Research,,"Assigned Data Infrastructure & Methodology because the object of the project is the improvement of regional consumer price indicators themselves, using the Living Costs and Food Survey; Methodological / Infrastructure Research because the analytical operation is developing and improving statistical indicators; no tag because no demographic or pandemic lens is evident.",Data Infrastructure & Methodology
2019/020,"Housing, family and environmental risk factors for hospital admissions in children","Pia Hardelid, University College London
Linda Wijlaars, University College London
Philip Symonds,
University College London
Kate Lewis,
University College London",Digital Economy Act (2017),Office for National Statistics: Death Registrations & Census 2011: Household Sample,Office for National Statistics Secure Research Service,2019-11-27,2019/020,2019,2019Q4,Q4 2019,Health & Social Care; Housing & Planning,Outcome Tracking,,"Assigned Health & Social Care because hospital admissions in children are the outcome, and Housing & Planning because housing conditions are a central exposure alongside family and environmental factors; Outcome Tracking because the design links naturally occurring risk factors to hospital admissions rather than building a prediction model; no tag because demographic comparison and pandemic framing are not central.",Health & Social Care
2019/021,"Social and Economic Predictors of the severe mental disorders, the SEP-MD study. Analysis of linked data from southeast London, UK","Jayati Das-Munshi, King's College London
Lukasz Cybulski, King's College London
Rosanna Hildersley, King's College London",Digital Economy Act (2017),Office for National Statistics: Census 2011 & Death Registrations,Office for National Statistics Secure Research Service,2019-03-12,2019/021,2019,2019Q1,Q1 2019,Health & Social Care,Outcome Tracking,,"Assigned Health & Social Care because severe mental disorders are the central outcome, studied via linked census and death registration data; Outcome Tracking because the project analyses social and economic predictors as exposures associated with mental disorder outcomes, without a prospective prediction or screening design; no tag because socioeconomic position alone does not meet the demographic disparities threshold.",Health & Social Care
2019/022,Research on homeless mortality among St Mungo's clients,"David Wilson, St Mungo's",Digital Economy Act (2017),Office for National Statistics: Death Registrations,Office for National Statistics Secure Research Service,2019-12-12,2019/022,2019,2019Q4,Q4 2019,Health & Social Care; Housing & Planning,Descriptive Monitoring,,"Assigned Health & Social Care because mortality is studied as a health outcome using death registrations, and Housing & Planning because homelessness among St Mungo's clients is central to the research question; Descriptive Monitoring because the visible operation is measuring mortality levels and patterns among a homeless client population rather than testing an intervention; no tag because no demographic or pandemic lens is evident.",Health & Social Care
2019/023,Economic environment and child development,"Cheti Nicoletti,
University of York
Charles Simpson,
University College London,
Samantha Hajna, University College London
Glory Atilola, University College London",Digital Economy Act (2017),Office for National Statistics: Labour Force Survey,Office for National Statistics Secure Research Service,2019-12-12,2019/023,2019,2019Q4,Q4 2019,Labour Market & Employment; Health & Social Care,Outcome Tracking,,"Assigned Labour Market & Employment because the economic environment, measured through the Labour Force Survey, is the central exposure, and Health & Social Care because child development is the downstream outcome studied; Outcome Tracking because the design links naturally occurring economic conditions to child developmental outcomes; no tag because no demographic or pandemic lens is evident.",Labour Market & Employment
2019/024,The Right to Buy: Migration and Gentrification,"Iain Bamford, Columbia University",Digital Economy Act (2017),Office for National Statistics: Longitudinal Study,Office for National Statistics Secure Research Service,2019-12-19,2019/024,2019,2019Q4,Q4 2019,Housing & Planning; Migration & Demographics,Policy Evaluation / Impact Analysis,,Assigned Housing & Planning and Migration & Demographics because the project examines the Right to Buy housing policy in relation to migration and gentrification using the ONS Longitudinal Study; Policy Evaluation / Impact Analysis because the Right to Buy is a specific named policy whose consequences are being analysed; no tag because no pandemic framing or central demographic equality comparison is present.,Housing & Planning
2019/025,Understanding the uptake and use of the Northern Ireland Concessionary Fares Scheme for the population aged 60 and over,"Jos IJpelaar, Northern Ireland Statistics and Research Agency
John Hughes, Northern Ireland Statistics and Research Agency",Digital Economy Act (2017),"Northern Ireland Statistics and Research Agency: Census 2011 & Census 2011
Northern Ireland Registrar General's Office: Registered Deaths",Northern Ireland Statistics and Research Agency,2020-02-14,2019/025,2020,2020Q1,Q1 2020,"Poverty, Wealth & Living Standards",Service Interaction / Systems Analysis,,"Assigned Poverty, Wealth & Living Standards because the project studies uptake and use of a concessionary fares benefit scheme for older people, a form of state-provided material support; Service Interaction / Systems Analysis because 'uptake and use' of the scheme by the eligible population is the central analytical operation; no tag because age defines the eligible population rather than a central demographic comparison.","Poverty, Wealth & Living Standards"
2019/026,Migration Observatory analysis of EU and non-EU migration in the UK,"Madeleine Sumption, University of Oxford
Denis Kierans, University of Oxford",Digital Economy Act (2017),"Office for National Statistics: Annual Population Survey, Annual Population Survey & Labour Force Survey",Office for National Statistics Secure Research Service,2020-03-01,2019/026,2020,2020Q1,Q1 2020,Migration & Demographics,Descriptive Monitoring,,"Assigned Migration & Demographics because the project analyses EU and non-EU migration to the UK using Annual Population Survey and Labour Force Survey data; Descriptive Monitoring because Migration Observatory analysis characterises migration levels, composition and trends without testing an exposure-outcome relationship; no tag because the comparison of EU/non-EU flows is a migration-pattern analysis rather than an equity-focused group comparison.",Migration & Demographics
2020/001,How does tax affect incorporation and business outcomes?,"Kate Smith, Institute for Fiscal Studies",Digital Economy Act (2017),"Department for Business, Energy and Industrial Strategy: Longitudinal Small Business Survey & Small Business Survey",Office for National Statistics Secure Research Service,2020-01-17,2020/001,2020,2020Q1,Q1 2020,Public Finance & Taxation; Business & Productivity,Policy Evaluation / Impact Analysis,,"Assigned Public Finance & Taxation and Business & Productivity because the project examines how tax affects incorporation decisions and business outcomes using small business survey data; Policy Evaluation / Impact Analysis because tax, a deliberate fiscal policy instrument, is the exposure whose effects on firm behaviour are being estimated; no tag because no demographic or pandemic lens is present.",Public Finance & Taxation
2020/002,Evaluation of the Energy Entrepreneurs Fund,"James Kearney, Ipsos MORI
Chris Hale, Ipsos MORI
Marc Tully, Ipsos MORI",Digital Economy Act (2017),"Office for National Statistics: Business Enterprise Research and Development, Business Structure Database, Annual Business Survey & Annual Survey of Hours and Earnings",Office for National Statistics Secure Research Service,2020-03-02,2020/002,2020,2020Q1,Q1 2020,Business & Productivity,Policy Evaluation / Impact Analysis,,"Assigned Business & Productivity because the Energy Entrepreneurs Fund is a business-support programme and the datasets (Business Structure Database, Business Enterprise R&D, Annual Business Survey) indicate firm-level performance and innovation outcomes; Policy Evaluation / Impact Analysis because the title explicitly states an evaluation of a named fund; no tag because neither demographic comparison nor pandemic conditions are central.",Business & Productivity
2020/003,"Spatial sorting in housing and employment: impact of public investments, planning decisions, housing subsidies, and business rates","Lars Nesheim, University College London",Digital Economy Act (2017),"Office for National Statistics: Annual Survey of Hours and Earnings, Census 2011 England and Wales: Individual Sample, Census 2011 Origin/Destination: Flow data & Business Impact of COVID-19 Survey",Office for National Statistics Secure Research Service,2020-01-17,2020/003,2020,2020Q1,Q1 2020,Housing & Planning; Labour Market & Employment; Public Finance & Taxation,Policy Evaluation / Impact Analysis,,"Assigned Housing & Planning, Labour Market & Employment and Public Finance & Taxation because the project studies spatial sorting in housing and employment driven by public investments, planning decisions, housing subsidies and business rates; Policy Evaluation / Impact Analysis because the title explicitly assesses the impact of named policy instruments; no tag because the COVID-19 business survey appears as a data source rather than a central pandemic lens.",Housing & Planning
2020/004,Medina Valley Marine Sector Proposition and Funding,"Joshua Harding-Jones, Hardisty Jones Associates",Digital Economy Act (2017),Office for National Statistics: Business Structure Database,Office for National Statistics Secure Research Service,2020-01-17,2020/004,2020,2020Q1,Q1 2020,Business & Productivity,Descriptive Monitoring,,Assigned Business & Productivity because the project profiles the marine business sector in the Medina Valley using the Business Structure Database; Descriptive Monitoring because the analytical operation is to characterise the sector's composition to support a funding proposition rather than test relationships or evaluate an intervention; no tag because no demographic or pandemic lens is present.,Business & Productivity
2020/005,The interplay between bridging and bonding social capital in shaping diversity and entrepreneurial activity across the UK local communities,"Tomasz Mickiewicz, BOP Consulting
Julia Korosteleva, University College London
Mario Davide Parrilli, University of Bournemouth",Digital Economy Act (2017),"Department for Business, Energy and Industrial Strategy: Longitudinal Small Business Survey
Institute for Social and Economic Research:
Understanding Society: UK Household Longitudinal Study Mainstage Survey Wave 9 &
Understanding Society: UK Household Longitudinal Study Mainstage Survey Wave 6",Office for National Statistics Secure Research Service,2020-01-17,2020/005,2020,2020Q1,Q1 2020,Business & Productivity,Outcome Tracking,,"Assigned Business & Productivity because entrepreneurial activity across UK local communities is the central outcome, studied with the Longitudinal Small Business Survey; Outcome Tracking because the project links naturally occurring social capital (bridging and bonding) to entrepreneurial outcomes; no tag because community diversity is studied as a contextual mechanism rather than a central demographic-equity comparison.",Business & Productivity
2020/006,Parental separation and educational inequality: any evidence for growing disadvantage or 'diverging destinies' across three recent cohorts?,"Lewis Anderson,
University of Oxford
Christiaan Monden,
University of Oxford
Rachel Stuchbury, London School of Economics",Digital Economy Act (2017),Office for National Statistics: Longitudinal Study of England and Wales,Office for National Statistics Secure Research Service,2020-04-15,2020/006,2020,2020Q2,Q2 2020,Education & Skills,Outcome Tracking,,Assigned Education & Skills because the outcome is educational inequality and disadvantage across cohorts; Outcome Tracking because parental separation is a naturally occurring family exposure linked to downstream educational outcomes using the ONS Longitudinal Study; no tag because family structure comparison is not a demographic equality-group comparison and no pandemic framing exists.,Education & Skills
2020/007,Business Succession in Wales,"Nikolaos Kapitsinis, University of Cardiff",Digital Economy Act (2017),"Office for National Statistics: Business Structure Database, Annual Business Survey
Department for Business, Energy and Industrial Strategy: Small Business Survey & Longitudinal Small Business Survey",Office for National Statistics Secure Research Service,2020-04-15,2020/007,2020,2020Q2,Q2 2020,Business & Productivity,Descriptive Monitoring,,"Assigned Business & Productivity because business succession among Welsh firms is the substantive object, using Business Structure Database and small business surveys; Descriptive Monitoring because the entry indicates profiling the prevalence and characteristics of business succession rather than testing an exposure-outcome relationship or evaluating a named policy; no tag because no demographic or pandemic lens is present.",Business & Productivity
2020/008,Contextualised Admissions and University Choice,"Sonkurt Kemal Sen, University of Essex
Emilia Del Bono, University of Essex
Angus Holford, University of Essex
Ryan Smith,
Office for National Statistics",Digital Economy Act (2017),UCAS: Universities and Colleges Admissions Service,Office for National Statistics Secure Research Service,2020-03-16,2020/008,2020,2020Q1,Q1 2020,Education & Skills,Policy Evaluation / Impact Analysis,,"Assigned Education & Skills because university admissions and applicant choice are the substantive focus, evidenced by UCAS admissions data; Policy Evaluation / Impact Analysis because contextualised admissions is a deliberate admissions policy whose consequences for university choice are being analysed; no tag because socioeconomic context alone does not meet the demographic-equity threshold.",Education & Skills
2020/009,Panel conditioning and rotation group bias effects in business surveys,"Paul Smith,
University of Southampton",Digital Economy Act (2017),Office for National Statistics: Monthly Business Survey & all future releases,Office for National Statistics Secure Research Service,2020-03-16,2020/009,2020,2020Q1,Q1 2020,Data Infrastructure & Methodology,Methodological / Infrastructure Research,,Assigned Data Infrastructure & Methodology because panel conditioning and rotation group bias in the Monthly Business Survey make survey measurement itself the substantive object; Methodological / Infrastructure Research because the analytical operation is testing and documenting survey-design bias effects; no tag because no demographic or pandemic lens is present.,Data Infrastructure & Methodology
2020/010,Local labour market effects of immigration,"Andrew Aitken, National Institute for Economic and Social Research",Digital Economy Act (2017),"Office for National Statistics: Annual Population Survey, Quarterly Labour Force Survey & Annual Survey of Hours and Earnings
Institute for Economic and Social Research: Understanding Society",Office for National Statistics Secure Research Service,2020-03-16,2020/010,2020,2020Q1,Q1 2020,Labour Market & Employment; Migration & Demographics,Outcome Tracking,,"Assigned Labour Market & Employment and Migration & Demographics because the project studies immigration's effects on local labour markets using APS, LFS and ASHE earnings data; Outcome Tracking because immigration is a naturally occurring exposure linked to downstream labour-market outcomes rather than a named policy; no tag because migrant status is the exposure rather than a central equity comparison.",Labour Market & Employment
2020/011,Innovation analysis for Knowledge Transfer Network,"Stuart Thompson, Knowledge Transfer Network
James Currer,
Innovate UK",Digital Economy Act (2017),"Office for National Statistics: Business Enterprise Research and Development, E-Commerce Survey, Labour Force Survey Person, Survey of Innovation and Patent Use, Business Structure Database & Longitudinal Business Structure Database
Department for Business, Energy and Industrial Strategy: Longitudinal Small Business Survey
Department for Business, Energy and Industrial Strategy: Community Innovation Survey",Office for National Statistics Secure Research Service,2020-03-16,2020/011,2020,2020Q1,Q1 2020,Business & Productivity,Descriptive Monitoring,,"Assigned Business & Productivity because the project analyses innovation using firm-level datasets such as the Survey of Innovation and Patent Use, Business Enterprise R&D and the Community Innovation Survey; Descriptive Monitoring because 'innovation analysis' for the Knowledge Transfer Network indicates profiling and characterising innovation activity rather than testing an exposure-outcome relationship; no tag because no demographic or pandemic lens is central.",Business & Productivity
2020/012,Wage progression and firm productivity,"Rachel Griffith, Institute for Fiscal Studies
Robert Joyce, Institute for Fiscal Studies
Xiaowei Xu, Institute for Fiscal Studies
Wenchao Jin, Institute for Fiscal Studies",Digital Economy Act (2017),"Office for National Statistics: Annual Business Inquiry, Annual Inquiry into Foreign Direct Investment, Annual Respondents DatabaseX, Annual Respondents Database, Annual Survey of Hours and Earnings, Business Expenditure on Research and Development, Business Impact of COVID-19 Survey, Business Register Employment Survey, Business Structure Database, Business Structure Database Longitudinal, Capital Stocks, Financial Assets and Liabilities Survey, Interdepartmental Business Register, Investment in Intangible Assets, International Trade in Services, Labour Force Survey, Monthly Wage and Salary Survey, New Earnings Survey, Quarterly Capital Expenditure Survey, Survey of Innovation and Patent Use, Vacancy Survey, ASHE
Intellectual Property Office: Patents, Designs and Trade Marks
Department for Education: National
Department for Business, Energy and Industrial Strategy: Employer Skills Survey & Workplace Employment Relations Survey
Department for Business, Energy and Industrial Strategy: Small Business Survey Longitudinal
Department for Business, Energy and Industrial Strategy: Community Innovation Survey",Office for National Statistics Secure Research Service,2020-03-16,2020/012,2020,2020Q1,Q1 2020,Labour Market & Employment; Business & Productivity,Outcome Tracking,,"Assigned Labour Market & Employment and Business & Productivity because the title links wage progression (ASHE, LFS) to firm productivity using extensive firm-level datasets (ARD, BSD, business R&D); Outcome Tracking because the design connects a naturally occurring firm characteristic (productivity) to worker wage outcomes; no tag because the Business Impact of COVID-19 Survey appears only as one of many datasets, not a central pandemic framing.",Labour Market & Employment
2020/013,Firm-level analysis of research and development,"Joelle Tasker, Office for National Statistics
Elizabeth Taylor, Office for National Statistics
Christina Palmou, Office for National Statistics",Digital Economy Act (2017),"Office for National Statistics: Business Expenditure on Research and Development - England, Wales and Scotland, Business Structure Database, Business Structure Database Longitudinal, Annual Business Survey, Annual Respondent Database 2
Intellectual Property Office: Patents, Designs and Trade Marks
Office for National Statistics /
Department for Business, Energy and Industrial Strategy: Covid-19 Infection Survey linked with UK Innovation Survey",Office for National Statistics Secure Research Service,2020-03-16,2020/013,2020,2020Q1,Q1 2020,Business & Productivity,Descriptive Monitoring,,"Assigned Business & Productivity because the project analyses firm-level research and development using business R&D expenditure, business structure and patent data; Descriptive Monitoring because the title indicates characterising firm R&D activity rather than testing a specific exposure or named intervention; no tag because the COVID-19 linked survey is incidental to the visible research question.",Business & Productivity
2020/014,UK Competition Indicators,"Richard Havell, Competition and Markets Authority
Bina Prajapati, Competition and Markets Authority
John D'Souza, Competition and Markets Authority
David Deller,
University of West Anglia
Riccardo Ferrari,
Competition and Markets Authority
Joseph Carr,
University of East Anglia
Hussein Farook,
Competition and Markets Authority
Joseph Carr,
Competition and Markets Authority
Ben Campbell, Competition and Markets Authority
Jakob Schneebacher, Competition and Markets Authority
Ivan Olszak, University of London
Alex Hodnett, Competition and Markets Authority
Samir Doshi, Competition and Markets Authority",Digital Economy Act (2017),"Office for National Statistics: Business Structure Database, Annual Respondents Database , Annual Respondents Database X , Longitudinal Inter-Departmental Business Register, Business Register Employment Survey, Business Expenditure on Research and Development, Annual Business Survey, Producer Price Index & Business Impact of COVID-19 Survey
Department for Business, Energy and Industrial Strategy: Community Innovation Survey",Office for National Statistics Secure Research Service,2020-03-24,2020/014,2020,2020Q1,Q1 2020,Business & Productivity,Descriptive Monitoring,,"Assigned Business & Productivity because the project measures market competition using firm-level datasets (BSD, ARD, ABS, Producer Price Index); Descriptive Monitoring because constructing 'UK Competition Indicators' is a measurement and trend-profiling operation rather than an exposure-outcome test; no tag because COVID-19 data are incidental and no demographic comparison is central.",Business & Productivity
