Project ID,Record ID,Title,Datasets Used,substantive_domains,linkage_mode,analytical_purpose,primary_domain,n_providers,n_datasets,is_flagged,human_domain,human_linkage,human_purpose,notes
2021/032,2021/032,Non-monetary Work Benefits: Implications for the UK Gender Pay Gap,Office for National Statistics: Annual Survey of Hours and Earnings ,"Gender, Race & Ethnicity; Labour Market & Employment",Single-Dataset,Inequality / Disparities Analysis,"Gender, Race & Ethnicity",1,1,True,,,,
2021/113,2021/113,Ethnic pay gaps in the public sector,Office for National Statistics: Annual Population Survey ,"Gender, Race & Ethnicity; Labour Market & Employment",Single-Dataset,Inequality / Disparities Analysis,"Gender, Race & Ethnicity",1,1,True,,,,
2021/116,2021/116,The gender gap in pay progression: job mobility and job ladders,Office for National Statistics: Business Structure Database ,"Gender, Race & Ethnicity; Labour Market & Employment",Single-Dataset,Inequality / Disparities Analysis,"Gender, Race & Ethnicity",1,1,True,,,,
2022/094,2022/094,Regional UK Gender Pay Gaps,Office for National Statistics: Annual Survey of Hours and Earnings UK ,"Gender, Race & Ethnicity; Labour Market & Employment",Single-Dataset,Inequality / Disparities Analysis,"Gender, Race & Ethnicity",1,1,True,,,,
2021/005,2021/005,Occupational segregation by ethnicity: the impact of regional job availability on occupational choice,"Office for National Statistics: Census 1961, Census 1971, Census 1981, Census 1991, Census 2001, Census 2011 & Labour Force Survey  ","Gender, Race & Ethnicity; Labour Market & Employment",Within-Domain Linkage,Inequality / Disparities Analysis,"Gender, Race & Ethnicity",1,7,True,,,,
2021/063,2021/063,Gender Pay Gap,"Office for National Statistics: Annual Survey of Hours and Earnings, Business Structure Database  & Annual Business Survey ","Gender, Race & Ethnicity; Labour Market & Employment",Within-Domain Linkage,Inequality / Disparities Analysis,"Gender, Race & Ethnicity",1,3,True,,,,
2021/099,2021/099,"Gender Inequality, Artificial Intelligence, and Migration in the UK",Office for National Statistics: Annual Survey of Hours and Earnings  & Quarterly Labour Force Survey ,"Gender, Race & Ethnicity; Labour Market & Employment; Migration & Demographics",Within-Domain Linkage,Inequality / Disparities Analysis,"Gender, Race & Ethnicity",1,2,True,,,,
2019/016,2019/016,Homeownership of the young,"Office for National Statistics: Living Costs and Food Survey, Business Structure Database, Retail Price Index ",Housing & Planning,Within-Domain Linkage,Descriptive Monitoring,Housing & Planning,1,3,True,,,,
2020/046,2020/046,Wage and employment dynamics,"Office for National Statistics: Annual Survey for Hours and Earnings, New Earnings Survey, Annual Survey for Hours and Earnings  / Census  linked dataset, Business Structure Database, Annual Population Survey ",Labour Market & Employment,Cross-Domain Linkage,Descriptive Monitoring,Labour Market & Employment,1,5,True,,,,
2021/107,2021/107,Assessing Equality Pay Gaps in Northern Ireland,Office for National Statistics / Northern Ireland Statistics and Research Agency: Linked NI Census-ASHE ,"Labour Market & Employment; Gender, Race & Ethnicity",Cross-Domain Linkage,Inequality / Disparities Analysis,Labour Market & Employment,1,1,True,,,,
2021/102,2021/102,Social and Spatial Mobility,"Office for National Statistics: New Earnings Survey Panel Dataset, Annual Survey of Hours and Earnings, Annual Respondents Database, Annual Business Survey, Business Structure Database 
Institute for Social and Economic Research: Understanding Society, Waves 1-9,  and Harmonised BHPS, Waves 1-18, BHPS, Waves 1-18 ","Labour Market & Employment; Poverty, Inequality & Living Standards",Cross-Domain Linkage,Life-Course / Trajectory Analysis; Inequality / Disparities Analysis,Labour Market & Employment,2,11,True,,,,
2021/020,2021/020,Economic scarring from the COVID-19 induced crisis: monitoring inequality in economic and education outcomes. Enhancing impact of UKRI social mobility research with TRE data to inform national response,"Office for National Statistics: Business Impact of COVID-19 Survey, Coronavirus and the social impacts on Great Britain, Labour Force Survey - Household, Longitudinal and Person  ","Labour Market & Employment; Education & Skills; COVID-19 & Pandemic; Poverty, Inequality & Living Standards",Within-Domain Linkage,Inequality / Disparities Analysis; Descriptive Monitoring,Labour Market & Employment,1,4,True,,,,
2021/105,2021/105,UK Immigration,Office for National Statistics: Quarterly Labour Force Survey ,Migration & Demographics; Labour Market & Employment,Single-Dataset,Descriptive Monitoring,Migration & Demographics,1,1,True,,,,
2021/137,2021/137,HACT's UK Social Value Bank,"Office for National Statistics: Crime Survey for England and Wales 
Institute for Economic and Social Research: Understanding Society  and Harmonised BHPS 
","Poverty, Inequality & Living Standards",Cross-Domain Linkage,Methodological / Infrastructure Research,"Poverty, Inequality & Living Standards",2,2,True,,,,
2021/050,2021/050,Cohort Comparisons of Wealth,Office for National Statistics: Wealth and Assets Survey Great Britain ,"Poverty, Inequality & Living Standards",Single-Dataset,Descriptive Monitoring,"Poverty, Inequality & Living Standards",1,1,True,,,,
2021/008,2021/008,Income Inequality,"Office for National Statistics: Annual Population Survey - Person & Households, Annual Survey of Hours and Earnings ","Poverty, Inequality & Living Standards",Within-Domain Linkage,Inequality / Disparities Analysis,"Poverty, Inequality & Living Standards",1,3,True,,,,
2021/103,2021/103,AMPHoRA ,Office for National Statistics: Living Costs and Food Survey ,Unclear from Title,Single-Dataset,Unclear from Title,Unclear from Title,1,1,True,,,,
2020/116,2020/116,"The local impact of BIntegrated Data Service

","Office for National Statistics: Business Structure Database, Annual Business Survey, Business Register and Employment Survey, Annual Survey of Hours and Earnings, Monthly Wages and Salaries Survey  & Quarterly Labour Force Survey ",Business & Productivity; Labour Market & Employment,Cross-Domain Linkage,Descriptive Monitoring,Business & Productivity,1,6,False,,,,
2022/119,2022/119,Open Innovation and Start-Up Firms,Office for National Statistics: UK Innovation Survey ,Business & Productivity,Single-Dataset,Descriptive Monitoring,Business & Productivity,1,1,False,,,,
2023/077,2023/077,Agglomeration across European economies,"Office for National Statistics: Annual Survey of Hours and Earnings Longitudinal - UK, Annual Business Survey - UK, Annual Respondents Database x - UK, Business Structure Database - UK",Business & Productivity,Within-Domain Linkage,Descriptive Monitoring,Business & Productivity,1,4,False,,,,
2020/063,2020/063,Identifying flare ups of the COVID-19 infection across the UK,"Office for National Statistics: COVID-19 Weekly Opinions Survey, Labour Force Survey, ONS Death Registrations Data, 2020 Wave 1 Labour Force Survey  
UCAS: Universities and Colleges Admissions Service Data 
Office for National Statistics / University of Oxford: COVID-19 Infection Survey ",COVID-19 & Pandemic; Health & Social Care,Cross-Domain Linkage,Descriptive Monitoring; Risk Prediction / Early Identification,COVID-19 & Pandemic,2,5,False,,,,
2021/021,2021/021,"The association between smoking, nicotine and COVID-19 infection in the UK: A trend analysis ",Office for National Statistics / University of Oxford: Covid-19 Infection Survey ,COVID-19 & Pandemic; Health & Social Care,Single-Dataset,Descriptive Monitoring,COVID-19 & Pandemic,1,1,False,,,,
2020/087,2020/087,COVID-19 & Social Inequalities,"Office for National Statistics: Census 2011 England and Wales Household structure for COVID-19 models, Coronavirus and the social impacts on Great Britain, Death registration data - Provisional Monthly Extracts  & Death Registrations England and Wales ","COVID-19 & Pandemic; Poverty, Inequality & Living Standards",Within-Domain Linkage,Inequality / Disparities Analysis,COVID-19 & Pandemic,1,4,False,,,,
2022/178,2022/178,The impact of Intimate Partner Violence  on children's risky and antisocial behaviour,"Office for National Statistics: Quarterly Labour Force Survey, Annual Population Survey Household, Annual Population Survey, Annual Survey of Hours and Earnings ",Crime & Justice; Labour Market & Employment,Cross-Domain Linkage,Outcome Tracking,Crime & Justice,1,4,False,,,,
2021/089,2021/089,Estimating the subjective wellbeing impact of scams,Office for National Statistics: Crime Survey for England and Wales ,Crime & Justice,Single-Dataset,Outcome Tracking,Crime & Justice,1,1,False,,,,
2025/179,2025/179,Estimation of victim well-being benefits from crime outcomes,"Office for National Statistics: Crime Survey for England and Wales,
Telephone-Operated Crime Survey for England and Wales",Crime & Justice,Within-Domain Linkage,Outcome Tracking,Crime & Justice,1,2,False,,,,
2024/206,2024/206,Exploring enriched metadata types and formats to enable more timely research project applications and feasibility evaluation of federated research,"Offcie for National Statistics & NMC: Nursing and Midwifery Council Register - UK Linked to Census 2021,
Street Level Crime for England, Wales and Northern Ireland",Data Infrastructure & Methodology,Cross-Domain Linkage,Methodological / Infrastructure Research,Data Infrastructure & Methodology,1,3,False,,,,
2025/077,2025/077,Mode effects and data quality of occupational coding in UK household surveys,"Office for National Statistics: Census Non Response Link 
Study 2021 England and Wales indexed
",Data Infrastructure & Methodology,Single-Dataset,Methodological / Infrastructure Research,Data Infrastructure & Methodology,1,1,False,,,,
2023/214,2023/214,Better outcomes through linked data - BOLD,,Data Infrastructure & Methodology,Unclear from Title,Methodological / Infrastructure Research,Data Infrastructure & Methodology,0,0,False,,,,
2022/153,2022/153,ESCoE: Developing a systematic framework and method for including voluntary and no-profit organisation is NPISH and National Accounts,"Office for National Statistics: Bespoke - National Council for Voluntary Organisations, Labour Force Survey Household, Understanding Society BHPS, Understanding Society UKHLS ",Data Infrastructure & Methodology; Public Finance & Taxation,Within-Domain Linkage,Methodological / Infrastructure Research,Data Infrastructure & Methodology,1,4,False,,,,
2021/142,2021/142,Work while in education,"Office for National Statistics: Annual Survey of Hours and Earnings 
Institute for Economic and Social Research: Understanding Society: Waves 1-10  and Harmonised BHPS: Waves 1-18 ",Education & Skills; Labour Market & Employment,Cross-Domain Linkage,Descriptive Monitoring,Education & Skills,3,3,False,,,,
2023/004,2023/004,Educational pathways and outcomes for children who are looked after: a population-scale data linkage study,SAIL Databank Databank: 2011 Census Data,Education & Skills; Health & Social Care,Single-Dataset,Life-Course / Trajectory Analysis,Education & Skills,1,1,False,,,,
2024/201,2024/201,Causal impacts of the resit policy environment,"Qualifications Wales, Department For Education, University and Colleges Admission Service: GRading and Admissions Data England-Ofqual-DfE-UCAS",Education & Skills,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Education & Skills,1,1,False,,,,
2022/103,2022/103,Environmental Impact of Taxes Evaluation,"Office for National Statistics: Annual Business Survey UK, Annual Population Survey UK, Annual Respondents Database 2 UK, Annual Respondents Database x UK, Annual Survey of Hours and Earnings UK, Business Enterprise Research and Development England, Wales and Scotland, Business Structure Database UK, Quarterly Fuels Inquiry UK, Understanding Society UK ",Environment & Agriculture; Public Finance & Taxation,Cross-Domain Linkage,Policy Evaluation / Impact Analysis,Environment & Agriculture,1,10,False,,,,
2024/083,2024/083,East West Rail WELLBY Assessment,Institute for Economic and Social Research: Understanding Society - UK,Environment & Agriculture; Health & Social Care,Single-Dataset,Policy Evaluation / Impact Analysis,Environment & Agriculture,1,1,False,,,,
2022/065,2022/065,Potential Impact of the Green Homes Grant Voucher Scheme on the Supply Chain,"Office for National Statistics: Annual Business Survey, Business Structure Database",Environment & Agriculture; Business & Productivity,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Environment & Agriculture,1,2,False,,,,
2022/087,2022/087,Gender Gap in STEM over the Life Cycle,Office for National Statistics: Quarterly Labour Force Survey ,"Gender, Race & Ethnicity; Education & Skills; Labour Market & Employment",Single-Dataset,Inequality / Disparities Analysis; Life-Course / Trajectory Analysis,"Gender, Race & Ethnicity",1,1,False,,,,
2025/166,2025/166,"The Impact of Preferences on Pay and Representation Disparities in Gender, Ethnicity, and
Socioeconomic Status","Office for National Statistics: Annual Population Survey - UK,
Food Survey - UK","Gender, Race & Ethnicity; Labour Market & Employment",Within-Domain Linkage,Inequality / Disparities Analysis,"Gender, Race & Ethnicity",1,2,False,,,,
2022/083,2022/083,Local patterns of health indicators and inequalities,"Office for National Statistics: Annual Population Survey, Coronavirus and the social impacts on Great Britain, Opinions and Lifestyle Survey, Business Structure Database 
Department for Transport: National Travel Survey ­England  
","Health & Social Care; Poverty, Inequality & Living Standards",Cross-Domain Linkage,Inequality / Disparities Analysis; Descriptive Monitoring,Health & Social Care,2,5,False,,,,
2020/078,2020/078,Addressing Health: Health and mortality of postal workers in England and Wales,"Office for National Statistics:
Longitudinal Study of England and Wales ",Health & Social Care; Labour Market & Employment,Single-Dataset,Outcome Tracking,Health & Social Care,1,2,False,,,,
2022/078,2022/078,Transitions In and Out of Nursing,"Office for National Statistics: Annual Population Survey 
Office for National Statistics: Annual Survey of Hours and Earnings 
",Health & Social Care; Labour Market & Employment,Within-Domain Linkage,Descriptive Monitoring,Health & Social Care,1,2,False,,,,
2025/146,2025/146,Using novel data-linkage methods to produce accurate small-area estimates of housing hazards (mould and damp) and health-related vulnerability,"Office for National Statistics: Census 2021 England and Wales
Valuation Office Agency: Council Tax Property Attributes Data - England and Wales,
Energy Performance Certification data",Housing & Planning; Health & Social Care; Data Infrastructure & Methodology,Cross-Domain Linkage,Methodological / Infrastructure Research,Housing & Planning,2,3,False,,,,
2024/231,2024/231,Understanding travel across cities and urban costs in England,DfT: National Travel Survey - England,Housing & Planning,Single-Dataset,Descriptive Monitoring,Housing & Planning,1,1,False,,,,
2025/056,2025/056,"The  Heterogeneous  Impact  of  Urban  Renewal  Programmes:  Evidence  from  Tower  Block  Demolitions  
Across  UK  Cities","Office for National Statistics: Annual  Respondents  
Database  x   ­  UK,
Annual  Survey  of  Hours  and  Earnings  Longitudinal  UK,
Business  Structure  
Database   ­  UK",Housing & Planning; Business & Productivity,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Housing & Planning,1,3,False,,,,
2025/136,2025/136,"Sorting, brain drain and knowledge spillovers in the United Kingdom","Office for National Statistics: Annual Survey of Hours and Earnings linked to 2011 Census England and Wales, Labour Force Survey Person UK",Labour Market & Employment; Migration & Demographics,Cross-Domain Linkage,Descriptive Monitoring,Labour Market & Employment,1,2,False,,,,
2024/056,2024/056,Labour market outcomes of high-achieving children from disadvantaged backgrounds,"DfE, DWP and HMRC: Longitudinal Education Outcomes SRS Iteration 2 Standard Extract - England","Labour Market & Employment; Education & Skills; Poverty, Inequality & Living Standards",Single-Dataset,Outcome Tracking; Inequality / Disparities Analysis,Labour Market & Employment,1,3,False,,,,
2025/202,2025/202,Rising Inequality: A Closer Look at the Firm Dynamics Behind Earnings Disparities,"Office for National Statistics: Business Structure Database UK, 
Annual Business Survey GB, 
Longitudinal Business Database UK,
Annual Survey of Hours and Earnings 
Longitudinal - UK","Labour Market & Employment; Business & Productivity; Poverty, Inequality & Living Standards",Within-Domain Linkage,Inequality / Disparities Analysis,Labour Market & Employment,1,4,False,,,,
2022/124,2022/124,EU Settlement Scheme  Data Linking Project,"SAIL Databank Databank: 2011 Census Data Welsh residents
Office for National Statistics: Annual Population Survey",Migration & Demographics,Cross-Domain Linkage,Methodological / Infrastructure Research,Migration & Demographics,2,2,False,,,,
2020/107,2020/107,Classifying the older population: understanding the geography of opportunities and challenges in England,Office for National Statistics: Secure Census 2011 Origin / Destination  ,Migration & Demographics,Single-Dataset,Descriptive Monitoring,Migration & Demographics,1,1,False,,,,
2023/047,2023/047,Fiscal impact of migration,"Office for National Statistics: Annual Population Survey - UK, Annual Survey of Hours and Earnings - UK",Migration & Demographics; Public Finance & Taxation,Within-Domain Linkage,Descriptive Monitoring,Migration & Demographics,1,2,False,,,,
2024/123,2024/123,Analysing social mobility by parliamentary constituency,"DfE, DWP and HMRC: Longitudinal Education Outcomes SRS Iteration 2 Standard Extract - England","Poverty, Inequality & Living Standards; Education & Skills; Labour Market & Employment",Cross-Domain Linkage,Inequality / Disparities Analysis,"Poverty, Inequality & Living Standards",1,3,False,,,,
2023/183,2023/183,"Welfare Access, Assets And Debts of LGBT+ People In The UK",Office for National Statistics: Wealth and Assets Survey,"Poverty, Inequality & Living Standards; Gender, Race & Ethnicity",Single-Dataset,Inequality / Disparities Analysis,"Poverty, Inequality & Living Standards",1,1,False,,,,
2022/183,2022/183,Estimating sub-regional fuel poverty in England in 2022,"Office for National Statistics: Annual Population Survey, Labour Force Survey Household, Living Costs and Food Survey","Poverty, Inequality & Living Standards; Environment & Agriculture",Within-Domain Linkage,Descriptive Monitoring,"Poverty, Inequality & Living Standards",1,3,False,,,,
2023/261,2023/261,Analysis of distributional consequences and considerations for Monetary Policy,"Office for National Statistics: Annual Business Survey - UK, Annual Survey of Hours and Earnings - UK, Business Register Employment Survey - UK, Living Costs and Food Survey - UK, Business Insights and Conditions Survey - UK, Annual Survey of Hours and Earnings Longitudinal - UK, Wealth and Assets Survey - Great Britain, Vacancy Survey - UK, Consumer and Retail Price Index - UK, Labour Force Survey Person - UK, Business Structure Database - UK
Institute for Economic and Social Research: Understanding Society - UK
Office for National Statistics, University of Oxford, NHS England: COVID-19 Infection Survey linked to Combined Vaccination - UK
DWP: Family Resources Survey - UK
Bank of England: Decision Maker Panel - UK","Public Finance & Taxation; Labour Market & Employment; Poverty, Inequality & Living Standards",Cross-Domain Linkage,Policy Evaluation / Impact Analysis; Inequality / Disparities Analysis,Public Finance & Taxation,5,17,False,,,,
2026/019,2026/019,Fiscal and targeting consequences of monthly benefit redeterminations,Office for National Statistics: Annual Survey of Hours and Earnings linked to PAYE and Self-Assessment data - GB,"Public Finance & Taxation; Poverty, Inequality & Living Standards",Single-Dataset,Policy Evaluation / Impact Analysis,Public Finance & Taxation,1,1,False,,,,
2025/159,2025/159,"The Impact of longevity gaps on pensions progressivity in Spain, the United Kingdom and Denmark","Office for National Statistics: Annual Population Survey - UK,
Annual Survey of Hours and Earnings Longitudinal - UK,
Annual Population Survey - UK, Living Costs and Food Survey - UK","Public Finance & Taxation; Poverty, Inequality & Living Standards",Within-Domain Linkage,Inequality / Disparities Analysis,Public Finance & Taxation,1,4,False,,,,
2023/275,2023/275,WWTW04 - Walking With The Wounded need project,Office for National Statistics: Annual Population Survey,Unclear from Title,Single-Dataset,Unclear from Title,Unclear from Title,1,1,False,,,,
