Project ID,Title,Researchers,Legal Basis,Datasets Used,Secure Research Service,Accreditation Date,Record ID,Year,Quarter,Quarter Label,substantive_domains,linkage_mode,analytical_purpose,primary_domain
2019/014,"The contribution of digital economy in Wales, a measurement by an information and communications satellite account","Chen Xu, University of Cardiff",Digital Economy Act (2017) ,"Office for National Statistics: Annual Business Survey, Business Structure Database, Products of the European Community, Quarterly Acquisitions and Disposals of Capital Assets Survey, Living Costs and Food Survey, International Trade in Services, Business Expenditure on Research and Development, E-Commerce Survey, Annual Survey of Goods and Services ",Office for National Statistics Secure Research Service,2019-11-19,2019/014,2019,2019Q4,Q4 2019,Business & Productivity,Within-Domain Linkage,Descriptive Monitoring,Business & Productivity
2019/015,Understanding saving behaviour in the UK,"Zoe Oldfield, Institute for Fiscal Studies
Carl Emmerson, Institute for Fiscal Studies
Polly Simpson, Institute for Fiscal Studies 
David Sturrock, Institute for Fiscal Studies
Laurence O'Brien, Institute for Fiscal Studies
Heidi Karjalainen, Institute for Fiscal Studies
Beatrice	Boileau, Institute for Fiscal Studies",Digital Economy Act (2017) ,Office for National Statistics: Wealth and Assets Survey  & Annual Survey of Hours and Earnings ,Office for National Statistics Secure Research Service,2019-11-19,2019/015,2019,2019Q4,Q4 2019,"Poverty, Inequality & Living Standards",Within-Domain Linkage,Descriptive Monitoring,"Poverty, Inequality & Living Standards"
2019/017,"The spatial distribution of UK Foreign Direct Investment : causes, effects, and policy","Fragkiskos Danelakis, Department for International Trade
Elizabeth McCrea, 
Department for International Trade
David Baker,
Department for International Trade
Sabiha Ahmed,
Department for International Trade
Kit Angel-Scott,
Department for International Trade
Sophie Haldane,
Department for International Trade",Digital Economy Act (2017) ,"Office for National Statistics: Annual Outward Foreign Direct Investment Survey, Mergers and Acquisitions, Annual Respondents Database, Business Structure Database, Business Structure Database Longitudinal, Annual Business Survey, Business Enterprise Research and Development, Business Register and Employment Survey, International Trade in Services Survey & Quarterly Acquisitions and Disposals of Capital Assets Survey 
Department for Business, Energy & Industrial Strategy: Community Innovation Survey   “ United Kingdom Innovation Survey
Data given for all available years unless otherwise stated.",Office for National Statistics Secure Research Service,2019-11-19,2019/017,2019,2019Q4,Q4 2019,Business & Productivity,Within-Domain Linkage,Descriptive Monitoring,Business & Productivity
2019/018,Foreign Direct Disinvestment: causes and effects,"Anuj Mathew, Department for International Trade
Palitha Konara, University of Sussex
Nicolo Tamberi, University of Sussex
Elizabeth McCrea,
Department for International Trade
Matthew Needham,
Department for International Trade
Sabiha Ahmed,
Department for International Trade
David Baker,
Department for International Trade",Digital Economy Act (2017) ,"Office for National Statistics: Annual Outward Foreign Direct Investment Survey, Mergers and Acquisitions, Annual Respondents Database, Business Structure Database, Business Structure Database Longitudinal, Annual Business Survey, Business Enterprise Research and Development, Business Register and Employment Survey, International Trade in Services Survey & Quarterly Acquisitions and Disposals of Capital Assets Survey 
Department for Business, Energy & Industrial Strategy: Community Innovation Survey   “ United Kingdom Innovation Survey
Data given for all available years unless otherwise stated.",Office for National Statistics Secure Research Service,2019-11-22,2019/018,2019,2019Q4,Q4 2019,Business & Productivity,Within-Domain Linkage,Outcome Tracking,Business & Productivity
2019/019,Improving Regional Economic Indicators Regional Consumer Prices,"Christopher Jenkins, Competition and Markets Authority
Kevin Connolly, University of Strathclyde
Aureo De Paula,
University College London
",Digital Economy Act (2017) ,Office for National Statistics: Living Cost and Food Survey ,Office for National Statistics Secure Research Service,2019-11-19,2019/019,2019,2019Q4,Q4 2019,"Poverty, Inequality & Living Standards",Single-Dataset,Methodological / Infrastructure Research,"Poverty, Inequality & Living Standards"
2019/020,"Housing, family and environmental risk factors for hospital admissions in children","Pia Hardelid, University College London
Linda Wijlaars, University College London
Philip Symonds,
University College London
Kate Lewis,
University College London
",Digital Economy Act (2017) ,Office for National Statistics: Death Registrations  & Census 2011: Household Sample,Office for National Statistics Secure Research Service,2019-11-27,2019/020,2019,2019Q4,Q4 2019,Health & Social Care; Housing & Planning,Within-Domain Linkage,Risk Prediction / Early Identification,Health & Social Care
2019/021,"Social and Economic Predictors of the severe mental disorders, the SEP-MD study. Analysis of linked data from southeast London, UK","Jayati Das-Munshi, King's College London
Lukasz Cybulski, King's College London
Rosanna Hildersley, King's College London",Digital Economy Act (2017) ,Office for National Statistics: Census 2011 & Death Registrations ,Office for National Statistics Secure Research Service,2019-03-12,2019/021,2019,2019Q1,Q1 2019,Health & Social Care,Within-Domain Linkage,Outcome Tracking,Health & Social Care
2019/005,Measuring the impact of hearing loss on well-being,"Daniele Cox,
Office for National Statistics
Mary Cleaton, 
Office for National Statistics",Digital Economy Act (2017) ,Office for National Statistics: Annual Population Survey ,Office for National Statistics Secure Research Service,2019-10-12,2019/005,2019,2019Q4,Q4 2019,Health & Social Care,Single-Dataset,Outcome Tracking,Health & Social Care
2019/016,Homeownership of the young,"Belinda Tracey, Bank of England
Veronica Veggente,
Bank of England",Digital Economy Act (2017) ,"Office for National Statistics: Living Costs and Food Survey, Business Structure Database, Retail Price Index ",Office for National Statistics Secure Research Service,2019-12-12,2019/016,2019,2019Q4,Q4 2019,"Housing & Planning; Poverty, Inequality & Living Standards",Within-Domain Linkage,Descriptive Monitoring,Housing & Planning
2019/022,Research on homeless mortality among St Mungo's clients,"David Wilson, St Mungo's",Digital Economy Act (2017) ,Office for National Statistics: Death Registrations ,Office for National Statistics Secure Research Service,2019-12-12,2019/022,2019,2019Q4,Q4 2019,Housing & Planning; Health & Social Care,Single-Dataset,Descriptive Monitoring,Housing & Planning
2019/023,Economic environment and child development,"Cheti Nicoletti, 
University of York
Charles Simpson,
University College London,
Samantha Hajna, University College London
Glory Atilola, University College London
",Digital Economy Act (2017) ,Office for National Statistics: Labour Force Survey ,Office for National Statistics Secure Research Service,2019-12-12,2019/023,2019,2019Q4,Q4 2019,Education & Skills; Labour Market & Employment,Single-Dataset,Outcome Tracking,Education & Skills
2019/024,The Right to Buy: Migration and Gentrification,"Iain Bamford, Columbia University",Digital Economy Act (2017) ,Office for National Statistics: Longitudinal Study ,Office for National Statistics Secure Research Service,2019-12-19,2019/024,2019,2019Q4,Q4 2019,Housing & Planning; Migration & Demographics,Single-Dataset,Policy Evaluation / Impact Analysis,Housing & Planning
2019/026,Migration Observatory analysis of EU and non-EU migration in the UK,"Madeleine Sumption, University of Oxford
Denis Kierans, University of Oxford",Digital Economy Act (2017) ,"Office for National Statistics: Annual Population Survey, Annual Population Survey   & Labour Force Survey ",Office for National Statistics Secure Research Service,2020-03-01,2019/026,2020,2020Q1,Q1 2020,Migration & Demographics; Labour Market & Employment,Within-Domain Linkage,Descriptive Monitoring,Migration & Demographics
2020/001,How does tax affect incorporation and business outcomes?,"Kate Smith, Institute for Fiscal Studies",Digital Economy Act (2017) ,"Department for Business, Energy and Industrial Strategy: Longitudinal Small Business Survey & Small Business Survey",Office for National Statistics Secure Research Service,2020-01-17,2020/001,2020,2020Q1,Q1 2020,Business & Productivity; Public Finance & Taxation,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Business & Productivity
2020/003,"Spatial sorting in housing and employment: impact of public investments, planning decisions, housing subsidies, and business rates","Lars Nesheim, University College London",Digital Economy Act (2017) ,"Office for National Statistics: Annual Survey of Hours and Earnings, Census 2011 England and Wales: Individual Sample, Census 2011 Origin/Destination: Flow data & Business Impact of COVID-19 Survey ",Office for National Statistics Secure Research Service,2020-01-17,2020/003,2020,2020Q1,Q1 2020,Housing & Planning; Labour Market & Employment,Multi-Domain Linkage,Policy Evaluation / Impact Analysis,Housing & Planning
2020/004,Medina Valley Marine Sector Proposition and Funding,"Joshua Harding-Jones, Hardisty Jones Associates",Digital Economy Act (2017) ,Office for National Statistics: Business Structure Database ,Office for National Statistics Secure Research Service,2020-01-17,2020/004,2020,2020Q1,Q1 2020,Business & Productivity,Single-Dataset,Descriptive Monitoring,Business & Productivity
2020/005,The interplay between bridging and bonding social capital in shaping diversity and entrepreneurial activity across the UK local communities,"Tomasz Mickiewicz, BOP Consulting
Julia Korosteleva, University College London
Mario Davide Parrilli, University of Bournemouth",Digital Economy Act (2017) ,"Department for Business, Energy and Industrial Strategy: Longitudinal Small Business Survey 
Institute for Social and Economic Research: Understanding Society: UK Household Longitudinal Study Mainstage Survey Wave 9  & Understanding Society: UK Household Longitudinal Study Mainstage Survey Wave 6 ",Office for National Statistics Secure Research Service,2020-01-17,2020/005,2020,2020Q1,Q1 2020,Business & Productivity,Cross-Domain Linkage,Descriptive Monitoring,Business & Productivity
2020/002,Evaluation of the Energy Entrepreneurs Fund,"James Kearney, Ipsos MORI
Chris Hale, Ipsos MORI
Marc Tully, Ipsos MORI",Digital Economy Act (2017) ,"Office for National Statistics: Business Enterprise Research and Development, Business Structure Database, Annual Business Survey  & Annual Survey of Hours and Earnings ",Office for National Statistics Secure Research Service,2020-03-02,2020/002,2020,2020Q1,Q1 2020,Business & Productivity; Environment & Agriculture,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Business & Productivity
2019/025,Understanding the uptake and use of the Northern Ireland Concessionary Fares Scheme for the population aged 60 and over,"Jos IJpelaar, Northern Ireland Statistics and Research Agency
John Hughes, Northern Ireland Statistics and Research Agency",Digital Economy Act (2017) ,"Northern Ireland Statistics and Research Agency: Census 2011  & Census 2011  
Northern Ireland Registrar General's Office: Registered Deaths ",Northern Ireland Statistics and Research Agency,2020-02-14,2019/025,2020,2020Q1,Q1 2020,Migration & Demographics,Within-Domain Linkage,Descriptive Monitoring; Service Interaction / Systems Analysis,Migration & Demographics
2020/008,Contextualised Admissions and University Choice,"Sonkurt Kemal Sen, University of Essex
Emilia Del Bono, University of Essex
Angus Holford, University of Essex
Ryan Smith,
Office for National Statistics",Digital Economy Act (2017) ,UCAS: Universities and Colleges Admissions Service ,Office for National Statistics Secure Research Service,2020-03-16,2020/008,2020,2020Q1,Q1 2020,Education & Skills,Single-Dataset,Inequality / Disparities Analysis,Education & Skills
2020/010,Local labour market effects of immigration,"Andrew Aitken, National Institute for Economic and Social Research",Digital Economy Act (2017) ,"Office for National Statistics: Annual Population Survey, Quarterly Labour Force Survey  & Annual Survey of Hours and Earnings 
Institute for Economic and Social Research: Understanding Society",Office for National Statistics Secure Research Service,2020-03-16,2020/010,2020,2020Q1,Q1 2020,Labour Market & Employment; Migration & Demographics,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Labour Market & Employment
2020/011,Innovation analysis for Knowledge Transfer Network,"Stuart Thompson, Knowledge Transfer Network
James Currer,
Innovate UK
",Digital Economy Act (2017) ,"Office for National Statistics: Business Enterprise Research and Development, E-Commerce Survey, Labour Force Survey Person, Survey of Innovation and Patent Use, Business Structure Database  & Longitudinal Business Structure Database 
Department for Business, Energy and Industrial Strategy: Longitudinal Small Business Survey 
Department for Business, Energy and Industrial Strategy: Community Innovation Survey ",Office for National Statistics Secure Research Service,2020-03-16,2020/011,2020,2020Q1,Q1 2020,Business & Productivity,Within-Domain Linkage,Descriptive Monitoring,Business & Productivity
2020/012,Wage progression and firm productivity,"Rachel Griffith, Institute for Fiscal Studies
Robert Joyce, Institute for Fiscal Studies
Xiaowei Xu, Institute for Fiscal Studies
Wenchao Jin, Institute for Fiscal Studies
",Digital Economy Act (2017) ,"Office for National Statistics: Annual Business Inquiry, Annual Inquiry into Foreign Direct Investment, Annual Respondents DatabaseX, Annual Respondents Database, Annual Survey of Hours and Earnings, Business Expenditure on Research and Development, Business Impact of COVID-19 Survey, Business Register Employment Survey, Business Structure Database, Business Structure Database Longitudinal, Capital Stocks, Financial Assets and Liabilities Survey, Interdepartmental Business Register, Investment in Intangible Assets, International Trade in Services, Labour Force Survey, Monthly Wage and Salary Survey, New Earnings Survey, Quarterly Capital Expenditure Survey, Survey of Innovation and Patent Use, Vacancy Survey, ASHE 
Intellectual Property Office: Patents, Designs and Trade Marks 
Department for Education: National Department for Business, Energy and Industrial Strategy: Employer Skills Survey  & Workplace Employment Relations Survey 
Department for Business, Energy and Industrial Strategy: Small Business Survey Longitudinal 
Department for Business, Energy and Industrial Strategy: Community Innovation Survey ",Office for National Statistics Secure Research Service,2020-03-16,2020/012,2020,2020Q1,Q1 2020,Labour Market & Employment; Business & Productivity,Within-Domain Linkage,Outcome Tracking,Labour Market & Employment
2020/013,Firm-level analysis of research and development ,"Joelle Tasker, Office for National Statistics
Elizabeth Taylor, Office for National Statistics
Christina Palmou, Office for National Statistics",Digital Economy Act (2017) ,"Office for National Statistics: Business Expenditure on Research and Development - England, Wales and Scotland, Business Structure Database, Business Structure Database Longitudinal, Annual Business Survey, Annual Respondent Database 2 

Intellectual Property Office: Patents, Designs and Trade Marks 

Office for National Statistics / Department for Business, Energy and Industrial Strategy: Covid-19 Infection Survey linked with UK Innovation Survey",Office for National Statistics Secure Research Service,2020-03-16,2020/013,2020,2020Q1,Q1 2020,Business & Productivity,Within-Domain Linkage,Descriptive Monitoring,Business & Productivity
2020/007,Business Succession in Wales,"Nikolaos Kapitsinis, University of Cardiff",Digital Economy Act (2017) ,"Office for National Statistics: Business Structure Database, Annual Business Survey 
Department for Business, Energy and Industrial Strategy: Small Business Survey  & Longitudinal Small Business Survey ",Office for National Statistics Secure Research Service,2020-04-15,2020/007,2020,2020Q2,Q2 2020,Business & Productivity,Within-Domain Linkage,Descriptive Monitoring,Business & Productivity
2020/015,Minimum wages and technology adoption,"Andrew Aitken, National Institute for Economic and Social Research
John Forth, National Institute for Economic and Social Research
Larissa Marioni, National Institute for Economic and Social Research",Digital Economy Act (2017) ,"Office for National Statistics: Annual Population Survey, Business Structure Database  & Quarterly Labour Force Survey ",Office for National Statistics Secure Research Service,2020-04-20,2020/015,2020,2020Q2,Q2 2020,Labour Market & Employment; Business & Productivity,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Labour Market & Employment
2020/025,Modelling the regional implications of COVID-19 using the Enterprise Research Centre's longitudinal firm-level dataset based on the Business Structure Database,"Mark Hart, University of Aston
Neha Prashar, University of Aston
Anastasia Ri, University of Aston",Digital Economy Act (2017) ,"Office for National Statistics: Business Structure Database, Longitudinal Inter-Departmental Business Register, International Trade in Services, Business Impact of COVID-19 Survey  & E-Commerce Survey 
Department for Business, Energy and Industrial Strategy: Community Innovation Survey ",Office for National Statistics Secure Research Service,2020-04-20,2020/025,2020,2020Q2,Q2 2020,Business & Productivity; COVID-19 & Pandemic,Within-Domain Linkage,Descriptive Monitoring,Business & Productivity
2020/016,Identification and monitoring of social impact indicators in the West Cumbrian region,"Neil Scott,
University of London - Royal Holloway
Dora Radosevic, Simetrica
Sebastien Peytrignet, Simetrica
Christopher Warner, Simetrica
Henry Maguire, Simetrica
Abigail Lyons, Simetrica
",Digital Economy Act (2017) ,"Office for National Statistics: Annual Population Survey, Labour Force Survey, Longitudinal Small Business Survey  & National Employer Skills Survey ",Office for National Statistics Secure Research Service,2020-04-20,2020/016,2020,2020Q2,Q2 2020,Labour Market & Employment; Business & Productivity,Within-Domain Linkage,Descriptive Monitoring,Labour Market & Employment
2020/017,Subjective wellbeing impacts of debt and debt-related factors,"Christopher Warner, Simetrica
Simon Garforth-Bles, Simetrica
Kieran Keohane, Simetrica",Digital Economy Act (2017) ,Office for National Statistics: Wealth and Assets Survey ,Office for National Statistics Secure Research Service,2020-04-20,2020/017,2020,2020Q2,Q2 2020,"Poverty, Inequality & Living Standards",Single-Dataset,Outcome Tracking,"Poverty, Inequality & Living Standards"
2020/018,Inequalities in the 21st Century   “ Chapter on Labour Market Inequality,"Giulia Giupponi, London School of Economics
Xiaowei Xu, Institute for Fiscal Studies
Stephen Machin, London School of Economics
Anne Case,
Institute for Fiscal Studies",Digital Economy Act (2017) ,"Office for National Statistics: Annual Population Survey, Annual Survey of Hours and Earnings, Labour Force Survey, Longitudinal Labour Force Survey  & New Earnings Survey ",Office for National Statistics Secure Research Service,2020-04-20,2020/018,2020,2020Q2,Q2 2020,"Labour Market & Employment; Poverty, Inequality & Living Standards",Within-Domain Linkage,Inequality / Disparities Analysis,Labour Market & Employment
2020/020,Business dynamism,"Russell Black, Office for National Statistics
Josh Martin, Office for National Statistics
Josefa Lavandero Masson, Office for National Statistics
Mohammad Ismail Shafat, Office for National Statistics
Jenniffer Solozano Mosquera, University of London   “ Imperial College",Digital Economy Act (2017) ,Office for National Statistics: Business Structure Database,Office for National Statistics Secure Research Service,2020-04-20,2020/020,2020,2020Q2,Q2 2020,Business & Productivity,Single-Dataset,Descriptive Monitoring,Business & Productivity
2020/021,"The impact of the National Living Wage on Employment, Hours, Earnings and Household Income","Robert Joyce, Institute for Fiscal Studies
Xiaowei Xu, Institute for Fiscal Studies
Tom Waters, Institute for Fiscal Studies
Giulia Giupponi, London School of Economics
Samuel Ray-Chaudhuri, Institute for Fiscal Studies
Thomas Wernham, Institute for Fiscal Studies
",Digital Economy Act (2017) ,Office for National Statistics: Annual Population Survey  & Annual Survey of Hours and Earnings ,Office for National Statistics Secure Research Service,2020-04-20,2020/021,2020,2020Q2,Q2 2020,"Labour Market & Employment; Poverty, Inequality & Living Standards",Within-Domain Linkage,Policy Evaluation / Impact Analysis,Labour Market & Employment
2020/022,Digital skills in medium and associate professional job roles: An analysis of institutional data from English apprenticeship standard,"Lei Xu, National Institute for Economic and Social Research",Digital Economy Act (2017) ,Office for National Statistics: Annual Survey of Hours and Earnings ,Office for National Statistics Secure Research Service,2020-04-20,2020/022,2020,2020Q2,Q2 2020,Education & Skills; Labour Market & Employment,Single-Dataset,Descriptive Monitoring,Education & Skills
2020/023,"The determinants of performance-pay utilisation by firms and its consequences for firm behaviour, performance, and employee outcomes","William Parker, London School of Economics
Giulia Giupponi, London School of Economics",Digital Economy Act (2017) ,"Office for National Statistics: Business Structure Database, Annual Business Survey, Workplace Employment Relations Survey, International Trade in Services, Annual Survey of Hours and Earnings  & Wealth and Assets Survey ",UK Data Service,2020-04-20,2020/023,2020,2020Q2,Q2 2020,Business & Productivity; Labour Market & Employment,Within-Domain Linkage,Outcome Tracking,Business & Productivity
2020/024,Assessing the impact of UK Enterprise Zones,"Henry Overman, London School of Economics
Nicolas Gonzalez-Pampillon, London School of Economics
Helene Donnat,
London School of Economics and Political Science
",Digital Economy Act (2017) ,"Office for National Statistics: Annual Respondents Database, Annual Business Survey, Annual Survey of Hours and Earnings, Business Structure Database  & Quarterly Labour Force Survey ",UK Data Service,2020-04-20,2020/024,2020,2020Q2,Q2 2020,Business & Productivity; Labour Market & Employment,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Business & Productivity
2020/026,Research on Digital Trade,"Michael Lee, Cambridge Econometrics
Graham Hay, Cambridge Econometrics
Mary Goldman, Cambridge Econometrics
Jakub Zagdanski, Cambridge Econometrics",Digital Economy Act (2017) ,Office for National Statistics: E-Commerce Survey  & International Trade in Services ,UK Data Service,2020-04-20,2020/026,2020,2020Q2,Q2 2020,Business & Productivity,Within-Domain Linkage,Descriptive Monitoring,Business & Productivity
